TOKEN_ID,TOKEN_NAME,Background,Skin,Skin Pattern,Tail Spikes,Bling Level,Eyewear,Face,Clothing,Headwear,Face Detail,Vest,Special
1061,Tezzardz #1061,Peach,Green,Red,Bone,$$$$,,Dumb Tongue,Silk Shirt Dark,Party Pal Hat,,,
1062,Tezzardz #1062,Purple,Yellow,Purple,Rainbow,$,,Straight Tongue Feisty,Tassle Jacket,Green Spikes,,Green,
1063,Tezzardz #1063,Purple,Orange,Heavy Bolt,Bone,$$,,Bent Tongue Feisty,Rainbow Onesie,Party Pal Hat,,,
1064,Tezzardz #1064,Purple,Yellow,Red,Bone,$,,Split Tongue Feisty,Silk Shirt Blue,Fancy Hat,,Red,
1065,Tezzardz #1065,Pink,White,Heavy Bolt,,,Flame Shades,Bent Tongue Feisty,Ghost Tee,Backwards Cap,,,
1066,Tezzardz #1066,Yellow,Orange,Heavy Freckles,,,Plain Specs,Green Tongue Wavy Sassy,Patterned Tee,Backwards Cap Flames,,,
1067,Tezzardz #1067,Yellow,Red,Heavy Bolt,Gold,,,Green Tongue Wavy Sassy,Silk Shirt Dark,Plain Black Spikes,,,
1068,Tezzardz #1068,Peach,Purple,Heavy,,$$$,,Straight Tongue Sad,Video Games Tee,Plain Black Spikes,,,
1069,Tezzardz #1069,Peach,Yellow,Bolt,Rainbow,$$$,Flame Shades,Blue Tongue Wavy Not Amused,Fk Yeh Sweater,Backwards Cap,,,
1070,Tezzardz #1070,Yellow,White,Heavy Bolt,,$,Cool Shades,Split Tongue Angry,Silk Shirt Blue,Yellow Spikes,,,
1071,Tezzardz #1071,Purple,Green,Heavy Freckles,,,Plain Specs,Split Tongue Angry,Rainbow Onesie,,,,
1072,Tezzardz #1072,Purple,Orange,Heavy Bolt,,$$$,Monocle,Bent Tongue Feisty,Firework Utility Belt,Party Pal Hat,,,
1073,Tezzardz #1073,Yellow,Purple,Heavy Bolt,Bone,$,Flame Shades,Bent Tongue Feisty,Ghost Tee,Backwards Cap Flames,,,
1074,Tezzardz #1074,Blue,Green,Bolt,Bone,,,Straight Tongue Feisty,Fk Yeh Sweater,Red Spikes,,,
1075,Tezzardz #1075,Pink,Green,Heavy Bolt,,$$,Tech Scope,Straight Tongue Feisty,Space Onesie,Rare Frog Hat,,,
1076,Tezzardz #1076,Yellow,Purple,Heavy Bolt,Rainbow,$,Plain Specs,Straight Tongue Sad,Fk Yeh Sweater,Backwards Cap Jungle,,,
1077,Tezzardz #1077,Green,Green,Heavy Bolt,Rainbow,$$$,,Straight Tongue Sad,Tassle Jacket,Jester Crown,,,
1078,Tezzardz #1078,Blue,Orange,Heavy Bolt,Rainbow,$,,Split Tongue Feisty,Silk Shirt Blue,Backwards Cap Jungle,,Pink,
1079,Tezzardz #1079,Peach,Green,Bolt,Gold,$$$,Hearts Shades,Green Tongue Feisty,Tassle Jacket,Yellow Spikes,,,
1080,Tezzardz #1080,Blue,Orange,Bolt,Gold,$,Plain Specs,Straight Tongue Sad,Ghost Tee,,,,
1081,Tezzardz #1081,Pink,Orange,Heavy,Bone,$$$,Monocle,Straight Tongue Feisty,Patterned Sweater,Purple Spikes,,Red,
1082,Tezzardz #1082,Peach,Red,Heavy,Bone,$$$,,Straight Tongue Feisty,Patterned Tee,Plain Black Spikes,,,
1083,Tezzardz #1083,Peach,Red,Bolt,,$$,Flame Shades,Green Tongue Feisty,Ghost Tee,Plain Black Spikes,,,
1084,Tezzardz #1084,Yellow,Orange,Heavy Freckles,Bone,,Flame Shades,Split Tongue Feisty,Shrine Onesie,Plain Black Spikes,,,
1085,Tezzardz #1085,Blue,Red,Bolt,Bone,$,Plain Specs,Blue Tongue Wavy Not Amused,Ghost Tee,Purple Spikes,,,
1086,Tezzardz #1086,Blue,Purple,Freckles,Gold,$$,,Bent Tongue Feisty,Space Onesie,Limited Spikes,,,
1087,Tezzardz #1087,Peach,Yellow,Heavy Freckles,,$,Gold Leaf Eye Patch,Split Tongue Angry,Fk Yeh Sweater,,,,
1088,Tezzardz #1088,Purple,Red,Heavy Bolt,,$$,,Straight Tongue Sad,Silk Shirt Dark,Yellow Spikes,,Red,
1089,Tezzardz #1089,Blue,Orange,Heavy Bolt,Bone,$,Joke Eyes Glasses,Bent Tongue Feisty,Fk Yeh Sweater,Fancy Hat,,,
1090,Tezzardz #1090,Pink,Yellow,Heavy,Bone,$$$,Flame Shades,Bent Tongue Feisty,Patterned Sweater,Purple Spikes,,,
1091,Tezzardz #1091,Peach,Red,Bolt,Bone,$$,Flame Shades,Straight Tongue Feisty,Patterned Tee,Plain Black Spikes,,,
1092,Tezzardz #1092,Peach,Green,Heavy,Bone,$$$$,Gold Leaf Eye Patch,Split Tongue Feisty,Video Games Tee,Sad Boi Cap,,,
1093,Tezzardz #1093,Pink,Orange,Heavy,Bone,,,Straight Tongue Sad,Fkyencci Shirt,Green Spikes,,,
1094,Tezzardz #1094,Blue,Purple,Freckles,Gold,,Plain Specs,Split Tongue Pink Feisty,Silk Shirt Dark,Plain Black Spikes,,,
1095,Tezzardz #1095,Peach,Red,Heavy Bolt,Bone,$$$$,Flame Shades,Dumb Tongue,Patterned Sweater,Backwards Cap Flames,,Green,
1096,Tezzardz #1096,Blue,Purple,Freckles,,$,Flame Shades,Split Tongue Angry,Skulls Shell Suit,Limited Spikes,,,
1097,Tezzardz #1097,Blue,Green,Heavy Freckles,,$,,Straight Tongue Feisty,Tassle Jacket,Purple Spikes,,,
1098,Tezzardz #1098,Pink,Yellow,Heavy,,$,,Green Tongue Feisty,Permanent Vacation Tee,Limited Spikes,,,
1099,Tezzardz #1099,Pink,Yellow,Heavy Freckles,Bone,$$$,Cool Shades,Bent Tongue Feisty,Tassle Jacket,Fancy Hat,,,
1100,Tezzardz #1100,Peach,Purple,Heavy,,,Flame Shades,Split Tongue Feisty,Silk Shirt Dark,Hunting Hat,,,
1101,Tezzardz #1101,Yellow,Green,Heavy,,,Cool Shades,Dumb Tongue,Space Onesie,Plain Black Spikes,,,
1102,Tezzardz #1102,Yellow,Purple,Bolt,Bone,$$$$,Flame Shades,Straight Tongue Sad,Ghost Tee,Backwards Cap Flames,,,
1103,Tezzardz #1103,Green,Orange,Bolt,,$,Tech Scope,Split Tongue Feisty,Biker,Rare Frog Hat,Scar,Red,
1104,Tezzardz #1104,Pink,Red,Freckles,,$$,Cool Shades,Green Tongue Feisty,Permanent Vacation Tee,Backwards Cap,,,
1105,Tezzardz #1105,Peach,Purple,Heavy Bolt,,,,Split Tongue Pink Feisty,Silk Shirt Blue,Backwards Cap Jungle,,,
1106,Tezzardz #1106,Pink,Purple,Heavy Freckles,Bone,$$,Bad Eyesight Reybannes,Green Tongue Wavy Sassy,Fk Yeh Sweater,Sad Boi Cap,,,
1107,Tezzardz #1107,Green,Purple,Heavy Bolt,Rainbow,$$,,Straight Tongue Sad,Permanent Vacation Tee,Plain Black Spikes,,,
1108,Tezzardz #1108,Pink,Red,Heavy,,$,,Tiny Face,Space Onesie,Plain Black Spikes,,,
1109,Tezzardz #1109,Pink,Orange,Heavy,Bone,,Flame Shades,Bent Tongue Feisty,Silk Shirt Dark,Rainbow Spikes,,,
1110,Tezzardz #1110,Peach,Green,Freckles,Bone,$,,Bent Tongue Feisty,Space Onesie,Green Spikes,Scar,,
1111,Tezzardz #1111,Yellow,Red,Heavy Freckles,Rainbow,$,Joke Eyes Glasses,Bent Tongue Feisty,Patterned Sweater,Red Spikes,,,
1112,Tezzardz #1112,Yellow,Green,Heavy Bolt,Bone,$$,Cool Shades,Straight Tongue Feisty,Ghost Tee,Jester Crown,,,
1113,Tezzardz #1113,Pink,Green,Heavy Bolt,,$$$,Bad Eyesight Reybannes,Straight Tongue Feisty,Patterned Tee,Purple Spikes,,,
1114,Tezzardz #1114,Peach,Yellow,Freckles,Bone,,Dopey Swimming Goggles,Dumb Tongue,Gardening Utility Belt,Plain Black Spikes,,,
1115,Tezzardz #1115,Pink,Purple,Freckles,Bone,$$,Plain Specs,Straight Tongue Sad,Patterned Sweater,Rainbow Spikes,,Red,
1116,Tezzardz #1116,Peach,Red,Heavy Freckles,Bone,$,Flame Shades,Straight Tongue Sad,Fk Yeh Sweater,Sad Boi Cap,,,
1117,Tezzardz #1117,Purple,White,Freckles,,$,Disguise Glasses,Green Tongue Wavy Sassy,Patterned Tee,Plain Black Spikes,,,
1118,Tezzardz #1118,Peach,Red,Freckles,,$$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Rainbow Onesie,Red Spikes,,,
1119,Tezzardz #1119,Green,Green,Freckles,Rainbow,$$$,,Bent Tongue Feisty,Rainbow Onesie,Rainbow Spikes,,,
1120,Tezzardz #1120,Peach,Green,Freckles,,$$$$$,Bad Eyesight Reybannes,Green Tongue Wavy Sassy,Tassle Jacket,Green Spikes,,Pink,
1121,Tezzardz #1121,Green,Purple,Freckles,Rainbow,$,Bad Eyesight Reybannes,Straight Tongue Feisty,Fk Yeh Sweater,Rainbow Spikes,,,
1122,Tezzardz #1122,Peach,Yellow,Heavy,,$,Cool Shades,Green Tongue Feisty,Silk Shirt Blue,,Scar,,
1123,Tezzardz #1123,Blue,Green,Freckles,Gold,$,,Straight Tongue Sad,Tassle Jacket,Rainbow Spikes,,,
1124,Tezzardz #1124,Yellow,Red,Heavy Bolt,Bone,$,Hearts Shades,Straight Tongue Feisty,Patterned Tee,Plain Black Spikes,,,
1125,Tezzardz #1125,Green,Orange,Heavy Freckles,Gold,$$$,Gold Leaf Eye Patch,Split Tongue Feisty,Silk Shirt Dark,Fancy Hat,,Red,
1126,Tezzardz #1126,Green,Orange,Freckles,,,Flame Shades,Straight Tongue Sad,Tassle Jacket,Plain Black Spikes,,,
1127,Tezzardz #1127,Green,Red,Heavy Freckles,Bone,$,,Split Tongue Angry,Silk Shirt Dark,Limited Spikes,,,
1128,Tezzardz #1128,Yellow,Red,Heavy Bolt,,$,Dopey Swimming Goggles,Split Tongue Pink Feisty,Firework Utility Belt,Red Spikes,,,
1129,Tezzardz #1129,Peach,Orange,Heavy,,$$$,Flame Shades,Split Tongue Pink Feisty,Video Games Tee,,,,
1130,Tezzardz #1130,Pink,Orange,Heavy Freckles,Bone,$,,Dumb Tongue,Patterned Sweater,Green Spikes,Scar,,
1131,Tezzardz #1131,Purple,Purple,Bolt,,,,Straight Tongue Feisty,Space Onesie,Rainbow Spikes,,,
1132,Tezzardz #1132,Peach,Purple,Heavy Bolt,,$$,Hearts Shades,Split Tongue Feisty,Silk Shirt Dark,Sad Boi Cap,,,
1133,Tezzardz #1133,Purple,Red,Bolt,Gold,,Gold Leaf Eye Patch,Straight Tongue Sad,Pink Biker,Purple Spikes,,Green,
1134,Tezzardz #1134,Pink,Red,Heavy Freckles,Bone,$,,Green Tongue Feisty,Gardening Utility Belt,Red Spikes,,,
1135,Tezzardz #1135,Green,Yellow,Heavy Freckles,Bone,,,Tiny Face,Fk Yeh Sweater,Red Spikes,,,
1136,Tezzardz #1136,Blue,Red,Purple,,$,Plain Specs,Straight Tongue Sad,Fk Yeh Sweater,Red Spikes,,,
1137,Tezzardz #1137,Blue,Orange,Heavy,Rainbow,$,,Green Tongue Wavy Sassy,Fk Yeh Sweater,Backwards Cap Jungle,,,
1138,Tezzardz #1138,Yellow,Orange,Heavy Bolt,Bone,$$,,Split Tongue Pink Feisty,Permanent Vacation Tee,Backwards Cap Flames,,,
1139,Tezzardz #1139,Blue,Green,Heavy Freckles,Bone,$$$$,,Straight Tongue Feisty,Fk Yeh Sweater,Red Spikes,,,
1140,Tezzardz #1140,Blue,Yellow,Heavy Bolt,,$$$,Bad Eyesight Reybannes,Bent Tongue Feisty,Ghost Tee,Plain Black Spikes,,,
1141,Tezzardz #1141,Pink,Purple,Heavy,,$,Cool Shades,Split Tongue Pink Feisty,Pink Biker,Purple Spikes,,,
1142,Tezzardz #1142,Yellow,Green,Heavy,,$$$$,Gold Leaf Eye Patch,Blue Tongue Wavy Not Amused,Fk Yeh Sweater,Purple Spikes,,,
1143,Tezzardz #1143,Yellow,Green,Heavy Freckles,Gold,$$$$,Cool Shades,Straight Tongue Feisty,Video Games Tee,Red Spikes,Scar,,
1144,Tezzardz #1144,Blue,Red,Heavy Freckles,Gold,,Plain Specs,Straight Tongue Sad,Skulls Shell Suit,Backwards Cap Jungle,,,
1145,Tezzardz #1145,Peach,Orange,Green,,$$$,,Dumb Tongue,Rainbow Onesie,Limited Spikes,,,
1146,Tezzardz #1146,Green,Orange,Freckles,Gold,$,Cool Shades,Bent Tongue Feisty,Silk Shirt Dark,Backwards Cap Jungle,,,
1147,Tezzardz #1147,Purple,Purple,Heavy Freckles,,,Flame Shades,Green Tongue Wavy Sassy,Rainbow Onesie,Backwards Cap,,,
1148,Tezzardz #1148,Pink,Purple,Heavy Freckles,,$$$,Disguise Glasses,Split Tongue Angry,Shrine Onesie,,Scar,,
1149,Tezzardz #1149,Yellow,Yellow,Heavy,Gold,$$,Monocle,Straight Tongue Sad,Ghost Tee,Balaclava,,,
1150,Tezzardz #1150,Pink,Red,Freckles,Rainbow,$$$,,Tiny Face,Fk Yeh Sweater,Sad Boi Cap,,,
1151,Tezzardz #1151,Yellow,Green,Freckles,,$,,Straight Tongue Feisty,Tassle Jacket,Plain Black Spikes,,,
1152,Tezzardz #1152,Peach,Red,Heavy,Gold,$$$,Plain Specs,Straight Tongue Feisty,Silk Shirt Dark,Plain Black Spikes,,Red,
1153,Tezzardz #1153,Blue,Orange,Heavy,Rainbow,$,Gold Leaf Eye Patch,Straight Tongue Sad,Silk Shirt Blue,Party Pal Hat,,Red,
1154,Tezzardz #1154,Peach,Purple,Heavy,Bone,$$,Flame Shades,Green Tongue Feisty,Ghost Tee,Green Spikes,,,
1155,Tezzardz #1155,Pink,Orange,Bolt,Bone,$,,Straight Tongue Sad,Rainbow Onesie,Party Pal Hat,Scar,,
1156,Tezzardz #1156,Purple,Purple,Bolt,Bone,,Flame Shades,Blue Tongue Wavy Not Amused,Meditation Tee,Green Spikes,,,
1157,Tezzardz #1157,Yellow,Green,Heavy,,$,Cool Shades,Green Tongue Feisty,Silk Shirt Dark,Limited Spikes,,,
1158,Tezzardz #1158,Pink,Green,Heavy Freckles,Bone,,Flame Shades,Bent Tongue Feisty,Meditation Tee,Red Spikes,,,
1159,Tezzardz #1159,Blue,Red,Bolt,Bone,$,,Straight Tongue Feisty,Video Games Tee,Green Spikes,,,
1160,Tezzardz #1160,Green,Red,Bolt,,,Dopey Swimming Goggles,Blue Tongue Wavy Not Amused,Patterned Tee,Plain Black Spikes,,,
1161,Tezzardz #1161,Purple,Orange,Heavy Freckles,Bone,$$,Hearts Shades,Straight Tongue Sad,Fk Yeh Sweater,Backwards Cap Jungle,,,
1162,Tezzardz #1162,Peach,Purple,Freckles,Bone,$,Plain Specs,Green Tongue Feisty,Patterned Sweater,Rare Frog Hat,,,
1163,Tezzardz #1163,Peach,Yellow,Heavy,Rainbow,$$$,Cool Shades,Straight Tongue Sad,Space Onesie,,Scar,,
1164,Tezzardz #1164,Blue,Purple,Heavy,Bone,,Plain Specs,Green Tongue Wavy Sassy,Meditation Tee,Purple Spikes,,,
1165,Tezzardz #1165,Pink,Yellow,Heavy,Bone,$,Bad Eyesight Reybannes,Straight Tongue Sad,Ghost Tee,Yellow Spikes,,,
1166,Tezzardz #1166,Peach,Purple,Freckles,,$,,Green Tongue Feisty,Silk Shirt Dark,Backwards Cap Jungle,,Red,
1167,Tezzardz #1167,Yellow,Purple,Freckles,Bone,$$$,Cool Shades,Straight Tongue Feisty,Silk Shirt Blue,Red Spikes,,,
1168,Tezzardz #1168,Blue,Red,Heavy Bolt,Gold,$$$,Cool Shades,Bent Tongue Feisty,Space Onesie,Red Spikes,,,
1169,Tezzardz #1169,Peach,Green,Bolt,,$$,Hearts Shades,Straight Tongue Feisty,Rainbow Onesie,Limited Spikes,,,
1170,Tezzardz #1170,Yellow,Orange,Bolt,,$,Cool Shades,Bent Tongue Feisty,Tassle Jacket,Fancy Hat,,Green,
1171,Tezzardz #1171,Pink,Orange,Heavy Bolt,Bone,$,,Split Tongue Angry,Patterned Sweater,,,,
1172,Tezzardz #1172,Peach,Green,Freckles,Bone,,Flame Shades,Split Tongue Feisty,Meditation Tee,Plain Black Spikes,,,
1173,Tezzardz #1173,Green,Red,Heavy Bolt,Bone,$$,,Straight Tongue Sad,Space Onesie,Yellow Spikes,,,
1174,Tezzardz #1174,Green,Purple,Heavy,,,,Straight Tongue Feisty,Firework Utility Belt,Fancy Hat,,,
1175,Tezzardz #1175,Green,Red,Freckles,,$,Flame Shades,Straight Tongue Sad,Meditation Tee,Hunting Hat,,,
1176,Tezzardz #1176,Pink,Green,Bolt,,$,,Bent Tongue Feisty,Patterned Sweater,Plain Black Spikes,,,
1177,Tezzardz #1177,Yellow,Green,Heavy Bolt,Rainbow,,Gold Leaf Eye Patch,Split Tongue Feisty,Rainbow Onesie,Yellow Spikes,,,
1178,Tezzardz #1178,Yellow,Purple,Heavy Bolt,,$,,Straight Tongue Sad,Rainbow Onesie,Plain Black Spikes,,,
1179,Tezzardz #1179,Purple,Orange,Heavy Bolt,,$,Cool Shades,Straight Tongue Sad,Rainbow Onesie,Plain Black Spikes,,,
1180,Tezzardz #1180,Pink,Green,Heavy Bolt,,$,Flame Shades,Straight Tongue Sad,Silk Shirt Dark,Limited Spikes,,Pink,
1181,Tezzardz #1181,Purple,Purple,Bolt,Rainbow,$$$,Dopey Swimming Goggles,Straight Tongue Feisty,Skulls Shell Suit,Purple Spikes,,,
1182,Tezzardz #1182,Green,Yellow,Orange,,$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Ghost Tee,Plain Black Spikes,,,
1183,Tezzardz #1183,Green,White,Heavy,,$,,Split Tongue Angry,Fk Yeh Sweater,Sad Boi Cap,,,
1184,Tezzardz #1184,Peach,Purple,Heavy Freckles,,$$$$,Tech Scope,Bent Tongue Feisty,Meditation Tee,Yellow Spikes,,,
1185,Tezzardz #1185,Yellow,Orange,Bolt,,$$,Hearts Shades,Bent Tongue Feisty,Fk Yeh Sweater,Purple Spikes,,,
1186,Tezzardz #1186,Green,Green,Bolt,,$$$,Dopey Swimming Goggles,Dumb Tongue,Skulls Shell Suit,Purple Spikes,,,
1187,Tezzardz #1187,Peach,Green,Freckles,,,,Split Tongue Feisty,Silk Shirt Dark,Fancy Hat,,Green,
1188,Tezzardz #1188,Peach,Yellow,Freckles,,,,Bent Tongue Feisty,Silk Shirt Blue,,,,
1189,Tezzardz #1189,Blue,Purple,Green,,$$,Flame Shades,Split Tongue Pink Feisty,Meditation Tee,Plain Black Spikes,,,
1190,Tezzardz #1190,Peach,Green,Freckles,Rainbow,$$,,Straight Tongue Feisty,Silk Shirt Dark,Backwards Cap Jungle,,,
1191,Tezzardz #1191,Pink,Yellow,Heavy Freckles,,$,Hearts Shades,Split Tongue Angry,Fk Yeh Sweater,,,,
1192,Tezzardz #1192,Blue,Orange,Heavy Freckles,Bone,$,Plain Specs,Split Tongue Pink Feisty,,,,,
1193,Tezzardz #1193,Green,Yellow,Heavy Freckles,,$,Joke Eyes Glasses,Blue Tongue Wavy Not Amused,Patterned Sweater,,Scar,,
1194,Tezzardz #1194,Pink,Purple,Freckles,,,Cool Shades,Split Tongue Angry,Rainbow Onesie,Backwards Cap Jungle,Scar,,
1195,Tezzardz #1195,Yellow,Yellow,Bolt,Bone,$$$,Flame Shades,Split Tongue Angry,Rainbow Onesie,Red Spikes,,,
1196,Tezzardz #1196,Pink,White,Heavy,,,Cool Shades,Bent Tongue Feisty,Pink Biker,Backwards Cap Flames,,,
1197,Tezzardz #1197,Peach,White,Heavy Freckles,,$$,,Straight Tongue Feisty,Tech Armour,Purple Spikes,,,
1198,Tezzardz #1198,Pink,Green,Freckles,Bone,$$,Plain Specs,Green Tongue Feisty,Patterned Sweater,Red Spikes,,,
1199,Tezzardz #1199,Green,Red,Freckles,Gold,$$,Disguise Glasses,Split Tongue Feisty,Silk Shirt Blue,Hunting Hat,,,
1200,Tezzardz #1200,Purple,Green,Heavy,Bone,$$,Monocle,Dumb Tongue,Rainbow Onesie,Limited Spikes,Scar,,
1201,Tezzardz #1201,Peach,Purple,Bolt,Bone,$$,Monocle,Green Tongue Feisty,Space Onesie,Plain Black Spikes,,,
1202,Tezzardz #1202,Pink,Yellow,Heavy Freckles,Bone,$,,Split Tongue Feisty,Patterned Sweater,Yellow Spikes,,,
1203,Tezzardz #1203,Peach,Yellow,Heavy,,$,Plain Specs,Split Tongue Angry,Silk Shirt Dark,Yellow Spikes,,,
1204,Tezzardz #1204,Yellow,Red,Heavy Bolt,Gold,$$,Tech Scope,Straight Tongue Feisty,Firework Utility Belt,Party Pal Hat,,,
1205,Tezzardz #1205,Green,Purple,Freckles,,$,,Dumb Tongue,Silk Shirt Blue,Red Spikes,,,
1206,Tezzardz #1206,Peach,Purple,Green,Bone,$$,,Straight Tongue Feisty,Meditation Tee,Hunting Hat,,,
1207,Tezzardz #1207,Blue,Red,Freckles,,$$,Hearts Shades,Straight Tongue Sad,Fk Yeh Sweater,,,,
1208,Tezzardz #1208,Peach,Orange,Bolt,,$,Disguise Glasses,Split Tongue Feisty,Silk Shirt Blue,Red Spikes,,,
1209,Tezzardz #1209,Pink,Yellow,Heavy Freckles,,$$$,Hearts Shades,Split Tongue Angry,Tassle Jacket,Jester Crown,,Green,
1210,Tezzardz #1210,Blue,Green,Purple,Bone,,Plain Specs,Green Tongue Feisty,Fk Yeh Sweater,Green Spikes,,,
1211,Tezzardz #1211,Pink,Yellow,Bolt,,,Cool Shades,Green Tongue Feisty,Gardening Utility Belt,Green Spikes,Scar,,
1212,Tezzardz #1212,Purple,Purple,Bolt,Rainbow,$$$,Cool Shades,Straight Tongue Feisty,Pink Biker,Plain Black Spikes,,Green,
1213,Tezzardz #1213,Purple,Green,Heavy Bolt,,$,,Green Tongue Feisty,Ghost Tee,Backwards Cap Jungle,,,
1214,Tezzardz #1214,Green,Green,Heavy Freckles,Bone,$,Plain Specs,Bent Tongue Feisty,Silk Shirt Dark,Purple Spikes,Scar,Green,
1215,Tezzardz #1215,Yellow,Red,Bolt,Gold,,Flame Shades,Dumb Tongue,Ghost Tee,Rainbow Spikes,,,
1216,Tezzardz #1216,Blue,Orange,Heavy,Bone,,Gold Leaf Eye Patch,Split Tongue Pink Feisty,Video Games Tee,Sad Boi Cap,,,
1217,Tezzardz #1217,Purple,Purple,Heavy,,$$,Flame Shades,Straight Tongue Feisty,Ghost Tee,Backwards Cap Jungle,,,
1218,Tezzardz #1218,Green,Purple,Freckles,Rainbow,$,Hearts Shades,Straight Tongue Feisty,,Rainbow Spikes,,,
1219,Tezzardz #1219,Pink,Yellow,Freckles,,$$,Joke Eyes Glasses,Straight Tongue Feisty,Silk Shirt Dark,Yellow Spikes,,Pink,
1220,Tezzardz #1220,Pink,Green,Heavy Freckles,,$$,Cool Shades,Blue Tongue Wavy Not Amused,Patterned Sweater,Party Pal Hat,,,
1221,Tezzardz #1221,Yellow,Purple,Heavy Bolt,Rainbow,$$,,Straight Tongue Sad,Space Onesie,Plain Black Spikes,Scar,,
1222,Tezzardz #1222,Green,Purple,Bolt,,$$,Disguise Glasses,Split Tongue Feisty,Rainbow Onesie,Backwards Cap Flames,,,
1223,Tezzardz #1223,Blue,Red,Bolt,,$,Flame Shades,Straight Tongue Sad,Silk Shirt Blue,Backwards Cap Flames,,Red,
1224,Tezzardz #1224,Green,Red,Bolt,Rainbow,$$$$$,Cool Shades,Bent Tongue Feisty,Skulls Shell Suit,Limited Spikes,Scar,,
1225,Tezzardz #1225,Yellow,Orange,Bolt,,$,,Split Tongue Feisty,Tassle Jacket,Yellow Spikes,,Red,
1226,Tezzardz #1226,Peach,Orange,Heavy,,,,Green Tongue Feisty,Silk Shirt Dark,Hunting Hat,,Red,
1227,Tezzardz #1227,Green,Purple,Heavy Freckles,Bone,$,,Blue Tongue Wavy Not Amused,Gardening Utility Belt,Limited Spikes,,,
1228,Tezzardz #1228,Purple,Yellow,Heavy Freckles,Rainbow,$$$$$,,Split Tongue Feisty,Fk Yeh Sweater,Red Spikes,,,
1229,Tezzardz #1229,Yellow,Red,Heavy Bolt,,$,Cool Shades,Green Tongue Wavy Sassy,Silk Shirt Dark,Sad Boi Cap,,,
1230,Tezzardz #1230,Peach,Yellow,Bolt,,$$,Gold Leaf Eye Patch,Straight Tongue Sad,Fk Yeh Sweater,Backwards Cap,Scar,,
1231,Tezzardz #1231,Yellow,Red,Heavy,,$,Dopey Swimming Goggles,Straight Tongue Feisty,Tassle Jacket,Sad Boi Cap,,,
1232,Tezzardz #1232,Blue,Yellow,Heavy,,$$$$,Flame Shades,Green Tongue Feisty,Rainbow Onesie,Fancy Hat,,,
1233,Tezzardz #1233,Green,Purple,Heavy Freckles,,$,Bad Eyesight Reybannes,Straight Tongue Feisty,Shrine Onesie,Rare Frog Hat,,,
1234,Tezzardz #1234,Yellow,Yellow,Bolt,,$,,Straight Tongue Sad,Silk Shirt Dark,Red Spikes,,,
1235,Tezzardz #1235,Pink,Purple,Heavy Freckles,,$,Cool Shades,Straight Tongue Feisty,Space Onesie,Rainbow Spikes,,,
1236,Tezzardz #1236,Yellow,Purple,Bolt,,$$,,Straight Tongue Feisty,Space Onesie,Party Pal Hat,,,
1237,Tezzardz #1237,Yellow,Green,Heavy Freckles,Rainbow,$,,Straight Tongue Sad,Fk Yeh Sweater,Purple Spikes,,,
1238,Tezzardz #1238,Pink,Red,Heavy,Rainbow,$,,Straight Tongue Feisty,Ghost Tee,,,,
1239,Tezzardz #1239,Peach,Red,Freckles,,$$,,Bent Tongue Feisty,Pink Biker,,,,
1240,Tezzardz #1240,Green,Purple,Heavy,Bone,$$,,Green Tongue Wavy Sassy,Silk Shirt Dark,Purple Spikes,,,
1241,Tezzardz #1241,Green,Orange,Heavy,Bone,$,Tech Scope,Split Tongue Feisty,Fk Yeh Sweater,,,,
1242,Tezzardz #1242,Purple,Red,Heavy Freckles,,,,Bent Tongue Feisty,Video Games Tee,Rainbow Spikes,,,
1243,Tezzardz #1243,Peach,Green,Freckles,,$$$,,Bent Tongue Feisty,Meditation Tee,Jester Crown,,,
1244,Tezzardz #1244,Pink,Green,Heavy,Bone,$,,Blue Tongue Wavy Not Amused,Patterned Tee,Plain Black Spikes,,,
1245,Tezzardz #1245,Pink,Orange,Bolt,Bone,$$,Bad Eyesight Reybannes,Green Tongue Feisty,Ghost Tee,Purple Spikes,,,
1246,Tezzardz #1246,Green,Red,Heavy Freckles,,$$,,Green Tongue Wavy Sassy,Tassle Jacket,Hunting Hat,,Pink,
1247,Tezzardz #1247,Yellow,Yellow,Heavy,,$$,,Straight Tongue Feisty,Video Games Tee,Hunting Hat,,,
1248,Tezzardz #1248,Blue,Yellow,Heavy Freckles,,$$$$,Monocle,Split Tongue Angry,Silk Shirt Dark,Plain Black Spikes,,,
1249,Tezzardz #1249,Pink,Green,Orange,Bone,$,,Green Tongue Wavy Sassy,,Plain Black Spikes,,,
1250,Tezzardz #1250,Yellow,Red,Purple,Bone,$$,,Straight Tongue Sad,Meditation Tee,Backwards Cap Jungle,,,
1251,Tezzardz #1251,Yellow,Yellow,Heavy Freckles,,$,Flame Shades,Straight Tongue Feisty,Ghost Tee,Backwards Cap Jungle,,,
1252,Tezzardz #1252,Yellow,Red,Heavy Freckles,Gold,$$,,Straight Tongue Feisty,Patterned Sweater,Rainbow Spikes,,,
1253,Tezzardz #1253,Peach,Orange,Freckles,Bone,$$$,Plain Specs,Straight Tongue Sad,Silk Shirt Blue,Yellow Spikes,Scar,,
1254,Tezzardz #1254,Peach,Orange,Green,,,Dopey Swimming Goggles,Green Tongue Wavy Sassy,Skulls Shell Suit,Yellow Spikes,,,
