TOKEN_ID,TOKEN_NAME,Backgrounds,Base character body,Eyes,Facial Hair,Mouth,Body accessories,Extra face accessories,Head accessories,Hand,Kandi,Rare,Hand ,Most Rare
1943,#1943,bg2,Male BASE 5,Male Eye 2,Facial Hair 8,Mouth 28,Male Tattoo 5,Face Mask 8,Hat 17,MaleHAND 5,Kandi 14,,,
1944,#1944,bg6,Female BASE 1,Female Eye 14,,Mouth 2,Jacket 13,Earring 13,Hat 4,,Kandi 15,,FemaleHAND 1,
1945,#1945,bg3,Female  BASE 5,Female Eye 12,,Mouth 28,Jacket 7,Glasses 12,Hat 8,FemaleHAND 5,Kandi 11,,,
1946,#1946,bg7,Female BASE 4,Female Eye 1,,Mouth 29,Jacket 22,Bandana 21,Hat 17,FemaleHAND 4,Kandi 16,,,
1947,#1947,bg16,Male BASE 2,Male Eye 9,Facial Hair 2,Mouth 21,Necklace 12,Face Mask 29,Hat 13,MaleHAND 2,Kandi 30,,,
1948,#1948,bg20,Male BASE 3,Male Eye 5,Facial Hair 10,Mouth 12,Jacket 26,Face Mask 13,Hat 18,MaleHAND 3,Kandi 13,,,
1949,#1949,bg9,Male BASE 2,Male Eye 10,Facial Hair 9,Mouth 1,Jacket 21,Face Mask 8,Male Hair 12,MaleHAND 2,Kandi 1,,,
1950,#1950,bg4,Male BASE 1,Male Eye 11,Facial Hair 2,Mouth 24,Jacket 27,Face Mask 17,Hat 29,MaleHAND 1,Kandi 6,,,
1951,#1951,bg4,Male BASE 3,Male Eye 14,Facial Hair 1,Mouth 14,T-Shirt 14,Animal Mask 20,Animal Hood 12,MaleHAND 3,Kandi 20,,,
1952,#1952,bg4,Female  BASE 2,Female Eye 4,,Mouth 28,T-Shirt 1,Jewel 13,Animal Hood 8,FemaleHAND 2,Kandi 15,,,
1953,#1953,bg1,Female  BASE 2,Female Eye 7,,Mouth 2,Jacket 13,Glasses 22,Animal Hood 25,FemaleHAND 2,Kandi 16,,,
1954,#1954,bg10,Female BASE 4,Female Eye 5,,Mouth 20,Jacket 19,Bandana 2,Female Hair 15,FemaleHAND 4,Kandi 10,,,
1955,#1955,bg13,Male BASE 2,Male Eye 6,Facial Hair 1,Mouth 8,Necklace 1,Glasses 22,Hat 20,MaleHAND 2,Kandi 20,,,
1956,#1956,bg7,Male BASE 5,Male Eye 15,Facial Hair 5,Mouth 26,T-Shirt 5,Glasses 7,Animal Hood 25,MaleHAND 5,Kandi 18,,,
1957,#1957,bg2,Male BASE 4,Male Eye 12,Facial Hair 3,Mouth 18,Necklace 29,Face Mask 26,Animal Hood 28,MaleHAND 4,Kandi 1,,,
1958,#1958,bg1,Male BASE 3,Male Eye 9,Facial Hair 3,Mouth 28,Necklace 7,Face Mask 8,Hat 17,MaleHAND 3,Kandi 29,,,
1959,#1959,bg17,Female  BASE 5,Female Eye 1,,Mouth 10,Female Tattoo 2,Earring 27,Hat 18,FemaleHAND 5,Kandi 1,,,
1960,#1960,bg3,Male BASE 4,Male Eye 11,Facial Hair 5,Mouth 23,Jacket 17,Face Mask 2,Male Hair 10,MaleHAND 4,Kandi 14,,,
1961,#1961,bg3,Female  BASE 2,Female Eye 4,,Mouth 20,Jacket 14,Face Mask 25,Female Hair 12,FemaleHAND 2,Kandi 2,,,
1962,#1962,bg8,Female BASE 4,Female Eye 3,,Mouth 18,Female Tattoo 2,Animal Mask 3,Animal Hood 12,FemaleHAND 4,Kandi 18,,,
1963,#1963,bg1,Female BASE 1,Female Eye 2,,Mouth 3,T-Shirt 11,Earring 22,Hat 28,,Kandi 7,,FemaleHAND 1,
1964,#1964,bg7,Female BASE 4,Female Eye 6,,Mouth 27,Jacket 16,Bandana 29,Hat 20,FemaleHAND 4,Kandi 14,,,
1965,#1965,bg9,Male BASE 1,Male Eye 12,Facial Hair 6,Mouth 26,Jacket 19,Animal Mask 8,Animal Hood 25,MaleHAND 1,Kandi 21,,,
1966,#1966,bg9,Male BASE 2,Male Eye 2,Facial Hair 7,Mouth 26,T-Shirt 4,Bandana 4,Male Hair 1,MaleHAND 2,Kandi 26,,,
1967,#1967,bg4,Male BASE 5,Male Eye 15,Facial Hair 5,Mouth 27,T-Shirt 10,Bandana 10,Animal Hood 26,MaleHAND 5,Kandi 17,,,
1968,#1968,bg2,Male BASE 2,Male Eye 1,Facial Hair 6,Mouth 25,T-Shirt 15,Glasses 7,Animal Hood 23,MaleHAND 2,Kandi 5,,,
1969,#1969,bg19,Female  BASE 5,Female Eye 4,,Mouth 3,Jacket 20,Glasses 11,Female Hair 5,FemaleHAND 5,Kandi 25,,,
1970,#1970,bg14,Male BASE 4,Male Eye 12,Facial Hair 6,Mouth 3,Male Tattoo 5,Face Mask 28,Animal Hood 16,MaleHAND 4,Kandi 27,,,
1971,#1971,bg20,Female  BASE 2,Female Eye 8,,Mouth 26,Jacket 24,Animal Mask 5,Animal Hood 4,FemaleHAND 2,Kandi 22,,,
1972,#1972,bg12,Male BASE 3,Male Eye 10,Facial Hair 7,Mouth 15,Male Tattoo 2,Bandana 13,Animal Hood 15,MaleHAND 3,Kandi 16,,,
1973,#1973,bg18,Female  BASE 5,Female Eye 11,,Mouth 1,T-Shirt 2,Glasses 6,Animal Hood 26,FemaleHAND 5,Kandi 13,,,
1974,#1974,bg11,Male BASE 1,Male Eye 11,Facial Hair 2,Mouth 9,T-Shirt 14,Glasses 18,Hat 16,MaleHAND 1,Kandi 16,,,
1975,#1975,bg17,Female BASE 1,Female Eye 11,,Mouth 4,T-Shirt 5,Earring 26,Animal Hood 21,,Kandi 8,,FemaleHAND 1,
1976,#1976,bg15,Female BASE 1,Female Eye 6,,Mouth 26,Necklace 16,Earring 4,Animal Hood 24,,Kandi 1,,FemaleHAND 1,
1977,#1977,bg19,Male BASE 5,Male Eye 2,Facial Hair 7,Mouth 17,Male Tattoo 2,Male Sugar Mask 3,Male Hair 9,MaleHAND 5,Kandi 25,,,
1978,#1978,bg6,Female  BASE 2,Female Eye 14,,Mouth 25,Necklace 2,Glasses 29,Female Hair 12,FemaleHAND 2,Kandi 10,,,
1979,#1979,bg2,Female BASE 1,Female Eye 1,,Mouth 23,Necklace 27,Face Mask 8,Animal Hood 24,,Kandi 10,,FemaleHAND 1,
1980,#1980,bg14,Male BASE 3,Male Eye 1,Facial Hair 5,Mouth 15,Necklace 23,Glasses 10,Animal Hood 4,MaleHAND 3,Kandi 24,,,
1981,#1981,bg16,Female  BASE 2,Female Eye 7,,Mouth 26,Jacket 12,Bandana 21,Animal Hood 12,FemaleHAND 2,Kandi 2,,,
1982,#1982,bg4,Female BASE 1,Female Eye 2,,Mouth 17,Female Tattoo 1,Animal Mask 7,Hat 19,,Kandi 20,,FemaleHAND 1,
1983,#1983,bg1,Male BASE 1,Male Eye 5,Facial Hair 8,Mouth 22,Male Tattoo 1,Glasses 25,Animal Hood 15,MaleHAND 1,Kandi 5,,,
1984,#1984,bg1,Male BASE 1,Male Eye 5,Facial Hair 1,Mouth 29,Male Tattoo 3,Animal Mask 14,Hat 14,MaleHAND 1,Kandi 28,,,
1985,#1985,bg13,Male BASE 4,Male Eye 6,Facial Hair 2,Mouth 16,T-Shirt 24,Bandana 24,Male Hair 8,MaleHAND 4,Kandi 8,,,
1986,#1986,bg13,Male BASE 1,Male Eye 7,Facial Hair 10,Mouth 15,Jacket 28,Face Mask 17,Male Hair 13,MaleHAND 1,Kandi 4,,,
1987,#1987,bg3,Male BASE 4,Male Eye 9,Facial Hair 2,Mouth 8,Jacket 5,Animal Mask 29,Animal Hood 17,MaleHAND 4,Kandi 22,,,
1988,#1988,bg7,Male BASE 2,Male Eye 2,Facial Hair 6,Mouth 1,Necklace 29,Glasses 16,Male Hair 10,MaleHAND 2,Kandi 19,,,
1989,#1989,bg9,Male BASE 1,Male Eye 15,Facial Hair 9,Mouth 26,T-Shirt 15,Animal Mask 17,Hat 3,MaleHAND 1,Kandi 15,,,
1990,#1990,bg20,Male BASE 2,Male Eye 14,Facial Hair 9,Mouth 8,Jacket 27,Bandana 11,Male Hair 1,MaleHAND 2,Kandi 16,,,
1991,#1991,bg8,Female  BASE 5,Female Eye 15,,Mouth 14,T-Shirt 28,Bandana 7,Animal Hood 15,FemaleHAND 5,Kandi 7,,,
1992,#1992,bg20,Female BASE 3,Female Eye 4,,Mouth 15,Jacket 4,Glasses 30,Animal Hood 29,FemaleHAND 3,Kandi 24,,,
1993,#1993,bg18,Female BASE 1,Female Eye 13,,Mouth 14,Female Tattoo 2,Face Mask 27,Animal Hood 14,,Kandi 14,,FemaleHAND 1,
1994,#1994,bg15,Male BASE 1,Male Eye 2,Facial Hair 10,Mouth 1,Necklace 11,Glasses 15,Hat 9,MaleHAND 1,Kandi 30,,,
1995,#1995,bg7,Female  BASE 5,Female Eye 10,,Mouth 18,Jacket 8,Bandana 10,Animal Hood 22,FemaleHAND 5,Kandi 7,,,
1996,#1996,bg11,Female BASE 1,Female Eye 7,,Mouth 23,Jacket 1,Face Mask 17,Hat 8,,Kandi 23,,FemaleHAND 1,
1997,#1997,bg15,Female BASE 4,Female Eye 6,,Mouth 13,Jacket 20,Animal Mask 29,Animal Hood 23,FemaleHAND 4,Kandi 1,,,
1998,#1998,bg14,Female  BASE 5,Female Eye 3,,Mouth 6,Jacket 1,Glasses 4,Hat 7,FemaleHAND 5,Kandi 2,,,
1999,#1999,bg7,Female  BASE 2,Female Eye 7,,Mouth 5,Necklace 14,Animal Mask 14,Animal Hood 19,FemaleHAND 2,Kandi 26,,,
2000,#2000,bg1,Female BASE 4,Female Eye 12,,Mouth 12,Necklace 24,Animal Mask 8,Animal Hood 24,FemaleHAND 4,Kandi 16,,,
2001,#2001,bg11,Male BASE 4,Male Eye 2,Facial Hair 7,Mouth 15,Jacket 24,Male Sugar Mask 4,Hat 12,MaleHAND 4,Kandi 3,,,
2002,#2002,bg9,Male BASE 2,Male Eye 11,Facial Hair 9,Mouth 2,Male Tattoo 1,Male Sugar Mask 2,Male Hair 3,MaleHAND 2,Kandi 6,,,
2003,#2003,bg1,Female  BASE 5,Female Eye 9,,Mouth 13,Necklace 5,Bandana 2,Animal Hood 25,FemaleHAND 5,Kandi 30,,,
2004,#2004,bg2,Female BASE 1,Female Eye 5,,Mouth 21,T-Shirt 7,Animal Mask 3,Hat 7,,Kandi 21,,FemaleHAND 1,
2005,#2005,bg4,Female BASE 4,Female Eye 7,,Mouth 3,Jacket 8,Bandana 21,Animal Hood 29,FemaleHAND 4,Kandi 8,,,
2006,#2006,bg11,Male BASE 4,Male Eye 5,Facial Hair 7,Mouth 9,T-Shirt 3,Animal Mask 19,Animal Hood 7,MaleHAND 4,Kandi 24,,,
2007,#2007,bg1,Female  BASE 5,Female Eye 7,,Mouth 28,Jacket 1,Animal Mask 27,Hat 8,FemaleHAND 5,Kandi 20,,,
2008,#2008,bg8,Female  BASE 5,Female Eye 5,,Mouth 24,Necklace 3,Earring 19,Hat 23,FemaleHAND 5,Kandi 4,,,
2009,#2009,bg19,Female  BASE 2,Female Eye 9,,Mouth 25,T-Shirt 2,Jewel 4,Female Hair 3,FemaleHAND 2,Kandi 12,,,
2010,#2010,bg16,Female BASE 4,Female Eye 15,,Mouth 11,Jacket 7,Bandana 17,Animal Hood 14,FemaleHAND 4,Kandi 13,,,
2011,#2011,bg19,Female BASE 1,Female Eye 1,,Mouth 6,Necklace 14,Bandana 21,Female Hair 4,,Kandi 27,,FemaleHAND 1,
2012,#2012,bg18,Male BASE 3,Male Eye 1,Facial Hair 1,Mouth 5,T-Shirt 22,Bandana 26,Hat 15,MaleHAND 3,Kandi 10,,,
2013,#2013,bg6,Male BASE 4,Male Eye 7,Facial Hair 3,Mouth 7,Necklace 30,Face Mask 30,Animal Hood 2,MaleHAND 4,Kandi 24,,,
2014,#2014,bg18,Female BASE 3,Female Eye 11,,Mouth 24,Jacket 5,Face Mask 26,Animal Hood 7,FemaleHAND 3,Kandi 2,,,
2015,#2015,bg18,Male BASE 5,Male Eye 12,Facial Hair 4,Mouth 28,T-Shirt 13,Bandana 22,Animal Hood 11,MaleHAND 5,Kandi 13,,,
2016,#2016,bg18,Male BASE 1,Male Eye 1,Facial Hair 10,Mouth 8,Jacket 30,Bandana 23,Male Hair 4,MaleHAND 1,Kandi 19,,,
2017,#2017,bg5,Female BASE 4,Female Eye 4,,Mouth 24,T-Shirt 22,Face Mask 28,Animal Hood 22,FemaleHAND 4,Kandi 30,,,
2018,#2018,bg6,Male BASE 5,Male Eye 5,Facial Hair 7,Mouth 21,T-Shirt 11,Glasses 11,Animal Hood 1,MaleHAND 5,Kandi 1,,,
2019,#2019,bg10,Female  BASE 5,Female Eye 9,,Mouth 26,Necklace 29,Animal Mask 20,Hat 4,FemaleHAND 5,Kandi 5,,,
2020,#2020,bg2,Male BASE 3,Male Eye 11,Facial Hair 7,Mouth 1,Jacket 10,Bandana 21,Animal Hood 24,MaleHAND 3,Kandi 30,,,
2021,#2021,bg18,Female  BASE 5,Female Eye 11,,Mouth 23,Necklace 10,Glasses 10,Animal Hood 8,FemaleHAND 5,Kandi 17,,,
2022,#2022,bg10,Male BASE 5,Male Eye 2,Facial Hair 2,Mouth 24,T-Shirt 13,Face Mask 12,Hat 26,MaleHAND 5,Kandi 25,,,
2023,#2023,bg11,Female BASE 3,Female Eye 10,,Mouth 21,Female Tattoo 4,Earring 13,Animal Hood 20,FemaleHAND 3,Kandi 9,,,
2024,#2024,bg11,Male BASE 5,Male Eye 13,Facial Hair 1,Mouth 12,T-Shirt 4,Male Sugar Mask 1,Hat 10,MaleHAND 5,Kandi 15,,,
2025,#2025,bg10,Male BASE 2,Male Eye 13,Facial Hair 6,Mouth 14,T-Shirt 21,Glasses 13,Hat 3,MaleHAND 2,Kandi 19,,,
2026,#2026,bg18,Female BASE 1,Female Eye 12,,Mouth 17,T-Shirt 22,Face Mask 19,Hat 7,,Kandi 11,,FemaleHAND 1,
2027,#2027,bg4,Female BASE 4,Female Eye 8,,Mouth 12,Necklace 10,Earring 20,Hat 13,FemaleHAND 4,Kandi 13,,,
2028,#2028,bg4,Female  BASE 2,Female Eye 9,,Mouth 18,Necklace 8,Earring 21,Animal Hood 19,FemaleHAND 2,Kandi 24,,,
2029,#2029,bg5,Male BASE 4,Male Eye 7,Facial Hair 7,Mouth 10,Jacket 26,Glasses 30,Animal Hood 15,MaleHAND 4,Kandi 7,,,
2030,#2030,bg11,Female BASE 1,Female Eye 4,,Mouth 17,T-Shirt 8,Female Sugar Mask 3,Animal Hood 30,,Kandi 29,,FemaleHAND 1,
2031,#2031,bg15,Male BASE 2,Male Eye 3,Facial Hair 10,Mouth 4,Necklace 28,Bandana 13,Hat 16,MaleHAND 2,Kandi 23,,,
2032,#2032,bg18,Female  BASE 2,Female Eye 11,,Mouth 1,Female Tattoo 5,Glasses 12,Animal Hood 29,FemaleHAND 2,Kandi 4,,,
2033,#2033,bg15,Male BASE 1,Male Eye 10,Facial Hair 2,Mouth 5,Necklace 22,Bandana 23,Hat 8,MaleHAND 1,Kandi 24,,,
2034,#2034,bg4,Female BASE 1,Female Eye 6,,Mouth 3,Jacket 8,Glasses 21,Female Hair 14,,Kandi 16,,FemaleHAND 1,
2035,#2035,bg18,Male BASE 3,Male Eye 11,Facial Hair 10,Mouth 7,T-Shirt 11,Bandana 10,Hat 8,MaleHAND 3,Kandi 4,,,
2036,#2036,bg1,Male BASE 2,Male Eye 9,Facial Hair 2,Mouth 3,T-Shirt 16,Animal Mask 18,Animal Hood 25,MaleHAND 2,Kandi 11,,,
2037,#2037,bg17,Female BASE 3,Female Eye 6,,Mouth 21,Necklace 14,Glasses 15,Female Hair 9,FemaleHAND 3,Kandi 21,,,
2038,#2038,bg7,Male BASE 5,Male Eye 9,Facial Hair 3,Mouth 21,Necklace 21,Face Mask 29,Hat 3,MaleHAND 5,Kandi 13,,,
2039,#2039,bg13,Female  BASE 2,Female Eye 11,,Mouth 23,Jacket 24,Animal Mask 3,Animal Hood 24,FemaleHAND 2,Kandi 20,,,
2040,#2040,bg12,Male BASE 4,Male Eye 6,Facial Hair 6,Mouth 11,Jacket 26,Bandana 17,Male Hair 8,MaleHAND 4,Kandi 22,,,
2041,#2041,bg15,Male BASE 5,Male Eye 2,Facial Hair 5,Mouth 21,Necklace 20,Animal Mask 9,Hat 23,MaleHAND 5,Kandi 6,,,
2042,#2042,bg15,Female BASE 3,Female Eye 15,,Mouth 16,Jacket 22,Earring 20,Animal Hood 11,FemaleHAND 3,Kandi 10,,,
2043,#2043,bg5,Female BASE 4,Female Eye 4,,Mouth 11,Jacket 4,Female Sugar Mask 1,Hat 1,FemaleHAND 4,Kandi 12,,,
2044,#2044,bg16,Male BASE 4,Male Eye 12,Facial Hair 9,Mouth 3,T-Shirt 25,Bandana 23,Animal Hood 20,MaleHAND 4,Kandi 8,,,
2045,#2045,bg14,Female  BASE 2,Female Eye 15,,Mouth 16,Jacket 4,Animal Mask 21,Animal Hood 27,FemaleHAND 2,Kandi 6,,,
2046,#2046,bg18,Female BASE 4,Female Eye 7,,Mouth 12,Jacket 20,Bandana 18,Hat 10,FemaleHAND 4,Kandi 13,,,
2047,#2047,bg10,Male BASE 3,Male Eye 14,Facial Hair 1,Mouth 30,T-Shirt 18,Animal Mask 23,Animal Hood 24,MaleHAND 3,Kandi 29,,,
2048,#2048,bg4,Male BASE 2,Male Eye 9,Facial Hair 6,Mouth 28,Male Tattoo 2,Bandana 16,Hat 28,MaleHAND 2,Kandi 20,,,
2049,#2049,bg18,Female BASE 3,Female Eye 4,,Mouth 17,Female Tattoo 2,Earring 3,Hat 17,FemaleHAND 3,Kandi 3,,,
2050,#2050,bg11,Female BASE 4,Female Eye 13,,Mouth 19,Necklace 29,Bandana 5,Hat 24,FemaleHAND 4,Kandi 23,,,
2051,#2051,bg10,Female BASE 3,Female Eye 3,,Mouth 3,Jacket 4,Animal Mask 6,Animal Hood 18,FemaleHAND 3,Kandi 2,,,
2052,#2052,bg6,Female BASE 3,Female Eye 6,,Mouth 28,T-Shirt 5,Earring 2,Female Hair 8,FemaleHAND 3,Kandi 9,,,
2053,#2053,bg11,Male BASE 2,Male Eye 10,Facial Hair 7,Mouth 6,T-Shirt 3,Face Mask 22,Animal Hood 16,MaleHAND 2,Kandi 14,,,
2054,#2054,bg18,Female  BASE 5,Female Eye 8,,Mouth 3,Necklace 5,Face Mask 23,Female Hair 12,FemaleHAND 5,Kandi 14,,,
2055,#2055,bg15,Female  BASE 5,Female Eye 12,,Mouth 15,T-Shirt 14,Bandana 4,Hat 25,FemaleHAND 5,Kandi 22,,,
2056,#2056,bg10,Male BASE 4,Male Eye 6,Facial Hair 4,Mouth 10,T-Shirt 26,Animal Mask 23,Animal Hood 21,MaleHAND 4,Kandi 25,,,
2057,#2057,bg20,Male BASE 4,Male Eye 8,Facial Hair 6,Mouth 18,Jacket 29,Animal Mask 13,Animal Hood 10,MaleHAND 4,Kandi 16,,,
2058,#2058,bg12,Female BASE 4,Female Eye 9,,Mouth 20,Necklace 26,Earring 3,Hat 7,FemaleHAND 4,Kandi 3,,,
2059,#2059,bg18,Female BASE 4,Female Eye 6,,Mouth 8,Necklace 24,Face Mask 12,Hat 16,FemaleHAND 4,Kandi 9,,,
2060,#2060,bg19,Male BASE 5,Male Eye 2,Facial Hair 4,Mouth 21,Jacket 4,Glasses 27,Hat 18,MaleHAND 5,Kandi 5,,,
2061,#2061,bg14,Male BASE 4,Male Eye 4,Facial Hair 4,Mouth 15,Necklace 27,Animal Mask 4,Hat 15,MaleHAND 4,Kandi 18,,,
2062,#2062,bg4,Male BASE 5,Male Eye 6,Facial Hair 6,Mouth 3,Necklace 27,Male Sugar Mask 2,Animal Hood 25,MaleHAND 5,Kandi 14,,,
2063,#2063,bg5,Male BASE 1,Male Eye 8,Facial Hair 1,Mouth 23,Jacket 21,Glasses 17,Hat 14,MaleHAND 1,Kandi 14,,,
2064,#2064,bg1,Female  BASE 5,Female Eye 13,,Mouth 27,Jacket 27,Animal Mask 20,Hat 27,FemaleHAND 5,Kandi 19,,,
2065,#2065,bg2,Male BASE 3,Male Eye 1,Facial Hair 1,Mouth 19,Jacket 25,Animal Mask 22,Animal Hood 3,MaleHAND 3,Kandi 3,,,
2066,#2066,bg3,Female BASE 1,Female Eye 1,,Mouth 10,Jacket 25,Jewel 13,Female Hair 13,,Kandi 18,,FemaleHAND 1,
2067,#2067,bg5,Male BASE 4,Male Eye 10,Facial Hair 8,Mouth 17,Male Tattoo 1,Bandana 11,Animal Hood 18,MaleHAND 4,Kandi 20,,,
2068,#2068,bg6,Male BASE 2,Male Eye 4,Facial Hair 10,Mouth 2,Jacket 7,Male Face Tattoo 4,Hat 12,MaleHAND 2,Kandi 24,,,
2069,#2069,bg13,Female BASE 1,Female Eye 7,,Mouth 23,T-Shirt 28,Animal Mask 26,Female Hair 15,,Kandi 25,,FemaleHAND 1,
2070,#2070,bg13,Female BASE 4,Female Eye 10,,Mouth 8,T-Shirt 26,Animal Mask 13,Female Hair 15,FemaleHAND 4,Kandi 1,,,
2071,#2071,bg10,Female  BASE 5,Female Eye 9,,Mouth 7,Jacket 5,Face Mask 24,Female Hair 1,FemaleHAND 5,Kandi 9,,,
2072,#2072,bg10,Female  BASE 5,Female Eye 11,,Mouth 7,Jacket 7,Earring 27,Female Hair 13,FemaleHAND 5,Kandi 9,,,
2073,#2073,bg20,Male BASE 3,Male Eye 11,Facial Hair 7,Mouth 6,Jacket 16,Glasses 17,Hat 27,MaleHAND 3,Kandi 7,,,
2074,#2074,bg4,Female BASE 3,Female Eye 5,,Mouth 25,Necklace 14,Glasses 9,Animal Hood 14,FemaleHAND 3,Kandi 12,,,
2075,#2075,bg12,Male BASE 1,Male Eye 8,Facial Hair 9,Mouth 15,Necklace 22,Face Mask 8,Animal Hood 17,MaleHAND 1,Kandi 26,,,
2076,#2076,bg5,Male BASE 2,Male Eye 9,Facial Hair 10,Mouth 23,T-Shirt 3,Glasses 2,Animal Hood 8,MaleHAND 2,Kandi 25,,,
2077,#2077,bg13,Male BASE 2,Male Eye 10,Facial Hair 3,Mouth 5,Jacket 8,Animal Mask 2,Animal Hood 2,MaleHAND 2,Kandi 30,,,
2078,#2078,bg19,Female BASE 3,Female Eye 12,,Mouth 22,Necklace 2,Face Mask 19,Female Hair 2,FemaleHAND 3,Kandi 5,,,
2079,#2079,bg16,Female  BASE 2,Female Eye 8,,Mouth 19,Jacket 14,Bandana 2,Female Hair 2,FemaleHAND 2,Kandi 21,,,
2080,#2080,bg12,Male BASE 2,Male Eye 5,Facial Hair 8,Mouth 16,Necklace 15,Face Mask 18,Hat 17,MaleHAND 2,Kandi 26,,,
2081,#2081,bg1,Female  BASE 2,Female Eye 7,,Mouth 16,Necklace 13,Animal Mask 4,Animal Hood 25,FemaleHAND 2,Kandi 29,,,
2082,#2082,bg8,Male BASE 4,Male Eye 11,Facial Hair 3,Mouth 28,T-Shirt 29,Animal Mask 28,Hat 22,MaleHAND 4,Kandi 22,,,
2083,#2083,bg20,Female BASE 3,Female Eye 12,,Mouth 10,T-Shirt 21,Earring 22,Female Hair 4,FemaleHAND 3,Kandi 3,,,
2084,#2084,bg7,Male BASE 3,Male Eye 14,Facial Hair 6,Mouth 23,Necklace 13,Face Mask 15,Hat 13,MaleHAND 3,Kandi 15,,,
2085,#2085,bg7,Female  BASE 5,Female Eye 10,,Mouth 30,Jacket 30,Earring 11,Hat 26,FemaleHAND 5,Kandi 19,,,
2086,#2086,bg18,Male BASE 2,Male Eye 6,Facial Hair 6,Mouth 20,T-Shirt 16,Glasses 5,Animal Hood 23,MaleHAND 2,Kandi 4,,,
2087,#2087,bg10,Male BASE 1,Male Eye 15,Facial Hair 2,Mouth 3,T-Shirt 24,Animal Mask 11,Male Hair 1,MaleHAND 1,Kandi 1,,,
2088,#2088,bg14,Female BASE 3,Female Eye 1,,Mouth 8,Jacket 19,Face Mask 26,Hat 4,FemaleHAND 3,Kandi 6,,,
2089,#2089,bg18,Female  BASE 5,Female Eye 5,,Mouth 30,Jacket 21,Glasses 28,Hat 17,FemaleHAND 5,Kandi 15,,,
2090,#2090,bg12,Male BASE 3,Male Eye 3,Facial Hair 2,Mouth 23,Necklace 12,Bandana 25,Animal Hood 9,MaleHAND 3,Kandi 11,,,
2091,#2091,bg10,Male BASE 1,Male Eye 12,Facial Hair 1,Mouth 20,Jacket 28,Animal Mask 30,Animal Hood 3,MaleHAND 1,Kandi 16,,,
2092,#2092,bg12,Female BASE 3,Female Eye 7,,Mouth 8,Necklace 25,Glasses 24,Animal Hood 18,FemaleHAND 3,Kandi 2,,,
2093,#2093,bg20,Male BASE 5,Male Eye 14,Facial Hair 8,Mouth 18,Jacket 25,Bandana 18,Hat 4,MaleHAND 5,Kandi 19,,,
2094,#2094,bg11,Female  BASE 5,Female Eye 1,,Mouth 23,T-Shirt 27,Animal Mask 29,Hat 10,FemaleHAND 5,Kandi 22,,,
2095,#2095,bg11,Female BASE 4,Female Eye 2,,Mouth 15,Necklace 20,Glasses 22,Hat 27,FemaleHAND 4,Kandi 21,,,
2096,#2096,bg6,Female BASE 4,Female Eye 7,,Mouth 12,Jacket 5,Jewel 5,Female Hair 15,FemaleHAND 4,Kandi 17,,,
2097,#2097,bg10,Male BASE 3,Male Eye 6,Facial Hair 1,Mouth 26,Necklace 13,Glasses 8,Animal Hood 13,MaleHAND 3,Kandi 28,,,
2098,#2098,bg6,Female  BASE 2,Female Eye 5,,Mouth 30,Jacket 5,Face Mask 1,Animal Hood 12,FemaleHAND 2,Kandi 10,,,
2099,#2099,bg16,Male BASE 1,Male Eye 6,Facial Hair 6,Mouth 29,T-Shirt 30,Bandana 22,Animal Hood 21,MaleHAND 1,Kandi 29,,,
2100,#2100,bg4,Male BASE 2,Male Eye 12,Facial Hair 5,Mouth 3,Necklace 20,Male Face Tattoo 5,Hat 11,MaleHAND 2,Kandi 18,,,
2101,#2101,bg17,Female BASE 4,Female Eye 3,,Mouth 9,Necklace 18,Bandana 2,Animal Hood 30,FemaleHAND 4,Kandi 22,,,
2102,#2102,bg14,Female  BASE 2,Female Eye 11,,Mouth 11,Necklace 21,Animal Mask 10,Animal Hood 29,FemaleHAND 2,Kandi 21,,,
2103,#2103,bg6,Female BASE 3,Female Eye 14,,Mouth 12,Female Tattoo 3,Glasses 15,Animal Hood 27,FemaleHAND 3,Kandi 7,,,
2104,#2104,bg11,Female  BASE 2,Female Eye 2,,Mouth 9,Jacket 8,Face Mask 21,Female Hair 8,FemaleHAND 2,Kandi 26,,,
2105,#2105,bg12,Male BASE 3,Male Eye 15,Facial Hair 5,Mouth 28,Necklace 26,Animal Mask 13,Animal Hood 28,MaleHAND 3,Kandi 28,,,
2106,#2106,bg11,Female  BASE 2,Female Eye 15,,Mouth 27,Necklace 25,Jewel 15,Animal Hood 25,FemaleHAND 2,Kandi 25,,,
2107,#2107,bg3,Female  BASE 5,Female Eye 13,,Mouth 6,Necklace 26,Glasses 12,Hat 9,FemaleHAND 5,Kandi 12,,,
2108,#2108,bg17,Male BASE 3,Male Eye 13,Facial Hair 5,Mouth 8,T-Shirt 25,Bandana 29,Animal Hood 23,MaleHAND 3,Kandi 28,,,
2109,#2109,bg14,Female BASE 3,Female Eye 10,,Mouth 18,T-Shirt 15,Female Face Tattoo 1,Animal Hood 12,FemaleHAND 3,Kandi 23,,,
2110,#2110,bg15,Female BASE 1,Female Eye 14,,Mouth 6,Necklace 1,Glasses 23,Animal Hood 3,,Kandi 25,,FemaleHAND 1,
2111,#2111,bg19,Female  BASE 5,Female Eye 1,,Mouth 17,Jacket 1,Glasses 22,Female Hair 3,FemaleHAND 5,Kandi 10,,,
