TOKEN_ID,TOKEN_NAME,Type,Hat,Eyes,Nose,Clothes,Skin,Pattern,Background,Mouth,Tattoo,Skeleton,Goldchain
1995,Cryptomories #1995,Skeleton,,Cool Shades,Normal,King Robe,Blue,Aztec Patterns,Green,,Big Tattoos,,
1996,Cryptomories #1996,Skeleton,Manga Hair  Dark,Dead Eyes,Normal,Hoodie Grey CM,Blue,Aztec Patterns,Purple,,Small Tattoos,Painted Skeleton,
1997,Cryptomories #1997,Zombie,Party Hat,Retro Cartoon Eyes 2,Normal,,,,Grey,,,,
1998,Cryptomories #1998,Skeleton,Sangoku,Pirate Patch Exasperated,Normal,Hoodie Grey CM,,Aztec Patterns,Purple,,Small Tattoos,,Gold Chain Skull
1999,Cryptomories #1999,Skeleton,Bowler Hat,Cute Eyes,Normal,Hoodie Blue B&B,,Aztec Patterns,Grey,,,Painted Skeleton,
2000,Cryptomories #2000,Skeleton,Musician Hat,Cyclop Eye,Normal,T Grey POM,Red,Flower Pattern,Purple,Cigarette,,,
2001,Cryptomories #2001,Skeleton,Shell Red,Happy Eyes,Normal,Dress Blue,,Flower Pattern,Purple,,,Painted Skeleton,
2002,Cryptomories #2002,Skeleton,Flower Blue,Retro Cartoon Eyes,Normal,Tank Top Blue B&B,Blue,,Grey,,Small Tattoos,,
2003,Cryptomories #2003,Zombie,Coonskin,Pirate Patch Bloodshot,Normal,Hoodie Green B&B,,Aztec Patterns,Green,,Small Tattoos,,
2004,Cryptomories #2004,Skeleton,Metal Spikes,Retro Cartoon Eyes,Normal,T Grey POM,Aquamarine,Flower Pattern,Light Orange,,,Painted Skeleton,
2005,Cryptomories #2005,Robot,Dread Short Blond,Logo Eyes,Normal,Bandana Red,,,Light Orange,,,,
2006,Cryptomories #2006,Skeleton,Sangoku,Visor Retro Cartoon Eyes,Normal,Hoodie Pink CM,Aquamarine,Aztec Patterns,Beige,,Big Tattoos,,
2007,Cryptomories #2007,Skeleton,Sangoku,Cyclop Eye,Normal,Hoodie Blue B&B,,,Aquamarine,,Small Tattoos,,
2008,Cryptomories #2008,Skeleton,Bucket Hat CM+B&B,Square Shades,Normal,Dress Pink,Blue,,Beige,Special Cigarette,Small Tattoos,,
2009,Cryptomories #2009,Devil,,Cool Shades,Normal,Sweater Pink CM,,Aztec Patterns,Light Orange,,Big Tattoos,,
2010,Cryptomories #2010,Skeleton,Bandana Dark,Happy Eyes,Normal,Admirals Coat White ,Red,Aztec Patterns,Purple,,,,
2011,Cryptomories #2011,Skeleton,,Bloodshot,Normal,Dress Pink,Yellow,Aztec Patterns,Blue,,Small Tattoos,,
2012,Cryptomories #2012,Skeleton,Coonskin,Bored Eyes,Normal,Hoodie Green B&B,,,Aquamarine,,Small Tattoos,Painted Skeleton,
2013,Cryptomories #2013,Devil,Mohawk,Happy Eyes,Normal,Denim Overalls,,Flower Pattern,Light Orange,,,,Gold Chain Skull
2014,Cryptomories #2014,Skeleton,Knitted Beanie Orange,Cute Spider Eyes,Normal,Bathrobe White,Yellow,Flower Pattern,Blue,,,Painted Skeleton,Gold Chain Skull
2015,Cryptomories #2015,Skeleton,Sport Headband,Hero Mask,Normal,Tank Top Grey POM,Blue,Flower Pattern,Aquamarine,,Big Tattoos,Painted Skeleton,
2016,Cryptomories #2016,Skeleton,,Elton John's glasses,Normal,Sweater Pink CM,Blue,Aztec Patterns,Green,Cigarette,Small Tattoos,,
2017,Cryptomories #2017,Zombie,Bowler Hat,John Glasses,Normal,Hoodie Black POM,,,Light Red,,Small Tattoos,,Gold Chain Skull
2018,Cryptomories #2018,Skeleton,,Cyclop Eye,Normal,Tank Top Grey POM,Aquamarine,Flower Pattern,Green,,,,Gold Chain Skull
2019,Cryptomories #2019,Skeleton,Bucket Hat Flower,Aviator Glasses,Normal,Tank Top Blue B&B,,Flower Pattern,Light Red,,,,
2020,Cryptomories #2020,Skeleton,Flower Blue,Aviator Glasses,Normal,Hoodie Red CM,,Flower Pattern,Beige,,,,
2021,Cryptomories #2021,Skeleton,Dread Short Brown,Exasperated Eyes,Normal,Sweater Green CM,Blue,Flower Pattern,Light Orange,,,,
2022,Cryptomories #2022,Zombie,,Pirate Patch Bloodshot,Normal,Hoodie Green B&B,,Flower Pattern,Aquamarine,,,,
2023,Cryptomories #2023,Zombie,Sushi Chef Headband,Retro Cartoon Eyes,Normal,Hoodie Grey CM,,,Green,,,,
2024,Cryptomories #2024,Skeleton,,Bored Eyes,Normal,Fake Shaolin Outfit,Blue,Aztec Patterns,Blue,Cigarette,Small Tattoos,,
2025,Cryptomories #2025,Zombie,Astro White,Regular Glasses,Normal,Bandana Blue,,Flower Pattern,Green,,,,
2026,Cryptomories #2026,Skeleton,Rat Ears,Crazy Eyes,Normal,Sweater Pink CM,,Flower Pattern,Purple,,Big Tattoos,,
2027,Cryptomories #2027,Zombie,Bandana Dark,Bloodshot,Normal,Dress Blue,,Aztec Patterns,Aquamarine,,,,
2028,Cryptomories #2028,Skeleton,Flower Crown Pink,Crazy Eyes,Normal,Hoodie Black POM,Blue,Aztec Patterns,Aquamarine,,Big Tattoos,,
2029,Cryptomories #2029,Skeleton,Manga Hair  Dark,Dead Eyes,Normal,Bathrobe Pink,Yellow,Aztec Patterns,Light Orange,Cigarette,,,
2030,Cryptomories #2030,Zombie,Knitted Beanie Red,3D Glasses,Normal,Fake Shaolin Outfit,,,Grey,Tongue,,,
2031,Cryptomories #2031,Skeleton,Shell Green,Happy Eyes,Normal,Bandana Red,,,Light Red,Tongue,,,
2032,Cryptomories #2032,Skeleton,,Cool Shades,Normal,Dress Pink,Blue,Aztec Patterns,Green,Cigarette,,,
2033,Cryptomories #2033,Devil,Hippie Hat,Angry Eyes,Normal,Rick Outfit,,,Beige,,,Painted Skeleton,
2034,Cryptomories #2034,Zombie,Sushi Chef Headband,Angry Eyes,Normal,Leather Jacket,,,Grey,,,,
2035,Cryptomories #2035,Skeleton,Pyramid Hat,Pirate Patch Peaceful,Normal,Bandana Blue,Yellow,,Purple,,,Painted Skeleton,
2036,Cryptomories #2036,Skeleton,Headband Red,Angry Eyes,Normal,Hoodie Red CM,,,Aquamarine,,,,
2037,Cryptomories #2037,Devil,Bucket Hat Flower,Happy Eyes,Normal,Bandana Blue,,Flower Pattern,Beige,,Small Tattoos,,Gold Chain Skull
2038,Cryptomories #2038,Skeleton,Headband Red,Pirate Patch Peaceful,Normal,Tank Top Grey POM,Red,Aztec Patterns,Light Orange,,,,Gold Chain Skull
2039,Cryptomories #2039,Skeleton,Knitted Beanie Red,Retro Cartoon Eyes 2,Normal,Hoodie Black POM,Red,,Purple,,Small Tattoos,,
2040,Cryptomories #2040,Skeleton,Native Americain Headdress Big,Heart Eyes,Normal,Badass Leather Jacket,,Flower Pattern,Light Orange,,,,
2041,Cryptomories #2041,Skeleton,Knitted Beanie Orange,Happy Eyes,Normal,Dress Blue,Aquamarine,,Aquamarine,,,,
2042,Cryptomories #2042,Skeleton,Pharaoh,Pirate Patch Evil Morty,Normal,Tank Top Blue B&B,Yellow,,Light Red,,,,
2043,Cryptomories #2043,Skeleton,Manga Hair  Dark,Dead Eyes,Normal,Bear Fur,Red,,Purple,,Big Tattoos,,
2044,Cryptomories #2044,Zombie,Bucket Hat Flower,Retro Cartoon Eyes,Normal,Dress Blue,,Flower Pattern,Beige,,,,
2045,Cryptomories #2045,Zombie,Astro Orange,Thug Life Glasses,Normal,Tank Top Pink CM,,Flower Pattern,Light Red,,,,
2046,Cryptomories #2046,Skeleton,Dread Long Dark,Strider Glasses,Normal,King Robe,,,Blue,,,,
2047,Cryptomories #2047,Robot,Clown Hair Red,John Glasses,Normal,Armor Black,,,Purple,,,,
2048,Cryptomories #2048,Skeleton,Knight Helmet,Regular Glasses,Normal,Synthetic Cool Cat Fur Coat,Yellow,Flower Pattern,Aquamarine,,Big Tattoos,,
2049,Cryptomories #2049,OpenSkull,Twitter Nest,Pirate Patch Exasperated,Normal,Tank Top Grey POM,,Flower Pattern,Light Orange,,Big Tattoos,,
2050,Cryptomories #2050,Zombie,Savage Hair Red,Dead Eyes,Normal,Fake Shaolin Outfit,,Aztec Patterns,Green,,,,
2051,Cryptomories #2051,Skeleton,Flower Crown Blue,Heart Eyes,Normal,Armor Blue,Aquamarine,Aztec Patterns,Aquamarine,,,,
2052,Cryptomories #2052,Skeleton,Roman Helmet,Bored Eyes,Normal,Hoodie Pink CM,,Aztec Patterns,Light Orange,,,,
2053,Cryptomories #2053,Skeleton,Vietnam Era Helmet,Happy Eyes,Normal,T Grey POM,Blue,,Beige,,,,
2054,Cryptomories #2054,Skeleton,Sangoku,Dia De Los Muertos Eyes,Normal,Rick Outfit,Blue,Aztec Patterns,Grey,,,,
2055,Cryptomories #2055,Skeleton,Bandana Dark,Crazy Eyes,Normal,Samurai Blue,Blue,,Blue,,Small Tattoos,,Gold Chain Skull
2056,Cryptomories #2056,Skeleton,Sushi Chef Headband,Dead Eyes,Normal,T Grey POM,Red,Aztec Patterns,Light Red,Pipe,,,
2057,Cryptomories #2057,Skeleton,Devil Horns,Cute Eyes,Normal,DBZ Outfit,Red,,Light Orange,,,Painted Skeleton,
2058,Cryptomories #2058,Skeleton,Unicorn Horn,Cyclop Eye,Normal,,Yellow,,Purple,,Big Tattoos,Painted Skeleton,
2059,Cryptomories #2059,Skeleton,Sangoku,Dead Eyes,Normal,Badass Leather Jacket,,Flower Pattern,Light Red,,Small Tattoos,Painted Skeleton,
2060,Cryptomories #2060,Skeleton,Roman Helmet,Square Shades,Normal,,,,Purple,,,,
2061,Cryptomories #2061,Skeleton,,Bloodshot,Clown,Butler Outfit,Black,Aztec Patterns,Blue,,Small Tattoos,,
2062,Cryptomories #2062,Skeleton,,Regular Glasses,Normal,Fake Shaolin Outfit,Aquamarine,Aztec Patterns,Beige,Cigarette,,Painted Skeleton,
2063,Cryptomories #2063,Skeleton,Top Hat,Happy Eyes,Normal,Sweater Green CM,Yellow,,Green,Special Cigarette,Small Tattoos,,
2064,Cryptomories #2064,Skeleton,Halo,Exasperated Eyes,Normal,Hoodie Red CM,Yellow,Flower Pattern,Blue,,Big Tattoos,Painted Skeleton,
2065,Cryptomories #2065,Skeleton,Shell Green,Dead Eyes,Normal,,Yellow,Aztec Patterns,Green,,,Painted Skeleton,
2066,Cryptomories #2066,Skeleton,,Cyclop Eye,Normal,Samurai Black,Yellow,,Green,,,,
2067,Cryptomories #2067,Devil,Sport Headband,Cute Eyes,Normal,Samurai Blue,,Aztec Patterns,Grey,,,,
2068,Cryptomories #2068,Skeleton,Cap POM Black,Mask and Tuba  Bloodshot,Normal,Pharaoh Neckless,,Aztec Patterns,Green,,,Painted Skeleton,
2069,Cryptomories #2069,Skeleton,Beret Green,Angry Eyes,Normal,,Red,Aztec Patterns,Aquamarine,,,Painted Skeleton,
2070,Cryptomories #2070,Skeleton,Sea Captain's Hat,Retro Cartoon Eyes,Normal,Leather Jacket,Blue,,Beige,,,,
2071,Cryptomories #2071,Robot,Biker Helmet Blue Spikes CM,Sad Eyes,Normal,Samurai Blue,,,Light Red,,,,
2072,Cryptomories #2072,Skeleton,Sea Captain's Hat,Heart Glasses,Normal,Butler Outfit,,,Purple,,Small Tattoos,Painted Skeleton,
2073,Cryptomories #2073,Skeleton,Knitted Beanie Orange,Pirate Patch Bloodshot,Normal,Hoodie Blue B&B,Red,Aztec Patterns,Beige,,,,
2074,Cryptomories #2074,Robot,Party Hat,Sad Eyes,Normal,King Robe,,,Purple,,Big Tattoos,,
2075,Cryptomories #2075,Skeleton,Knitted Beanie Red,Hero Mask,Normal,Sweater Pink CM,Yellow,Flower Pattern,Aquamarine,,,,
2076,Cryptomories #2076,Skeleton,Shell Red,Angry Eyes,Normal,Hoodie Blue B&B,Yellow,Aztec Patterns,Light Red,Pipe,Small Tattoos,,Gold Chain GM
2077,Cryptomories #2077,Zombie,Sport Headband,Happy Eyes,Normal,Synthetic Cool Cat Fur Coat,,Aztec Patterns,Grey,,Big Tattoos,,
2078,Cryptomories #2078,Zombie,Bucket Hat CM+B&B,Dead Eyes,Normal,T Pink B&B,,,Blue,,,,
2079,Cryptomories #2079,Skeleton,Pirate Hat POM,Bloodshot,Normal,Bandana Blue,,Aztec Patterns,Light Red,,,,
2080,Cryptomories #2080,Skeleton,Manga Hair  Dark,Exasperated Eyes,Normal,Sweater Green CM,,Aztec Patterns,Blue,,Small Tattoos,,
2081,Cryptomories #2081,Skeleton,Mohawk,Visor Retro Cartoon Eyes,Normal,Badass Leather Jacket,Yellow,Flower Pattern,Blue,Cigarette,,Painted Skeleton,
2082,Cryptomories #2082,Skeleton,Cowboy Hat,Regular Glasses,Normal,Hoodie Grey CM,Red,,Beige,,,Painted Skeleton,
2083,Cryptomories #2083,Skeleton,Vietnam Era Helmet,Retro Cartoon Eyes,Normal,Hoodie Grey CM,Red,Aztec Patterns,Light Orange,,,,
2084,Cryptomories #2084,Skeleton,,Spider Eyes,Normal,Dress Blue,Aquamarine,Flower Pattern,Green,Pipe,,,
2085,Cryptomories #2085,Zombie,Flower Hat,Cyclop Eye,Normal,Bandana Red,,Aztec Patterns,Light Orange,,,,
2086,Cryptomories #2086,Skeleton,Rick Hair,Happy Eyes,Normal,Dress Blue,Blue,Aztec Patterns,Beige,Cigarette,,,
2087,Cryptomories #2087,Skeleton,Dread Long Blond,Dead Eyes,Normal,Hoodie Pink CM,Red,Aztec Patterns,Beige,,Big Tattoos,,Gold Chain Skull
2088,Cryptomories #2088,Skeleton,,Pirate Patch Exasperated,Normal,Armor Blue,Red,Flower Pattern,Light Red,,,,
2089,Cryptomories #2089,Skeleton,Flower Blue,Bloodshot,Normal,Armor Black,Black,Aztec Patterns,Aquamarine,,,,
2090,Cryptomories #2090,Skeleton,Flower Crown Blue,Happy Eyes,Normal,T Grey POM,Aquamarine,,Aquamarine,,Small Tattoos,,
2091,Cryptomories #2091,Skeleton,Manga Hair  Dark,John Glasses,Normal,Bandana Blue,Black,Flower Pattern,Grey,,,,
2092,Cryptomories #2092,Skeleton,Cap B&B Purple,Exasperated Eyes,Normal,Rick Outfit,Blue,Flower Pattern,Blue,Tongue,Small Tattoos,Painted Skeleton,
2093,Cryptomories #2093,Skeleton,Dread Long Brown,Retro Cartoon Eyes,Normal,Hoodie Red CM,Blue,Aztec Patterns,Light Red,,,,
2094,Cryptomories #2094,Skeleton,Flower Crown Pink,Exasperated Eyes,Normal,Hoodie Blue B&B,Blue,,Purple,,,,
2095,Cryptomories #2095,Skeleton,,Sad Eyes,Normal,Badass Leather Jacket,Red,,Beige,,Small Tattoos,,
2096,Cryptomories #2096,Devil,Arrow,Strider Glasses,Normal,Admirals Coat Black,,Flower Pattern,Aquamarine,,Small Tattoos,,
2097,Cryptomories #2097,Skeleton,Cool Cat Costume,Angry Eyes,Normal,Sweater Pink CM,Aquamarine,,Beige,,Small Tattoos,,
2098,Cryptomories #2098,Skeleton,Musician Hat,Exasperated Eyes,Normal,T Grey POM,Blue,Flower Pattern,Blue,,,,Gold Chain Skull
2099,Cryptomories #2099,Skeleton,Manga Hair  Purple,Bloodshot,Normal,Synthetic Cool Cat Fur Coat,Yellow,Aztec Patterns,Purple,,,,
2100,Cryptomories #2100,Skeleton,Party Hat,Happy Eyes,Normal,Tank Top Blue B&B,Aquamarine,Flower Pattern,Light Orange,,Small Tattoos,Painted Skeleton,
2101,Cryptomories #2101,Zombie,Pirate Hat CM,Pirate Patch Bloodshot,Normal,Italian Plumber Oufit,,Aztec Patterns,Grey,,,,Gold Chain Skull
2102,Cryptomories #2102,Devil,Flower Crown Blue,Heart Eyes,Normal,Leather Jacket,,Aztec Patterns,Purple,,,,
2103,Cryptomories #2103,Skeleton,Flower Blue,Hero Mask,Normal,Rick Outfit,Yellow,Aztec Patterns,Grey,Cigarette,Small Tattoos,,
2104,Cryptomories #2104,Skeleton,Manga Hair  Dark,Square Shades,Normal,Tank Top Grey POM,Blue,,Blue,,Small Tattoos,,
2105,Cryptomories #2105,Skeleton,Metal Spikes Mohawk,Aviator Glasses,Normal,Suit Blue,Aquamarine,,Light Orange,Tongue,,,Gold Chain Skull
2106,Cryptomories #2106,Robot,Beret French,Angry Eyes,Normal,Fake Shaolin Outfit,,,Grey,,Big Tattoos,,
2107,Cryptomories #2107,Skeleton,Headphones,Bored Eyes,Normal,Butler Outfit,Red,,Light Red,,Big Tattoos,Painted Skeleton,
2108,Cryptomories #2108,Skeleton,Workers Hard Hat,Exasperated Eyes,Normal,T Pink B&B,,Flower Pattern,Light Orange,,Big Tattoos,,
2109,Cryptomories #2109,Skeleton,Party Hat,Retro Cartoon Eyes,Normal,Leather Jacket,,Aztec Patterns,Green,,,,
2110,Cryptomories #2110,Robot,Devil Horns,Mask and Tuba Angry,Normal,Tank Top Grey POM,,,Beige,,Small Tattoos,,
2111,Cryptomories #2111,Skeleton,Savage Hair Red,Happy Eyes,Normal,Suit Blue,Red,Flower Pattern,Light Red,,Small Tattoos,,
2112,Cryptomories #2112,Skeleton,Clown Hair Blue,Dead Eyes,Normal,Butler Outfit,Blue,,Light Red,Cigarette,,Painted Skeleton,
2113,Cryptomories #2113,Zombie,Metal Spikes,Dia De Los Muertos Eyes,Normal,Hoodie Red CM,,Flower Pattern,Grey,,Small Tattoos,,
2114,Cryptomories #2114,Skeleton,Knitted Beanie Orange,Dead Eyes,Normal,,,Aztec Patterns,Aquamarine,,Small Tattoos,,
2115,Cryptomories #2115,Gold,,VR Glasses,Normal,Rick Outfit,,,Light Red,Tongue,,,
2116,Cryptomories #2116,Devil,Native Americain Headdress Small,Retro Cartoon Eyes,Normal,Work Outfit Red,,Flower Pattern,Aquamarine,,Big Tattoos,,
2117,Cryptomories #2117,Skeleton,Pirate Hat CM,Crazy Eyes,Normal,Denim Overalls,Black,Flower Pattern,Beige,,Small Tattoos,,
2118,Cryptomories #2118,Skeleton,Cap POM Black,Monocle,Normal,T Grey POM,Blue,Aztec Patterns,Purple,,,,
2119,Cryptomories #2119,Skeleton,Dread Short Dark,Dead Eyes,Normal,Dress Pink,Red,Flower Pattern,Blue,Cigarette,,,Gold Chain Skull
2120,Cryptomories #2120,Skeleton,Savage Hair Red,Retro Cartoon Eyes,Normal,Hoodie Grey CM,Red,Flower Pattern,Aquamarine,,,Painted Skeleton,
2121,Cryptomories #2121,Skeleton,Native Americain Headdress Small,3D Glasses,Normal,Armor Black,Aquamarine,,Purple,,,,
2122,Cryptomories #2122,Devil,Bucket Hat CM+B&B,Happy Eyes,Normal,Suit Blue,,Aztec Patterns,Purple,,Small Tattoos,,
2123,Cryptomories #2123,Skeleton,Cap B&B Purple,Exasperated Eyes,Normal,Bandana Red,Red,Flower Pattern,Light Orange,,,Painted Skeleton,
2124,Cryptomories #2124,Skeleton,Metal Spikes Mohawk,Happy Eyes,Normal,Denim Overalls,Yellow,Aztec Patterns,Light Red,,,Painted Skeleton,
2125,Cryptomories #2125,Skeleton,,Bloodshot,Normal,Dress Blue,Aquamarine,,Grey,,,,
2126,Cryptomories #2126,Skeleton,Knight Helmet,Exasperated Eyes,Clown,Hoodie Green B&B,Yellow,Aztec Patterns,Purple,,,,
2127,Cryptomories #2127,Devil,Sushi Chef Headband,Cute Spider Eyes,Normal,Tank Top Blue B&B,,Aztec Patterns,Green,,Small Tattoos,Painted Skeleton,
2128,Cryptomories #2128,Skeleton,Bandana Dark,Heart Glasses,Clown,Bandana Blue,Yellow,Flower Pattern,Aquamarine,,,Painted Skeleton,
2129,Cryptomories #2129,Skeleton,Knight Helmet,Hero Mask,Normal,Bandana Red,Red,Aztec Patterns,Green,,Big Tattoos,,
2130,Cryptomories #2130,Skeleton,Devil Horns,Happy Eyes,Normal,T Pink B&B,,,Beige,,Big Tattoos,Painted Skeleton,
2131,Cryptomories #2131,Skeleton,Savage Hair Red,Happy Eyes,Normal,T Grey POM,Yellow,Flower Pattern,Beige,,,,
2132,Cryptomories #2132,Skeleton,Clown Hair Red,Cute Spider Eyes,Normal,Bathrobe Pink,Blue,,Light Orange,,,,
2133,Cryptomories #2133,Skeleton,Arrow,Cute Eyes,Normal,Tank Top Grey POM,Yellow,Aztec Patterns,Blue,,Big Tattoos,Painted Skeleton,
2134,Cryptomories #2134,Zombie,Clown Hair Blue,Retro Cartoon Eyes,Normal,Rick Outfit,,,Beige,,,,
2135,Cryptomories #2135,Zombie,Dread Short Red,Happy Eyes,Normal,Bandana Red,,Aztec Patterns,Beige,,Big Tattoos,,
2136,Cryptomories #2136,Skeleton,,Retro Cartoon Eyes,Normal,Rick Outfit,Rainbow,Aztec Patterns,Light Orange,,,Painted Skeleton,
2137,Cryptomories #2137,Skeleton,Unicorn Horn,Fantasia Eyes,Normal,Dress Blue,Red,,Aquamarine,,,Painted Skeleton,Gold Chain Skull
2138,Cryptomories #2138,Skeleton,,Dia De Los Muertos Eyes,Normal,Tank Top Grey POM,,Flower Pattern,Green,,,,
2139,Cryptomories #2139,Zombie,Flower Crown Blue,Happy Eyes,Normal,Fake Shaolin Outfit,,,Light Red,,Big Tattoos,,
2140,Cryptomories #2140,Skeleton,Savage Hair Red,Sad Eyes,Normal,Synthetic Cool Cat Fur Coat,Red,Flower Pattern,Aquamarine,Cigarette,Small Tattoos,Painted Skeleton,
2141,Cryptomories #2141,Skeleton,Knitted Beanie Red,Angry Eyes,Normal,Admirals Coat Black,Blue,Flower Pattern,Green,Cigarette,Big Tattoos,,
2142,Cryptomories #2142,Skeleton,Flower Blue,Sad Eyes,Normal,Tank Top Blue B&B,Blue,,Blue,Cigarette,,Painted Skeleton,
2143,Cryptomories #2143,Skeleton,Beanie Cap,Heart Eyes,Normal,Hoodie Green B&B,,,Aquamarine,,Big Tattoos,,
2144,Cryptomories #2144,Skeleton,Sangoku,Sad Eyes,Normal,Suit Black,Blue,,Grey,,Big Tattoos,,
2145,Cryptomories #2145,Skeleton,,Retro Cartoon Eyes,Normal,Shaolin Outfit,,,Beige,,,Painted Skeleton,
2146,Cryptomories #2146,Skeleton,Manga Hair  Dark,Cute Eyes,Normal,Work Outfit Red,Yellow,Flower Pattern,Beige,Cigarette,Small Tattoos,Painted Skeleton,Gold Chain Skull
2147,Cryptomories #2147,Skeleton,Pharaoh,Pirate Patch Exasperated,Normal,T Grey POM,Red,Flower Pattern,Beige,,,Painted Skeleton,
2148,Cryptomories #2148,Skeleton,Manga Hair  Dark,Exasperated Eyes,Normal,Butler Outfit,Yellow,,Grey,,,,
2149,Cryptomories #2149,Skeleton,Beret Green,Happy Eyes,Normal,Hoodie Grey CM,,Flower Pattern,Grey,,,,
2150,Cryptomories #2150,Skeleton,Savage Hair Dark,Dia De Los Muertos Eyes,Normal,T Grey POM,Red,,Purple,,,,
2151,Cryptomories #2151,Skeleton,,Happy Eyes,Normal,Dress Blue,,Flower Pattern,Light Red,,,,
2152,Cryptomories #2152,Skeleton,Sport Headband,Cool Shades,Normal,Knight Armor,,Aztec Patterns,Blue,,,,
2153,Cryptomories #2153,Skeleton,Beret French,Exasperated Eyes,Normal,Sweater Green CM,Red,Flower Pattern,Purple,,,,
2154,Cryptomories #2154,Skeleton,Bucket Hat Flower,Square Shades,Normal,Butler Outfit,Blue,,Light Red,,Small Tattoos,,
2155,Cryptomories #2155,Skeleton,Sport Headband,Heart Glasses,Normal,Tank Top Blue B&B,Red,Aztec Patterns,Blue,,,,
2156,Cryptomories #2156,Skeleton,Cap B&B Purple,Angry Eyes,Normal,,Yellow,Flower Pattern,Green,,,,Gold Chain Skull
2157,Cryptomories #2157,Skeleton,Papal Tiara,Logo Eyes,Normal,Tank Top Grey POM,Aquamarine,Flower Pattern,Purple,,,,
2158,Cryptomories #2158,Skeleton,Manga Hair  Dark,Thug Life Glasses,Normal,Suit Black,Red,,Blue,,,Painted Skeleton,
2159,Cryptomories #2159,Skeleton,Flower Hat,Sad Eyes,Normal,Work Outfit Red,Yellow,Aztec Patterns,Light Orange,,,,
2160,Cryptomories #2160,Skeleton,Knitted Beanie Red,Rick Eyes,Normal,Bandana Red,Blue,Aztec Patterns,Blue,,,Painted Skeleton,
2161,Cryptomories #2161,Skeleton,Shell Red,Cyclop Eye,Normal,Bandana Red,Blue,,Purple,,Big Tattoos,Painted Skeleton,
2162,Cryptomories #2162,Skeleton,Manga Hair  Dark,John Glasses,Normal,Clown Outfit,Blue,,Purple,,Small Tattoos,,
2163,Cryptomories #2163,Skeleton,Flower Hat,Retro Cartoon Eyes,Normal,Tank Top Grey POM,,Aztec Patterns,Grey,,Small Tattoos,Painted Skeleton,
2164,Cryptomories #2164,Skeleton,Manga Hair  Dark,Pirate Patch Evil Morty,Normal,Bandana Red,Blue,Aztec Patterns,Aquamarine,,Small Tattoos,,
2165,Cryptomories #2165,Skeleton,Sombrero,Square Shades,Normal,Bear Fur,Red,Flower Pattern,Aquamarine,,,,
2166,Cryptomories #2166,Skeleton,Bandana Blue,Crazy Eyes,Normal,Tank Top Pink CM,Yellow,,Light Red,,Small Tattoos,,
2167,Cryptomories #2167,Skeleton,Flower Hat,Square Shades,Normal,Admirals Coat Black,Red,Aztec Patterns,Light Red,,Big Tattoos,,
2168,Cryptomories #2168,Skeleton,Manga Hair  Blue,Square Shades,Normal,Hoodie Green B&B,Rainbow,Flower Pattern,Grey,,Big Tattoos,Painted Skeleton,
2169,Cryptomories #2169,Skeleton,Mohawk,Aviator Glasses,Normal,Hoodie Red CM,Yellow,,Purple,,,,
2170,Cryptomories #2170,Skeleton,Sangoku,Bored Eyes,Normal,Tank Top Grey POM,Yellow,Aztec Patterns,Beige,,Big Tattoos,Painted Skeleton,
2171,Cryptomories #2171,Skeleton,Musician Hat,Heart Eyes,Normal,Shaolin Outfit,,,Blue,,,,
2172,Cryptomories #2172,Skeleton,Bucket Hat CM+B&B,Retro Cartoon Eyes,Normal,Bandana Blue,Yellow,Flower Pattern,Blue,,Big Tattoos,,
2173,Cryptomories #2173,Zombie,Deer Horns,Cute Spider Eyes,Normal,Bandana Blue,,Aztec Patterns,Purple,,,,
2174,Cryptomories #2174,Skeleton,,Exasperated Eyes,Normal,DBZ Outfit,Blue,,Blue,,,,
2175,Cryptomories #2175,Devil,Manga Hair  Dark,Angry Eyes,Normal,Hoodie Green B&B,,,Grey,,,Painted Skeleton,
2176,Cryptomories #2176,Skeleton,Manga Hair  Dark,Retro Cartoon Eyes,Normal,Bathrobe White,Red,,Grey,Cigarette,Big Tattoos,,
2177,Cryptomories #2177,Devil,Biker Helmet Black Spikes POM,Logo Eyes,Normal,Bandana Red,,Flower Pattern,Light Orange,,,,
2178,Cryptomories #2178,Devil,Bowler Hat,Rick Eyes,Clown,Sweater Green CM,,Aztec Patterns,Beige,Cigarette,Small Tattoos,,
2179,Cryptomories #2179,Skeleton,Party Hat,Cool Shades,Normal,,Yellow,Aztec Patterns,Light Red,Tongue,,,Gold Chain Skull
2180,Cryptomories #2180,Skeleton,Headband Red,Bloodshot,Clown,Hoodie Black POM,Blue,Aztec Patterns,Aquamarine,,Small Tattoos,,
2181,Cryptomories #2181,Zombie,,Crazy Eyes,Normal,Bear Fur,,,Light Orange,,,,Gold Chain Skull
2182,Cryptomories #2182,Special,,,,,,,,,,,
2183,Cryptomories #2183,Skeleton,Savage Hair Dark,Regular Glasses,Normal,Tank Top Pink CM,Rainbow,,Light Orange,,,Painted Skeleton,
2184,Cryptomories #2184,Skeleton,Dread Long Brown,Regular Glasses,Normal,,Rainbow,Flower Pattern,Green,Cigarette,,,
2185,Cryptomories #2185,Zombie,,Pirate Patch Exasperated,Normal,Dress Pink,,Aztec Patterns,Beige,,Small Tattoos,,
2186,Cryptomories #2186,Skeleton,Sport Headband,Regular Glasses,Normal,Sweater Green CM,Rainbow,,Aquamarine,Cigarette,,Painted Skeleton,
