TOKEN_ID,TOKEN_NAME,Clothing,Emotion,Eyes,Skin,Teeth,Hat,Mouth Props,Glasses,Necklace,Accessories,Nose,Jacket,Earrings,Legendary
1807,#1807,Tanktop White,Bored,Blue,Panda,,,,Party,,,,,,
1808,#1808,Sweater Orange,Bored,Deep Blue,White,,,,,Spiritual Silver,,,,,
1809,#1809,Tanktop White,Excited,Stoned,Black,White,Bucket Hat Black,,,,,,,,
1810,#1810,,Serious,Deep Blue,Blond,,Ski Bobble Green,,,,,,,,
1811,#1811,Basketball Shirt Red,Excited,Blue,Blond,Copper,Beanie Blue,Donut,Glasses Modern,,,,,,
1812,#1812,Hoodie Gold,Bored,Grey,Tiger,,Samurai,,Blue Pill Red Pill,,,,,Diamond,
1813,#1813,Hoodie Yellow,Bored,Blue,White,,,,,,,,,,
1814,#1814,Turtleneck White,Smile,Stoned,Black,Rainbow,Bandana Red,,Cyclops Gold,Gun Silver,,,Ski Jacket Money,,
1815,#1815,,Serious,Blue,Polkadots,,Bucket Hat White,,,Love Silver,,,,,
1816,#1816,,Serious,Stoned,Brown,,Fedora Pinstripes Black,,Ethereum,Love Gold,,,,,
1817,#1817,Sweater White,Excited,Green,Leopard,White,,,,,,,,,
1818,#1818,Basketball Shirt Red,,,Rock,,Chicken Hat,,,Headphones Gold,,Lock,,,
1819,#1819,T-Shirt Blue,Excited,Black,Polkadots,Copper,Crown,,,,,,,,
1820,#1820,Basketball Shirt Green,Seducing,Black,Orangutan,,,,,Thin Silver,,,,,
1821,#1821,,Excited,Turquoise,Blond,White,,,Ethereum,,,,,,
1822,#1822,Hoodie Pink,Excited,Blue,Zebra,Rotten,Bucket Hat Yellow,,,,,,,,
1823,#1823,Hoodie Gold,,,Rock,,Pimp Purple,,Ethereum,,,Half Bull Ring,,,
1824,#1824,Suit Yellow,,,Lava,,Bandana Blue,,Pixel Black,,,,,,
1825,#1825,,Smile,Blue,Blond,Braces,,,,,,,,,
1826,#1826,Hoodie Red,Bored,Blue,Brown,,,,,,,,,,
1827,#1827,,Seducing,Cat Eyes,Black,,Cap Backwards Black,,,Chain Silver,,,,,
1828,#1828,Hoodie Grey,Seducing,Brown,Zebra,,Cap Red,,,,,,,,
1829,#1829,Turtleneck White,Seducing,Black,Rainbow,,Squid Green,,,Thin Gold,,,,,
1830,#1830,Sweater Green,Excited,Stoned,Orangutan,White,,,Party,,Axes,,,,
1831,#1831,Turtleneck White,Smile,Turquoise,Tiger,Copper,Headband Red,,Glasses Round,Retro Headphones Rainbow,,,,,
1832,#1832,,Bored,Cat Eyes,Black,,Cap Gold,,,Retro Headphones Green,,,,,
1833,#1833,Suit Pinstripe White,,,Lava,,Cap Blue,,,,,,,,
1834,#1834,Sweater Green,Bored,Cat Eyes,Brown,,,,,,,,,,
1835,#1835,Pimp Leopard,Bored,Green,Black,,Headband Red,,Cyclops Gold,,White Wings,,,,
1836,#1836,Tanktop White,Serious,Yellow,Orangutan,,,,,,,,,,
1837,#1837,Hoodie Green,Excited,Deep Blue,Blond,White,Bucket Hat Blue,,Party,,,,,,
1838,#1838,Hoodie Purple,Seducing,Grey,Brown,,Ski Bobble White,,,,,,,,
1839,#1839,Sweater Red-Yellow,Smile,Blind,Tiger,Silver,Horns,,Ethereum,Retro Headphones Green,,,,,
1840,#1840,Suit Pinstripe Black,Excited,Turquoise,Light Brown,White,Ski Bobble White,,,,,,,,
1841,#1841,Sweater Orange,Seducing,Turquoise,Light Brown,,Fedora White,,Glasses Round,,,,,,
1842,#1842,Sweater Gold,Excited,Blue,White,Silver,Beanie Red,,,,,,,,
1843,#1843,Pimp Purple,Bored,Cat Eyes,Rainbow,,Squid Blue,,Ski Goggles Blue,,,,,,
1844,#1844,Hoodie Purple,Bored,Blue,Light Brown,,Chef,,,,,,,,
1845,#1845,Suit White,Bored,Green,Tiger,,Cap Backwards Black,,Cyclops Silver,,,,,,
1846,#1846,Pimp Purple,,,Gold,,Bucket Hat Biege,,,,,,,,
1847,#1847,Polo Green,Excited,Black,Rainbow,White,Bowler Hat,Banana,,Headphones Gold,,Lock,,,
1848,#1848,T-Shirt Blue,,,Lizard,,Squid Purple,,Cyclops Gold,,,,,Diamond,
1849,#1849,Sweater Gray,Serious,Blind,Orangutan,,Beanie Red,,,Gun Silver,,,,,
1850,#1850,Sweater White,Serious,Yellow,Polkadots,,,,,,,,,,
1851,#1851,Sweater Pink,,,Gold,,Fedora White,,Party,Chain Gold,,,,,
1852,#1852,Basketball Shirt Blue,Bored,Brown,Orangutan,,Bucket Hat White,,,,,,,,
1853,#1853,T-Shirt White,Seducing,Turquoise,Zebra,,Ski Bobble Purple,,,,,,,,
1854,#1854,Basketball Shirt Green,Excited,Blind,Light Brown,White,,Cigar,Glasses Sun,,,,,,
1855,#1855,Tanktop White,Excited,Blue,Brown,White,,,Glasses Iconic,,,,,,
1856,#1856,Sweater Yellow,Serious,Grey,Orangutan,,Bucket Hat White,,Glasses Iconic,,,,,,
1857,#1857,Hoodie White,,,Lava,,Bucket Hat Black,,,,,,,,
1858,#1858,Sweater White,Smile,Deep Blue,Polkadots,Vampire,Caesar,,,Retro Headphones Green,,,,,
1859,#1859,,Serious,Deep Blue,Orangutan,,Ski Bobble Blue,,,,,,,,
1860,#1860,T-Shirt Blue,,,Ice,,,,,,,,,,
1861,#1861,Sweater Red-Yellow,Smile,Blue,Blond,Rainbow,Ski Bobble Blue,,,,Black Wings,,,,
1862,#1862,,Serious,Blue,Black,,,,,Headphones Gold,,,,,
1863,#1863,Sweater Gold,Bored,Stoned,Light Brown,,Bucket Hat Red,,,King Silver,,,,,
1864,#1864,,Excited,Turquoise,Polkadots,White,Cap Blue,Cigar,Glasses Sun,,,,,,
1865,#1865,Suit Pinstripe White,Serious,Brown,Zebra,,,,,,,,,,
1866,#1866,Basketball Shirt Yellow,,,Lava,,Headband Yellow,,,Retro Headphones Rainbow,Black Wings,,,,
1867,#1867,Suit Pinstripe White,Seducing,Cat Eyes,Brown,,Chicken Hat,,,,,,,,
1868,#1868,Tanktop White,Bored,Blue,Brown,,Ski Bobble Blue,,,,,Half Bull Ring,,,
1869,#1869,T-Shirt Yellow,Seducing,Stoned,Light Brown,,Cap Backwards Blue,,Glasses Oval,,,,,,
1870,#1870,Hoodie Red,Bored,Yellow,Orangutan,,Bucket Hat White,,,,,,,,
1871,#1871,Sweater Red,,,Silver,,Fedora Brown,,,,,,,,
1872,#1872,Basketball Shirt Green,Smile,Brown,White,White,Ski Bobble White,,,Love Silver,,,,,
1873,#1873,Sweater Red,Seducing,Yellow,Light Brown,,,,,Love Silver,,,,,
1874,#1874,Hoodie Green,Excited,Yellow,Brown,White,Beanie Blue,,,,,,,,
1875,#1875,Basketball Shirt Blue,Excited,Deep Blue,Panda,White,,,,,,,,,
1876,#1876,Sweater Pink,Bored,Blue,Orangutan,,,,Party,Thin Silver,,,,,
1877,#1877,Tanktop White,Excited,Brown,Zebra,White,Fedora White,,,,,,,,
1878,#1878,Tanktop Red,Seducing,Yellow,Light Brown,,Cap Backwards Biege,,Blue Pill Red Pill,,,,,,
1879,#1879,Sweater Pink,Seducing,Deep Blue,Blond,,Bucket Hat Red,,,Thin Silver,,,,,
1880,#1880,Sweater White,Smile,Stoned,Panda,Braces,Beanie Red,,,,,,,,
1881,#1881,Suit Green,Smile,Cyborg,Brown,White,Fedora Pinstripes Black,,,,,,,,
1882,#1882,Suit Joker,,,Lava,,Cap Biege,,,,,Lock,,,
1883,#1883,Hoodie Red,Bored,Brown,Zebra,,Bucket Hat Black,,,,,,,,
1884,#1884,Basketball Shirt Red,,,Lizard,,Banana,,Glasses Round,,White Wings,,,,
1885,#1885,,Excited,Yellow,Light Brown,White,Beanie Black,Thermometer,Glasses Round,Chain Silver,,,,,
1886,#1886,Tanktop Green,Seducing,Cat Eyes,Light Brown,,Fedora Red,,Glasses Iconic,,,,,,
1887,#1887,Hoodie Green,Bored,Grey,Brown,,Ski Bobble White,,,,,,,,
1888,#1888,Tanktop Red,Smile,Blue,Orangutan,White,Bucket Hat Yellow,,,,,,,,
1889,#1889,Sweater Pink,Seducing,Blue,Tiger,,Ski Bobble Purple,,Ski Goggles Blue,,,,,,
1890,#1890,,Bored,Green,Polkadots,,,,,Thin Gold,,Half Bull Ring,,,
1891,#1891,Sweater Green-Blue,,,Rock,,Headband Yellow,,,,,,,,
1892,#1892,Suit Grey,Serious,Brown,Brown,,,,,,,,,,
1893,#1893,,Bored,Stoned,Tiger,,,,Glasses Sun,,,,,,
1894,#1894,Hoodie White,Excited,Deep Blue,Light Brown,White,Crown,,Glasses Round,,,,,,
1895,#1895,Sweater Pink,Smile,Brown,Blond,Braces,Fedora White,,Ski Goggles Blue,,,Half Bull Ring,,,
1896,#1896,Sweater Black,Seducing,Stoned,Brown,,Cap Backwards White,,Cyclops Silver,Thin Gold,,,,,
1897,#1897,Sweater Pink,Seducing,Deep Blue,Brown,,,,,,,,,,
1898,#1898,,Serious,Turquoise,Brown,,Bucket Hat Red,,,,,,,,
1899,#1899,Hoodie Silver,Smile,Turquoise,Polkadots,Rotten,Propeller Hat,,,,,,,Ring,
1900,#1900,,Serious,Green,Light Brown,,Bucket Hat White,,,Spiritual Silver,,,,,
1901,#1901,T-Shirt Black,Excited,Green,Black,Rotten,Beanie Gold,,Glasses Oval,,White Wings,,,,
1902,#1902,,Seducing,Stoned,Blond,,Beanie Red,,,Love Silver,,,,,
1903,#1903,Tanktop White,Bored,Yellow,Rainbow,,Beanie Blue,,Glasses 3D,,,,,,
1904,#1904,T-Shirt camouflage,Excited,Stoned,Leopard,White,Fedora White,,,,,,,,
1905,#1905,Hoodie White,,,Lava,,Chicken Hat,,Laser Red,,Rifle,,,,
1906,#1906,Sweater White,Seducing,Yellow,Brown,,Cap Blue,,,,,,,,
1907,#1907,Suit Pinstripe Black,Excited,Blue,Brown,White,,,,,,,,,
1908,#1908,Sweater Pink,Bored,Yellow,Brown,,Ski Bobble Blue,,Glasses Round,Retro Headphones Rainbow,,,,,
1909,#1909,,Serious,Cat Eyes,Panda,,Cap White,,Glasses Modern,King Silver,,,,Ring,
1910,#1910,Hoodie Green,Seducing,Deep Blue,White,,Beanie White,,,,,,,,
1911,#1911,T-Shirt camouflage,Bored,Deep Blue,Panda,,Bucket Hat Yellow,,,,,,,,
1912,#1912,Sweater Green-Blue,Seducing,Cyborg,Brown,,Fedora Black,,Ski Goggles Bronze,,Rifle,,Leather Jacket,,
1913,#1913,Suit Grey,,,Rock,,Cap Blue,,,,,,,,
1914,#1914,Hoodie White,Seducing,Stoned,Light Brown,,Fedora Pinstripes White,,Party,,Axes,,,,
1915,#1915,,Bored,Deep Blue,Brown,,,,Party,,,,,,
1916,#1916,Hoodie Pink,Seducing,Blue,Tiger,,Bucket Hat Black,,,,,,,,
1917,#1917,Player 7979,Serious,Grey,Orangutan,,Ski Bobble White,,,,,,,,
1918,#1918,Sweater Gold,Excited,Grey,Tiger,White,Pimp Purple,Cigarette,Glasses 3D,King Silver,,,,,
1919,#1919,Sweater Red,Excited,Deep Blue,Blond,Gold,Headband Green,,,King Gold,,,,,
1920,#1920,Hoodie Yellow,Seducing,Brown,Brown,,Bucket Hat Red,,Glasses 3D,,,,,,
1921,#1921,Suit Pinstripe Black,Serious,Yellow,Brown,,Ski Bobble Green,,Glasses Sun,,,,,,
1922,#1922,Sweater Pink,Excited,Yellow,Blond,White,Bucket Hat Blue,,,Love Silver,,,,,
1923,#1923,Sweater Black,Serious,Blind,Black,,Bucket Hat Biege,,,,,,,,
1924,#1924,Suit Pinstripe White,Smile,Blue,Zebra,White,Cap Backwards Black,,,,,,,,
1925,#1925,,,,Rock,,,,,,,,,,
1926,#1926,,Excited,Brown,Light Brown,White,Cap Backwards Blue,,,,,,,,
1927,#1927,Pimp Leopard,Smile,Blind,Brown,Gold Single,Cap Backwards Biege,,,,,,,,
1928,#1928,Tanktop White,Bored,Green,Black,,Cap Backwards Biege,,,,,,,,
1929,#1929,Hoodie Grey,Smile,Blue,Polkadots,Gold,Beanie White,,Glasses Round,,,,,Ring,
1930,#1930,Hoodie Black,Excited,Deep Blue,Zebra,Rotten,Cap Backwards White,,Cyclops Silver,,,,,,
1931,#1931,,Smile,Brown,Orangutan,White,,,,,,Half Bull Ring,,,
1932,#1932,Tanktop White,Serious,Deep Blue,Brown,,Fedora White,,,,,,,,
1933,#1933,Tanktop White,Seducing,Blue,Brown,,Beanie White,,,,,,,,
1934,#1934,Sweater Orange,Excited,Turquoise,Light Brown,White,,,Ski Goggles Blue,,,,,,
1935,#1935,Pimp Purple,Serious,Turquoise,White,,Squid Purple,,,,,,,,
1936,#1936,Tanktop Red,Serious,Yellow,Light Brown,,Ski Bobble Red,,Pixel Black,,,,,,
1937,#1937,Hoodie Pink,Serious,Turquoise,Orangutan,,Fedora Pinstripes White,,,,,,,,
1938,#1938,Sweater Orange,Bored,Grey,Panda,,Fedora Pinstripes Black,,,Chain Silver,,,,,
1939,#1939,Polo Blue,Smile,Green,Rainbow,Copper,Squid Purple,,,Headphones Black,,,,,
1940,#1940,Sweater Yellow,Seducing,Cat Eyes,Polkadots,,Fedora Pinstripes Black,,Cyclops Silver,,,,,,
1941,#1941,Sweater Black,Serious,Deep Blue,Tiger,,,,,Chain Gold,White Wings,,,,
1942,#1942,Pimp Leopard,,,Lava,,Ski Bobble Yellow,,,,,,,,
1943,#1943,T-Shirt Yellow,Smile,Blue,Leopard,White,Fedora Black,,Ski Goggles Blue,,,,,,
1944,#1944,Suit Pinstripe White,Seducing,Deep Blue,White,,,,Party,,,,,,
1945,#1945,,Serious,Brown,Light Brown,,Beanie White,,,Gun Silver,,,,,
1946,#1946,Hoodie Black,Excited,Stoned,Brown,Copper,Fedora Red,,,,,,,,
1947,#1947,Sweater Orange,Bored,Deep Blue,Brown,,Bucket Hat White,,,,,,,,
1948,#1948,Sweater Red,Excited,Blue,Orangutan,Copper,Headband Green,,,,,,,,
1949,#1949,,Serious,Blue,Brown,,Cap White,,,,,,,,
1950,#1950,Hoodie Yellow,Seducing,Blue,White,,Cap White,,,,,,,,
1951,#1951,Sweater Silver,Serious,Stoned,Brown,,Caesar,,Laser Red,Spiritual Silver,,,,,
1952,#1952,Sweater Gold,,,Silver,,Pimp Leopard,,,Thin Gold,,,Biker,,
1953,#1953,Suit Pinstripe Black,Seducing,Stoned,Brown,,,,Glasses Oval,,,,,,
1954,#1954,Suit Pinstripe White,Serious,Blue,Brown,,Bucket Hat Black,,Ski Goggles Blue,,,Half Bull Ring,,,
1955,#1955,Suit Pinstripe White,Serious,Yellow,Orangutan,,Ski Bobble Red,,Party,,White Wings,,,,
1956,#1956,Tanktop White,Bored,Black,Light Brown,,Fedora Pinstripes Black,,Glasses Sun,,,,,,
1957,#1957,Basketball Shirt Green,Smile,Turquoise,Blond,White,Bucket Hat White,,,,,,,,
1958,#1958,Hoodie Orange,,,Rock,,Cap Backwards Red,,Glasses 3D,,,Lock,,,
1959,#1959,Hoodie Red,Serious,Yellow,Orangutan,,Cap Backwards Biege,,,,,,,,
1960,#1960,Hoodie Red,Seducing,Deep Blue,Blond,,Beanie White,,,,,,,,
1961,#1961,Basketball Shirt Green,Serious,Stoned,White,,Cap White,,Laser Green,,,,,,
1962,#1962,Sweater Pink,Smile,Green,Polkadots,White,Beanie Red,,,,Axes,,,,
1963,#1963,Sweater Gray,Smile,Blind,Zebra,Gold Single,Pimp Leopard,,Glasses Sun,King Silver,,,,,
1964,#1964,Turtleneck Black,Serious,Cat Eyes,Brown,,Fedora Red,,,Spiritual Silver,,,,,
1965,#1965,,Smile,Brown,Light Brown,Vampire,,,,King Silver,,,,,
1966,#1966,Basketball Shirt Green,Excited,Green,Blond,White,Fedora White,,Glasses Sun,Love Silver,,,,,
1967,#1967,Basketball Shirt Blue,Smile,Turquoise,Blond,Vampire,Bucket Hat Black,,,,,Half Bull Ring,,,
1968,#1968,Hoodie Silver,,,Ice,,,,Blue Pill Red Pill,,,,,,
1969,#1969,Sweater Yellow,Smile,Stoned,Panda,White,Ski Bobble Purple,,,,,,,,
1970,#1970,Sweater White,Smile,Cat Eyes,Orangutan,White,Squid Red,,Glasses Sun,Thin Silver,,,,,
1971,#1971,Sweater Gray,Excited,Green,Blond,Rainbow,Bucket Hat Yellow,Banana,Pixel Black,Chain Silver,,,,,
1972,#1972,Hoodie Orange,Bored,Yellow,Orangutan,,Bucket Hat White,,Glasses Iconic,,,,,,
1973,#1973,Suit Blue,Bored,Yellow,Brown,,Bucket Hat Red,,Ski Goggles Bronze,,,,,,
1974,#1974,Suit Burgundy,Serious,Stoned,Orangutan,,Cap Backwards Red,,Party,,,,,,
1975,#1975,T-Shirt White,Bored,Yellow,Polkadots,,Cap Backwards Biege,,Glasses Modern,,,,,,
1976,#1976,Suit Velvet,Bored,Blue,Orangutan,,Squid Green,,Cyclops Gold,,,,,,
1977,#1977,Hoodie Orange,Excited,Deep Blue,Orangutan,White,,,Ski Goggles Blue,,,,,,
1978,#1978,Sweater Purple,Serious,Yellow,Black,,Cap Blue,,,,,,,,
1979,#1979,Hoodie Yellow,Seducing,Grey,Panda,,Cap Red,,Ski Goggles Bronze,,,,,,
1980,#1980,Suit Pinstripe Black,Bored,Blue,Brown,,Bucket Hat Black,,,,,,,,
1981,#1981,Hoodie Check Your Name,Smile,Green,Tiger,Tiger,Beanie Gold,,,,White Wings,,,,
1982,#1982,Sweater Purple,Smile,Brown,Zebra,White,Beanie Blue,,,,,,,,
1983,#1983,,Bored,Brown,Blond,,Beanie Red,,,Love Silver,,,,,
1984,#1984,Suit Grey,Bored,Black,Zebra,,Cap Backwards Blue,,,,,,,,
1985,#1985,Tanktop White,Smile,Green,Zebra,White,,,,Retro Headphones Rainbow,,,,,
1986,#1986,Sweater Purple,Serious,Cat Eyes,Orangutan,,,,Bitcoin,Spiritual Silver,,,,,
1987,#1987,Hoodie Red,Bored,Blue,Leopard,,Cap Backwards White,,,,,,,,
1988,#1988,Suit Pinstripe White,Excited,Stoned,Zebra,White,Beanie Black,,,,,,,,
1989,#1989,,Smile,Stoned,Orangutan,White,Ski Bobble Red,,,,,,,,
1990,#1990,Polo Green,,,Silver,,Cap Black,,Cyclops Silver,Chain Gold,,,,Ring,
1991,#1991,Sweater Silver,Smile,Stoned,Rainbow,Silver,Samurai,,,,,,,,
1992,#1992,Basketball Shirt Green,Bored,Green,Polkadots,,,,Glasses Oval,,,,,,
1993,#1993,Hoodie White,Seducing,Deep Blue,Light Brown,,Beanie Blue,,,,,,,,
1994,#1994,Turtleneck Black,,,Ice,,Chicken Hat,,Glasses Iconic,,,,,,
1995,#1995,Turtleneck White,,,Lava,,Cap Backwards Gold,,,,,,,,
1996,#1996,,Smile,Cat Eyes,Polkadots,White,Cap Backwards Red,,,Retro Headphones Rainbow,,,,,
1997,#1997,Basketball Shirt Yellow,Seducing,Blue,Zebra,,Cap Backwards Blue,,Party,,,Half Bull Ring,,,
1998,#1998,Tanktop White,Seducing,Deep Blue,Brown,,Beanie Red,,Glasses Modern,,Black Wings,,,,
1999,#1999,Sweater Silver,Serious,Blue,Brown,,Fedora White,,,,,,,,
2000,#2000,Tanktop Red,Excited,Grey,Orangutan,White,Spartan,,,,,,,,
2001,#2001,Hoodie Pink,Smile,Deep Blue,Zebra,White,Cap Blue,,,,,,,,
2002,#2002,Basketball Shirt Yellow,Excited,Blind,Rainbow,Copper,Headband Yellow,Banana,Glasses Round,Chain Gold,,,Leather Jacket,,
2003,#2003,Suit Pinstripe Black,Serious,Deep Blue,Light Brown,,Ski Bobble Green,,,,,,,,
2004,#2004,Turtleneck Black,,,Ice,,Bandana Blue,,Glasses 3D,Thin Gold,White Wings,,,,
2005,#2005,,Bored,Turquoise,Light Brown,,Bucket Hat Blue,,Glasses Modern,Love Silver,,,,,
2006,#2006,Pimp Purple,,,Rock,,Cap Backwards Red,,,,Rifle,,,,
2007,#2007,Sweater Red,Serious,Deep Blue,Blond,,Cap Biege,,,Thin Silver,,,,,
2008,#2008,T-Shirt Blue,Bored,Deep Blue,Black,,Fedora Brown,,Pixel Black,,,,,,
2009,#2009,Hoodie Red,Seducing,Blue,Panda,,,,,,,,,,
2010,#2010,,Seducing,Turquoise,Orangutan,,Fedora White,,Bitcoin,Thin Silver,,,,,
2011,#2011,Tanktop White,Serious,Blue,Light Brown,,Bucket Hat White,,,,,,,,
2012,#2012,T-Shirt Blue,,,Silver,,Squid Red,,,,Rifle,,,,
2013,#2013,,Serious,Blue,Light Brown,,,,,Chain Silver,,,,,
2014,#2014,Sweater Red,Seducing,Grey,Light Brown,,Fedora Pinstripes Black,,,,,,,,
2015,#2015,Tanktop White,Smile,Yellow,Light Brown,White,Bucket Hat Biege,,Glasses Round,Headphones Black,,,,,
2016,#2016,Suit Pinstripe Black,Bored,Brown,Black,,Beanie Blue,,,,,,,,
2017,#2017,Tanktop Green,Excited,Turquoise,Light Brown,White,Ski Bobble Purple,,,,,,,,
2018,#2018,Sweater Purple,Excited,Brown,Orangutan,Silver,Bucket Hat Red,,,Gun Silver,,,,,
2019,#2019,Hoodie Yellow,Serious,Brown,Orangutan,,,,,,,,,,
2020,#2020,Suit Grey,Bored,Green,Brown,,Bucket Hat White,,,,,,,,
2021,#2021,Sweater Red,Bored,Yellow,Blond,,Bucket Hat Blue,,Glasses Round,Thin Silver,,,,,
2022,#2022,Suit Velvet,Smile,Brown,Tiger,Vampire,Headband Blue,,Glasses Round,,,,,,
2023,#2023,,Serious,Yellow,Light Brown,,Poker Chips,,,,,,,,
2024,#2024,Sweater Silver,Serious,Grey,Zebra,,Poker Chips,,Ethereum,,Rifle,Half Bull Ring,Leather Jacket,Ring,
2025,#2025,Sweater Red,Seducing,Blue,Brown,,Fedora Pinstripes Black,,Glasses Iconic,Chain Silver,,,,,
2026,#2026,,Seducing,Brown,Panda,,,,,,,,,,
2027,#2027,Sweater Green-Blue,Seducing,Stoned,Tiger,,Pimp Leopard,,Pixel Black,Retro Headphones Green,Rifle,,,,
2028,#2028,,Smile,Brown,Brown,White,Beanie White,,,Love Gold,,,,,
2029,#2029,Hoodie Grey,Smile,Yellow,Black,Vampire,Cap Blue,,Ski Goggles Blue,,,,,,
2030,#2030,Sweater White,Smile,Deep Blue,Light Brown,White,,,,Love Gold,,,,,
2031,#2031,Basketball Shirt Yellow,Seducing,Green,Brown,,Fedora Black,,,King Gold,Axes,,,,
2032,#2032,Pimp Purple,Smile,Cat Eyes,Polkadots,Rotten,Beanie Mustard,,,,,,,,
2033,#2033,Hoodie Pink,Seducing,Blind,White,,Bucket Hat White,,Party,,,,,,
2034,#2034,Suit Grey,Smile,Cat Eyes,Tiger,Rotten,Propeller Hat,,,,,,,,
2035,#2035,Pimp Leopard,,,Rock,,Beanie Mustard,,,,,,,,
2036,#2036,Suit Grey,Smile,Blue,Light Brown,White,Cap Backwards White,,,,,,,,
2037,#2037,Hoodie Pink,Excited,Grey,Zebra,Silver,,Donut,,,Rifle,,,,
2038,#2038,Suit Blue,Bored,Deep Blue,Tiger,,Ski Bobble Purple,,,,,,,,
2039,#2039,,Smile,Blue,Panda,White,,,Glasses Iconic,Gun Silver,,,,,
2040,#2040,Sweater White,Bored,Black,Light Brown,,Beanie Red,,,Chain Silver,,Half Bull Ring,,,
2041,#2041,Basketball Shirt Green,Serious,Deep Blue,Black,,Ski Bobble Green,,,,,,,,
2042,#2042,Hoodie Green,Excited,Yellow,Light Brown,White,,,,,,Half Bull Ring,,,
2043,#2043,Suit Pinstripe White,Bored,Brown,Brown,,Bowler Hat,,,,,,,,
2044,#2044,,Excited,Yellow,Polkadots,White,Bucket Hat Blue,,Glasses Oval,,,,,,
2045,#2045,Sweater Orange,Serious,Deep Blue,Blond,,,,Ski Goggles Blue,,,,,,
2046,#2046,Sweater Yellow,Serious,QR,Light Brown,,Cap Blue,,,,,,,,
2047,#2047,,,,Silver,,Bucket Hat White,,,Headphones Black,,,,,
2048,#2048,,Smile,Yellow,Brown,White,,,,Love Silver,,,,,
2049,#2049,Hoodie White,,,Ice,,Cap Red,,,,,,,,
2050,#2050,Pimp Leopard,,,Gold,,Fedora Black,,,,,,,,
2051,#2051,Hoodie Pink,Serious,Cat Eyes,Orangutan,,Bowler Hat,,,,,,,,
2052,#2052,Hoodie Gold,,,Silver,,Cap Black,,,,,Half Bull Ring,,,
2053,#2053,Tanktop Red,Bored,Cat Eyes,Brown,,Cap Red,,Glasses Oval,,,,,,
2054,#2054,,Smile,Deep Blue,Light Brown,White,Ski Bobble Purple,,,Thin Silver,,,,,
2055,#2055,Sweater Silver,,,Ice,,Chef,,Ski Goggles Bronze,Retro Headphones Green,,,,,
2056,#2056,Suit Grey,Serious,Deep Blue,Blond,,,,Laser Green,,,,,,
2057,#2057,,Smile,Grey,Brown,Rainbow,Cap Backwards Blue,,,,,,,,
2058,#2058,,Excited,Turquoise,White,White,Fedora Pinstripes White,Banana,,Spiritual Silver,,,,,
2059,#2059,,Serious,Brown,Black,,,,,,,,,,
2060,#2060,Suit Pinstripe White,Smile,Brown,Orangutan,White,,,,,,Half Bull Ring,,,
2061,#2061,Sweater White,Excited,Blue,Leopard,White,,,,,,,,,
2062,#2062,,Serious,Blue,Panda,,,,,,,,,,
2063,#2063,Tanktop White,Excited,Deep Blue,Brown,White,,Thermometer,,,,,,,
2064,#2064,Hoodie Yellow,Bored,Cyborg,Blond,,Cap Backwards Red,,Cyclops Silver,,Black Wings,,,,
2065,#2065,Suit Grey,Seducing,Brown,Zebra,,Fedora Red,,,,,,,,
2066,#2066,,,,Lizard,,Ski Bobble Purple,,Glasses Round,Love Silver,,,,,
2067,#2067,Basketball Shirt Green,Seducing,Stoned,White,,Ski Bobble Green,,,Headphones Black,,,,,
2068,#2068,Sweater Yellow,Bored,Brown,Light Brown,,Beanie White,,Party,Chain Silver,,,,,
2069,#2069,T-Shirt Blue,Seducing,Cat Eyes,Panda,,Bucket Hat Biege,,Glasses Iconic,,Axes,,,,
2070,#2070,Hoodie Green,Excited,Deep Blue,Blond,White,Bucket Hat Black,,Glasses Round,,,,,,
2071,#2071,Suit Burgundy,Smile,Blind,Brown,White,Ski Bobble Black,,Ski Goggles Blue,,,,,,
2072,#2072,Hoodie Black,Excited,Deep Blue,Black,White,Ski Bobble Blue,,Glasses Modern,,,,,,
2073,#2073,,Serious,Brown,Orangutan,,Cap Biege,,Party,,,,,,
2074,#2074,Suit Pinstripe Black,Serious,Yellow,White,,Ski Bobble Black,,Ski Goggles Blue,,,,,,
2075,#2075,Suit Pinstripe White,,,Rock,,Cap Biege,,,,,Lock,,,
2076,#2076,Sweater Green-Blue,,,Ice,,Pimp Leopard,,,Headphones Black,Rifle,Half Bull Ring,,Diamond,
2077,#2077,Hoodie Green,,,Lava,,Beanie Red,,,,,,,,
2078,#2078,Hoodie Orange,Excited,Yellow,Orangutan,White,Bucket Hat Black,,,,,,,,
2079,#2079,Sweater Orange,Serious,Deep Blue,Panda,,Beanie White,,Laser Red,,,,,,
2080,#2080,Hoodie Orange,Seducing,Blue,Brown,,Ski Bobble Purple,,,,,,,Ring,
2081,#2081,Sweater Gold,,,Gold,,Banana,,,Retro Headphones Green,,,,,
2082,#2082,Hoodie Black,,,Silver,,Ski Bobble Black,,Glasses Modern,,Rifle,,,,
2083,#2083,,Smile,Turquoise,Brown,White,Ski Bobble White,,,,,,,,
2084,#2084,Hoodie Grey,,,Ice,,Beanie Gold,,Glasses Iconic,,,,,,
2085,#2085,,Excited,Blue,Black,White,Ski Bobble White,,,,,Half Bull Ring,,,
2086,#2086,Chef,Seducing,Green,Tiger,,Horns,,,,,,,,
2087,#2087,Pimp Purple,Smile,Deep Blue,White,White,Fedora White,,,,,,,,
