TOKEN_ID,TOKEN_NAME,Background,Body,Shirt,Eyes,Mouth,Hats,Attack,Defense,Special
1376,Baby Ape Mutant Club #1376,Purple,Red Leopard,Robe,Wide ,Knife,Card,7,4,2
1377,Baby Ape Mutant Club #1377,Purple,Zombie,Sailor Boy,Stone,Knife,Rainbow,4,5,8
1378,Baby Ape Mutant Club #1378,Grey,Blue Leopard ,none,Stone,Soda,none,5,6,3
1379,Baby Ape Mutant Club #1379,Yellow,Blue Leopard ,Space,Eye Patch,Rage,Card,4,9,5
1380,Baby Ape Mutant Club #1380,Purple,Pink and Green,Cosmo,Stone,Grit,Squid,9,7,5
1381,Baby Ape Mutant Club #1381,Grey,Zombie,Yellow jail,Red,Soda,Cowboy,9,5,7
1382,Baby Ape Mutant Club #1382,Grey,Green Tiger,Sailor,Eye Patch,Knife,none,4,7,1
1383,Baby Ape Mutant Club #1383,Aqua,Green Tiger,Burning,Wide ,Funnel,Cowboy,3,9,3
1384,Baby Ape Mutant Club #1384,Aqua,Pink and Green,none,Red,stone,Flying,10,6,8
1385,Baby Ape Mutant Club #1385,Blue,Green Tiger,Sailor Boy,X ,Stubble,Devil,4,6,6
1386,Baby Ape Mutant Club #1386,Aqua,Skeleton,none,Red,stone,Sailor,4,9,4
1387,Baby Ape Mutant Club #1387,Orange,Zombie,Sailor Boy,Eye Patch,Soda,Cowboy,6,6,4
1388,Baby Ape Mutant Club #1388,Grey,Static,Space,Bloody,Stubble,Krakken,5,2,7
1389,Baby Ape Mutant Club #1389,Aqua,Red Leopard,Senator,Bloody,stone,Fuzzy,2,6,6
1390,Baby Ape Mutant Club #1390,Purple,Zombie,Sailor,Eye Patch,Worm,none,9,2,5
1391,Baby Ape Mutant Club #1391,Aqua,Green Tiger,Senator,Stone,Stubble,Devil,6,5,6
1392,Baby Ape Mutant Club #1392,Blue,Lava,Burning,Eye Patch,Cheesy,Cowboy,1,6,1
1393,Baby Ape Mutant Club #1393,Yellow,Blue Leopard ,Burning,X ,Hungry,Alien,6,8,6
1394,Baby Ape Mutant Club #1394,Dark Blue,Zombie,none,Stone,stone,Krakken,7,7,4
1395,Baby Ape Mutant Club #1395,Blue,Blue Leopard ,Burning,Eye Patch,Dumb,Alien,7,8,8
1396,Baby Ape Mutant Club #1396,Yellow,Green Tiger,Sailor,Eye Patch,Hungry,Chain,9,5,7
1397,Baby Ape Mutant Club #1397,Yellow,Lava,Sailor Boy,Stone,Worm,Ninja,2,6,7
1398,Baby Ape Mutant Club #1398,Yellow,Zombie,Robe,Wide ,Cheesy,Krakken,6,2,5
1399,Baby Ape Mutant Club #1399,Dark Blue,Red Leopard,Yellow jail,Wide ,Hungry,none,1,7,7
1400,Baby Ape Mutant Club #1400,Aqua,Blue Leopard ,Space,Stone,Stoopid,Captain,7,9,4
1401,Baby Ape Mutant Club #1401,Blue,Green Tiger,Sailor Boy,Eye Patch,Grit,none,10,2,4
1402,Baby Ape Mutant Club #1402,Grey,Zombie,Leopard,Goggle,Worm,none,1,5,7
1403,Baby Ape Mutant Club #1403,Yellow,Red Leopard,Senator,Stone,Grin,Alien,6,7,7
1404,Baby Ape Mutant Club #1404,Purple,Blue Leopard ,Tongue,Crying,stone,Daredevil,8,3,5
1405,Baby Ape Mutant Club #1405,Grey,Zombie,Yellow jail,Red,Stoopid,Rainbow,8,5,5
1406,Baby Ape Mutant Club #1406,Blue,Zombie,Space,Stone,stone,Captain,5,9,3
1407,Baby Ape Mutant Club #1407,Yellow,Lava,none,X ,Gem,Fuzzy,1,5,7
1408,Baby Ape Mutant Club #1408,Aqua,Zombie,none,Red,Knife,Cowboy,4,5,7
1409,Baby Ape Mutant Club #1409,Aqua,Lava,Tongue,Strained,Grin,Brain,7,9,8
1410,Baby Ape Mutant Club #1410,Aqua,Red Leopard,Tongue,X ,Worm,Krakken,2,4,4
1411,Baby Ape Mutant Club #1411,Orange,Green Tiger,Burning,Crying,Dumb,Chain,5,6,7
1412,Baby Ape Mutant Club #1412,Blue,Pink and Green,none,Stone,Stoopid,Flying,4,7,4
1413,Baby Ape Mutant Club #1413,Aqua,Zombie,Robe,Bloody,Grit,Captain,10,6,6
1414,Baby Ape Mutant Club #1414,Dark Blue,Zebra,Burning,Eye Patch,Hungry,Rainbow,3,8,8
1415,Baby Ape Mutant Club #1415,Orange,Skeleton,none,Eye Patch,Soda,Rainbow,1,4,3
1416,Baby Ape Mutant Club #1416,Dark Blue,Blue Leopard ,none,Wide ,Knife,none,10,3,3
1417,Baby Ape Mutant Club #1417,Grey,Zebra,Dr,Goggle,Cheesy,Brain,10,2,1
1418,Baby Ape Mutant Club #1418,Orange,Lava,Yellow jail,Wide ,Cheesy,Dino,5,5,5
1419,Baby Ape Mutant Club #1419,Blue,Pink and Green,none,Wide ,Grit,Rainbow,10,6,5
1420,Baby Ape Mutant Club #1420,Dark Blue,Green Tiger,Sailor,Wide ,Hungry,Rainbow,5,3,7
1421,Baby Ape Mutant Club #1421,Purple,Green Tiger,Dr,Red,Snarl,Rainbow,8,7,10
1422,Baby Ape Mutant Club #1422,Dark Blue,Blue Leopard ,Robe,Red,Knife,Chain,3,7,4
1423,Baby Ape Mutant Club #1423,Blue,Zombie,Dr,Bloody,Funnel,Ninja,3,7,7
1424,Baby Ape Mutant Club #1424,Orange,Blue Leopard ,Sailor,Red,Funnel,Ninja,1,3,2
1425,Baby Ape Mutant Club #1425,Aqua,Zombie,none,Goggle,Killer,Sailor,6,4,7
1426,Baby Ape Mutant Club #1426,Yellow,Zombie,none,Eye Patch,Stubble,none,5,4,4
1427,Baby Ape Mutant Club #1427,Yellow,Pink and Green,Yellow jail,Bloody,Funnel,Brain,3,5,2
1428,Baby Ape Mutant Club #1428,Blue,Green Tiger,Senator,Eye Patch,Killer,Brain Party,3,8,3
1429,Baby Ape Mutant Club #1429,Dark Blue,Lava,Yellow jail,Red,Worm,Bunny,4,1,6
1430,Baby Ape Mutant Club #1430,Orange,Green Tiger,Robe,Eye Patch,Funnel,Krakken,5,5,9
1431,Baby Ape Mutant Club #1431,Blue,Green Tiger,Trippy suit,Red,Cheesy,Brain Party,6,6,8
1432,Baby Ape Mutant Club #1432,Yellow,Pink and Green,Leopard,Red,Stoopid,Daredevil,3,5,7
1433,Baby Ape Mutant Club #1433,Orange,Blue Leopard ,Senator,Stone,Hungry,Krakken,5,8,6
1434,Baby Ape Mutant Club #1434,Dark Blue,Pink and Green,none,Stone,Knife,Flying,4,1,8
1435,Baby Ape Mutant Club #1435,Yellow,Zebra,Space,Red,Stubble,Alien,4,6,6
1436,Baby Ape Mutant Club #1436,Dark Blue,Gold,Sailor,Fish,Dumb,Devil,3,6,4
1437,Baby Ape Mutant Club #1437,Blue,Red Leopard,Cosmo,Stone,stone,Cowboy,6,8,6
1438,Baby Ape Mutant Club #1438,Yellow,Red Leopard,Burning,Wide ,Funnel,Fuzzy,4,9,9
1439,Baby Ape Mutant Club #1439,Purple,Pink and Green,Senator,Red,Killer,none,9,5,2
1440,Baby Ape Mutant Club #1440,Grey,Zombie,none,Stone,Dumb,Chain,7,7,5
1441,Baby Ape Mutant Club #1441,Dark Blue,Blue Leopard ,Dr,Bloody,Stubble,none,2,9,6
1442,Baby Ape Mutant Club #1442,Purple,Zombie,none,Stone,Killer,Alien,8,4,1
1443,Baby Ape Mutant Club #1443,Dark Blue,Skeleton,none,Eye Patch,Grit,Flying,2,7,5
1444,Baby Ape Mutant Club #1444,Aqua,Skeleton,none,Red,stone,Brain,8,8,1
1445,Baby Ape Mutant Club #1445,Orange,Blue Leopard ,Sailor,Crying,Funnel,Krakken,8,4,7
1446,Baby Ape Mutant Club #1446,Grey,Zombie,none,Bloody,Rage,Rainbow,9,7,6
1447,Baby Ape Mutant Club #1447,Purple,Pink and Green,none,Fish,Soda,Rainbow,4,4,1
1448,Baby Ape Mutant Club #1448,Blue,Zebra,Yellow jail,Eye Patch,Funnel,Devil,3,6,6
1449,Baby Ape Mutant Club #1449,Grey,Pink and Green,Yellow jail,Crying,Funnel,Ninja,8,4,2
1450,Baby Ape Mutant Club #1450,Purple,Zombie,none,Stone,Grit,Ninja,3,6,2
1451,Baby Ape Mutant Club #1451,Orange,Pink and Green,Tongue,Bloody,Stubble,none,5,5,5
1452,Baby Ape Mutant Club #1452,Aqua,Green Tiger,none,Bloody,Dumb,Daredevil,1,5,7
1453,Baby Ape Mutant Club #1453,Blue,Pink and Green,Yellow jail,Red,Stoopid,Chain,10,3,1
1454,Baby Ape Mutant Club #1454,Blue,Red Leopard,Sailor Boy,Red,Grin,Rainbow,9,6,6
1455,Baby Ape Mutant Club #1455,Purple,Green Tiger,Space,Bug,Stubble,Fuzzy,2,3,8
1456,Baby Ape Mutant Club #1456,Purple,Zombie,Space,3d,Stubble,Ninja,2,9,4
1457,Baby Ape Mutant Club #1457,Yellow,Green Tiger,Tongue,Crying,Soda,Rainbow,3,8,6
1458,Baby Ape Mutant Club #1458,Blue,Green Tiger,Sailor,Wide ,Knife,Sailor,3,9,7
1459,Baby Ape Mutant Club #1459,Blue,Skeleton,Sailor Boy,Red,Funnel,Rainbow,2,6,6
1460,Baby Ape Mutant Club #1460,Orange,Red Leopard,Tongue,Strained,Cheesy,Brain Party,3,5,5
1461,Baby Ape Mutant Club #1461,Dark Blue,Red Leopard,none,Bloody,Funnel,Brain Party,8,7,3
1462,Baby Ape Mutant Club #1462,Blue,Red Leopard,Burning,Eye Patch,Snarl,Brain Party,3,3,5
1463,Baby Ape Mutant Club #1463,Orange,Red Leopard,Dr,3d,Grit,Daredevil,6,9,7
1464,Baby Ape Mutant Club #1464,Yellow,Red Leopard,Sailor,Wide ,Funnel,Chain,10,3,4
1465,Baby Ape Mutant Club #1465,Aqua,Red Leopard,Sailor Boy,Bug,Cheesy,Captain,7,3,4
1466,Baby Ape Mutant Club #1466,Blue,Blue Leopard ,none,X ,Gold,Krakken,8,5,9
1467,Baby Ape Mutant Club #1467,Purple,Blue Leopard ,Cosmo,Red,Soda,Ninja,8,1,2
1468,Baby Ape Mutant Club #1468,Dark Blue,Zombie,Yellow jail,Wide ,Rage,Brain,4,2,2
1469,Baby Ape Mutant Club #1469,Orange,Skeleton,none,Bloody,Rage,Daredevil,3,3,4
1470,Baby Ape Mutant Club #1470,Grey,Green Tiger,none,Strained,stone,Chain,5,2,8
1471,Baby Ape Mutant Club #1471,Purple,Lava,Sailor,Strained,Stoopid,Krakken,1,7,8
1472,Baby Ape Mutant Club #1472,Purple,Green Tiger,Yellow jail,Stone,Stubble,Cowboy,5,9,7
1473,Baby Ape Mutant Club #1473,Yellow,Blue Leopard ,Burning,Red,Knife,none,7,5,9
1474,Baby Ape Mutant Club #1474,Purple,Green Tiger,none,X ,Rage,Dino,1,1,1
1475,Baby Ape Mutant Club #1475,Grey,Pink and Green,Robe,Fish,Grit,Chain,4,3,3
1476,Baby Ape Mutant Club #1476,Aqua,Red Leopard,none,Red,Gem,Krakken,2,6,8
1477,Baby Ape Mutant Club #1477,Aqua,Blue Leopard ,Sailor Boy,Red,Cheesy,none,2,5,10
1478,Baby Ape Mutant Club #1478,Orange,Red Leopard,Sailor Boy,Eye Patch,Knife,Krakken,6,8,7
1479,Baby Ape Mutant Club #1479,Blue,Green Tiger,Yellow jail,Red,Gold,Squid,8,8,5
1480,Baby Ape Mutant Club #1480,Dark Blue,Zombie,none,Red,stone,Alien,8,6,4
1481,Baby Ape Mutant Club #1481,Purple,Zombie,Space,Red,Hungry,Flying,4,7,7
1482,Baby Ape Mutant Club #1482,Purple,Blue Leopard ,Burning,Stone,Stubble,Bunny,7,4,2
1483,Baby Ape Mutant Club #1483,Grey,Pink and Green,Space,Strained,Stoopid,Brain,7,3,9
1484,Baby Ape Mutant Club #1484,Purple,Blue Leopard ,Robe,Eye Patch,Worm,Bunny,4,8,8
1485,Baby Ape Mutant Club #1485,Purple,Zombie,none,Crying,Stubble,Card,5,7,7
1486,Baby Ape Mutant Club #1486,Dark Blue,Zombie,Senator,3d,stone,Fuzzy,4,5,6
1487,Baby Ape Mutant Club #1487,Blue,Green Tiger,Sailor,Red,Stoopid,Chain,5,7,7
1488,Baby Ape Mutant Club #1488,Purple,Zombie,Dr,3d,Stubble,none,7,7,4
1489,Baby Ape Mutant Club #1489,Blue,Static,Yellow jail,Wide ,Stubble,Krakken,5,2,8
1490,Baby Ape Mutant Club #1490,Purple,Pink and Green,Leopard,Stone,Hungry,Captain,7,6,9
1491,Baby Ape Mutant Club #1491,Dark Blue,Lava,Sailor Boy,Red,Grin,none,6,10,4
1492,Baby Ape Mutant Club #1492,Yellow,Zombie,Burning,Bloody,Grin,Chain,8,6,5
1493,Baby Ape Mutant Club #1493,Aqua,Green Tiger,none,Crying,Dumb,Fuzzy,7,5,7
1494,Baby Ape Mutant Club #1494,Yellow,Pink and Green,none,X ,Funnel,Rainbow,9,3,6
1495,Baby Ape Mutant Club #1495,Purple,Gold,Yellow jail,Strained,Stubble,Alien,3,3,7
1496,Baby Ape Mutant Club #1496,Grey,Red Leopard,Yellow jail,Stone,Worm,Dino,8,8,3
1497,Baby Ape Mutant Club #1497,Yellow,Blue Leopard ,none,X ,Grit,Krakken,5,7,9
1498,Baby Ape Mutant Club #1498,Purple,Pink and Green,Sailor Boy,Fish,Hungry,Alien,10,2,7
1499,Baby Ape Mutant Club #1499,Aqua,Static,Robe,Eye Patch,Rage,Brain,3,8,7
1500,Baby Ape Mutant Club #1500,Yellow,Red Leopard,none,Wide ,Hungry,Brain,6,2,7
1501,Baby Ape Mutant Club #1501,Grey,Pink and Green,Sailor,Eye Patch,Soda,Card,6,9,7
1502,Baby Ape Mutant Club #1502,Aqua,Zombie,Dr,Strained,stone,Captain,7,8,3
1503,Baby Ape Mutant Club #1503,Purple,Lava,Sailor,X ,Cheesy,Card,8,5,7
1504,Baby Ape Mutant Club #1504,Yellow,Zombie,none,Strained,Knife,Devil,3,3,8
1505,Baby Ape Mutant Club #1505,Aqua,Zombie,Tongue,Goggle,Dumb,Rainbow,3,5,1
1506,Baby Ape Mutant Club #1506,Blue,Pink and Green,none,Bloody,Stubble,Dino,4,6,5
1507,Baby Ape Mutant Club #1507,Aqua,Blue Leopard ,Leopard,Crying,Cheesy,Captain,7,7,6
1508,Baby Ape Mutant Club #1508,Yellow,Blue Leopard ,Sailor,Stone,Hungry,Devil,3,7,6
1509,Baby Ape Mutant Club #1509,Dark Blue,Blue Leopard ,none,Red,Funnel,Krakken,3,7,4
1510,Baby Ape Mutant Club #1510,Purple,Green Tiger,Yellow jail,Eye Patch,Hungry,Brain Party,4,1,2
1511,Baby Ape Mutant Club #1511,Yellow,Zombie,Yellow jail,3d,Grit,Rainbow,8,3,7
1512,Baby Ape Mutant Club #1512,Dark Blue,Skeleton,Sailor,Crying,Gem,Alien,5,8,6
1513,Baby Ape Mutant Club #1513,Blue,Blue Leopard ,none,Crying,Gem,none,10,2,5
1514,Baby Ape Mutant Club #1514,Blue,Zombie,none,Stone,Stoopid,Cowboy,7,2,3
1515,Baby Ape Mutant Club #1515,Aqua,Green Tiger,none,Goggle,Killer,Chain,2,8,1
1516,Baby Ape Mutant Club #1516,Orange,Skeleton,Sailor,Goggle,Killer,Dino,6,1,5
1517,Baby Ape Mutant Club #1517,Purple,Static,Tongue,Strained,Stoopid,Bunny,7,7,8
1518,Baby Ape Mutant Club #1518,Purple,Static,none,Red,Gem,Flying,8,4,3
1519,Baby Ape Mutant Club #1519,Grey,Zombie,none,Wide ,Stoopid,Ninja,7,5,5
1520,Baby Ape Mutant Club #1520,Purple,Lava,Tongue,Red,Killer,Krakken,6,7,9
1521,Baby Ape Mutant Club #1521,Blue,Green Tiger,Trippy suit,Crying,Stoopid,Brain Party,3,9,6
1522,Baby Ape Mutant Club #1522,Purple,Zombie,none,Stone,Grin,Rainbow,6,4,10
1523,Baby Ape Mutant Club #1523,Orange,Pink and Green,Burning,X ,stone,Fuzzy,2,8,8
1524,Baby Ape Mutant Club #1524,Yellow,Blue Leopard ,Space,Wide ,Stubble,Squid,7,6,10
1525,Baby Ape Mutant Club #1525,Yellow,Pink and Green,Robe,Strained,Worm,Chain,6,2,8
1526,Baby Ape Mutant Club #1526,Aqua,Skeleton,Robe,Fish,Soda,Fuzzy,6,6,7
1527,Baby Ape Mutant Club #1527,Yellow,Red Leopard,Sailor Boy,Red,Grit,Krakken,6,2,4
1528,Baby Ape Mutant Club #1528,Yellow,Zombie,Sailor,Red,Stoopid,none,3,4,6
1529,Baby Ape Mutant Club #1529,Orange,Pink and Green,Trippy suit,Stone,Dumb,Devil,7,5,7
1530,Baby Ape Mutant Club #1530,Purple,Blue Leopard ,none,Wide ,stone,none,6,6,10
1531,Baby Ape Mutant Club #1531,Aqua,Blue Leopard ,Sailor,Strained,Grin,Card,2,6,5
1532,Baby Ape Mutant Club #1532,Orange,Green Tiger,none,Red,Grit,Card,1,7,7
1533,Baby Ape Mutant Club #1533,Aqua,Zombie,none,X ,Rage,Brain Party,6,9,4
1534,Baby Ape Mutant Club #1534,Aqua,Pink and Green,Sailor,Wide ,Stubble,Fuzzy,9,3,6
1535,Baby Ape Mutant Club #1535,Orange,Pink and Green,Burning,Strained,stone,Brain Party,1,9,1
1536,Baby Ape Mutant Club #1536,Orange,Pink and Green,Sailor Boy,Stone,Soda,Brain Party,6,4,7
1537,Baby Ape Mutant Club #1537,Aqua,Blue Leopard ,Sailor,Red,stone,none,5,1,5
1538,Baby Ape Mutant Club #1538,Purple,Blue Leopard ,Cosmo,Eye Patch,Grin,Brain Party,7,8,2
1539,Baby Ape Mutant Club #1539,Orange,Red Leopard,none,Wide ,stone,none,2,5,3
1540,Baby Ape Mutant Club #1540,Dark Blue,Skeleton,Dr,Strained,Worm,Alien,3,6,6
1541,Baby Ape Mutant Club #1541,Blue,Zombie,none,Stone,Cheesy,Captain,4,3,7
1542,Baby Ape Mutant Club #1542,Aqua,Red Leopard,Dr,Strained,Stoopid,Ninja,1,5,3
1543,Baby Ape Mutant Club #1543,Yellow,Blue Leopard ,Burning,Red,stone,none,8,6,6
1544,Baby Ape Mutant Club #1544,Purple,Red Leopard,Cosmo,Strained,Grin,Alien,3,5,7
1545,Baby Ape Mutant Club #1545,Grey,Blue Leopard ,Yellow jail,Goggle,Hungry,Fuzzy,3,5,7
1546,Baby Ape Mutant Club #1546,Purple,Blue Leopard ,Dr,Bloody,Cheesy,Sailor,8,4,2
1547,Baby Ape Mutant Club #1547,Purple,Red Leopard,Tongue,Strained,Worm,none,1,6,8
1548,Baby Ape Mutant Club #1548,Yellow,Pink and Green,none,Red,Gem,none,5,7,6
1549,Baby Ape Mutant Club #1549,Blue,Pink and Green,Senator,Eye Patch,Dumb,Alien,3,3,6
1550,Baby Ape Mutant Club #1550,Grey,Lava,Sailor Boy,Crying,Rage,Cowboy,2,7,4
1551,Baby Ape Mutant Club #1551,Aqua,Zombie,none,Eye Patch,Funnel,Daredevil,10,4,4
1552,Baby Ape Mutant Club #1552,Orange,Blue Leopard ,Tongue,Stone,stone,Rainbow,7,9,3
1553,Baby Ape Mutant Club #1553,Blue,Lava,Dr,Bloody,Stoopid,Rainbow,1,5,5
1554,Baby Ape Mutant Club #1554,Aqua,Zebra,Senator,Stone,Worm,Card,7,2,4
1555,Baby Ape Mutant Club #1555,Aqua,Pink and Green,Robe,Crying,Grit,Squid,6,7,5
1556,Baby Ape Mutant Club #1556,Aqua,Lava,Trippy suit,Eye Patch,Worm,none,10,10,2
1557,Baby Ape Mutant Club #1557,Grey,Pink and Green,Dr,Fish,Soda,none,7,7,6
1558,Baby Ape Mutant Club #1558,Yellow,Zombie,Space,Wide ,Stubble,Alien,6,4,1
1559,Baby Ape Mutant Club #1559,Purple,Lava,Space,Crying,Grin,Flying,8,3,6
1560,Baby Ape Mutant Club #1560,Yellow,Green Tiger,Yellow jail,Red,Stubble,none,8,4,5
1561,Baby Ape Mutant Club #1561,Orange,Blue Leopard ,Yellow jail,Eye Patch,Killer,Brain Party,2,3,1
1562,Baby Ape Mutant Club #1562,Grey,Skeleton,none,Goggle,Hungry,Alien,5,5,4
1563,Baby Ape Mutant Club #1563,Blue,Pink and Green,Tongue,Fish,Worm,Dino,6,4,3
1564,Baby Ape Mutant Club #1564,Purple,Pink and Green,Sailor Boy,Wide ,Soda,Captain,2,3,5
1565,Baby Ape Mutant Club #1565,Dark Blue,Lava,Trippy friend,Red,Killer,Chain,7,1,1
1566,Baby Ape Mutant Club #1566,Orange,Zombie,Yellow jail,Stone,Gold,Devil,2,6,5
1567,Baby Ape Mutant Club #1567,Orange,Red Leopard,Dr,Wide ,Cheesy,Card,2,4,5
1568,Baby Ape Mutant Club #1568,Aqua,Lava,Dr,Strained,Stubble,Dino,7,5,7
1569,Baby Ape Mutant Club #1569,Blue,Zombie,Burning,Wide ,Cheesy,Ninja,4,7,10
1570,Baby Ape Mutant Club #1570,Grey,Green Tiger,Space,X ,Knife,none,6,4,4
1571,Baby Ape Mutant Club #1571,Purple,Lava,Sailor,Red,Stoopid,Flying,4,8,4
1572,Baby Ape Mutant Club #1572,Blue,Pink and Green,Dr,Red,Snarl,Chain,4,5,6
1573,Baby Ape Mutant Club #1573,Yellow,Skeleton,Burning,Red,stone,Brain Party,6,3,7
1574,Baby Ape Mutant Club #1574,Grey,Blue Leopard ,Robe,Strained,Stoopid,Krakken,7,7,8
1575,Baby Ape Mutant Club #1575,Purple,Lava,none,Strained,Grin,Rainbow,2,7,6
1576,Baby Ape Mutant Club #1576,Blue,Pink and Green,none,Strained,Dumb,Brain,9,4,3
1577,Baby Ape Mutant Club #1577,Aqua,Zombie,none,X ,Soda,Rainbow,5,4,2
1578,Baby Ape Mutant Club #1578,Purple,Green Tiger,Dr,Wide ,Hungry,Flying,10,7,4
1579,Baby Ape Mutant Club #1579,Purple,Lava,none,Eye Patch,Worm,Captain,5,7,6
1580,Baby Ape Mutant Club #1580,Grey,Red Leopard,Sailor,Crying,Stoopid,Devil,2,4,7
1581,Baby Ape Mutant Club #1581,Dark Blue,Red Leopard,none,Bug,Rage,Fuzzy,10,8,7
1582,Baby Ape Mutant Club #1582,Dark Blue,Zombie,none,Strained,Hungry,Ninja,6,5,2
1583,Baby Ape Mutant Club #1583,Dark Blue,Blue Leopard ,Tongue,Stone,Snarl,Alien,6,7,8
1584,Baby Ape Mutant Club #1584,Dark Blue,Skeleton,Robe,Strained,Stoopid,Brain,6,5,6
1585,Baby Ape Mutant Club #1585,Dark Blue,Pink and Green,Dr,Bloody,Grin,none,2,3,4
1586,Baby Ape Mutant Club #1586,Orange,Lava,none,Crying,Stubble,Brain,1,6,9
1587,Baby Ape Mutant Club #1587,Dark Blue,Zombie,Yellow jail,Wide ,Stoopid,Bunny,8,7,7
1588,Baby Ape Mutant Club #1588,Dark Blue,Red Leopard,Space,Wide ,Grin,Sailor,6,10,7
1589,Baby Ape Mutant Club #1589,Purple,Green Tiger,Tongue,X ,stone,Rainbow,7,2,6
1590,Baby Ape Mutant Club #1590,Grey,Blue Leopard ,Robe,Wide ,Grin,Dino,4,2,3
1591,Baby Ape Mutant Club #1591,Purple,Zombie,Space,Stone,Hungry,Rainbow,9,9,3
1592,Baby Ape Mutant Club #1592,Blue,Zebra,Sailor Boy,Crying,Funnel,Cowboy,10,7,1
1593,Baby Ape Mutant Club #1593,Grey,Zombie,Burning,Goggle,Worm,Krakken,8,4,6
1594,Baby Ape Mutant Club #1594,Yellow,Skeleton,none,Eye Patch,Grin,none,3,4,6
1595,Baby Ape Mutant Club #1595,Yellow,Green Tiger,none,Wide ,Grin,Dino,8,6,3
1596,Baby Ape Mutant Club #1596,Grey,Zombie,Cosmo,Eye Patch,Hungry,Rainbow,4,4,6
1597,Baby Ape Mutant Club #1597,Orange,Green Tiger,Space,Bloody,Hungry,none,3,4,7
1598,Baby Ape Mutant Club #1598,Orange,Zombie,none,Fish,Worm,Daredevil,10,8,6
1599,Baby Ape Mutant Club #1599,Purple,Zombie,Leopard,Bloody,Worm,none,6,4,3
1600,Baby Ape Mutant Club #1600,Grey,Green Tiger,Sailor,Wide ,Cheesy,none,7,6,2
1601,Baby Ape Mutant Club #1601,Orange,Lava,none,Goggle,Soda,Ninja,8,6,6
1602,Baby Ape Mutant Club #1602,Aqua,Pink and Green,Senator,Crying,Rage,Rainbow,7,6,5
1603,Baby Ape Mutant Club #1603,Dark Blue,Red Leopard,none,Red,Cheesy,Bunny,7,2,1
1604,Baby Ape Mutant Club #1604,Orange,Red Leopard,Dr,Wide ,Grit,none,3,4,4
1605,Baby Ape Mutant Club #1605,Orange,Zombie,Robe,Bloody,Grin,Squid,5,9,4
1606,Baby Ape Mutant Club #1606,Aqua,Pink and Green,Robe,Strained,Worm,Card,6,4,10
1607,Baby Ape Mutant Club #1607,Blue,Zombie,none,Fish,Hungry,Trippy,10,3,3
1608,Baby Ape Mutant Club #1608,Orange,Zebra,Sailor Boy,Stone,Worm,Rainbow,6,4,6
1609,Baby Ape Mutant Club #1609,Grey,Blue Leopard ,none,Wide ,Worm,Card,3,6,7
1610,Baby Ape Mutant Club #1610,Aqua,Blue Leopard ,Yellow jail,Wide ,Stoopid,Brain,3,6,7
1611,Baby Ape Mutant Club #1611,Blue,Pink and Green,Burning,Goggle,Gem,none,3,4,4
1612,Baby Ape Mutant Club #1612,Orange,Red Leopard,none,Stone,Hungry,Rainbow,10,10,4
1613,Baby Ape Mutant Club #1613,Purple,Zombie,none,Eye Patch,Dumb,Chain,5,5,3
1614,Baby Ape Mutant Club #1614,Orange,Green Tiger,Cosmo,Bloody,Knife,Devil,5,2,7
1615,Baby Ape Mutant Club #1615,Yellow,Zebra,Yellow jail,Red,Hungry,none,7,8,6
1616,Baby Ape Mutant Club #1616,Dark Blue,Blue Leopard ,none,Bug,Funnel,Captain,7,6,1
1617,Baby Ape Mutant Club #1617,Orange,Zombie,Tongue,X ,Gem,Alien,1,7,1
1618,Baby Ape Mutant Club #1618,Yellow,Gold,Sailor,X ,Knife,none,5,8,7
1619,Baby Ape Mutant Club #1619,Purple,Skeleton,none,Bloody,stone,Daredevil,5,7,4
1620,Baby Ape Mutant Club #1620,Purple,Lava,none,Bug,Grin,Chain,8,10,4
1621,Baby Ape Mutant Club #1621,Purple,Lava,Sailor,Goggle,Stubble,none,7,7,4
1622,Baby Ape Mutant Club #1622,Yellow,Skeleton,Burning,Strained,Funnel,Devil,9,5,5
1623,Baby Ape Mutant Club #1623,Purple,Zombie,none,Bloody,Dumb,Krakken,5,3,8
1624,Baby Ape Mutant Club #1624,Aqua,Zombie,none,Strained,Hungry,none,6,3,5
1625,Baby Ape Mutant Club #1625,Purple,Zombie,Burning,Eye Patch,Stubble,Captain,6,2,9
1626,Baby Ape Mutant Club #1626,Purple,Zombie,none,X ,Grit,Captain,8,6,1
1627,Baby Ape Mutant Club #1627,Purple,Zombie,Sailor,Bloody,Rage,Krakken,6,4,3
1628,Baby Ape Mutant Club #1628,Orange,Static,none,Crying,Funnel,Ninja,6,6,5
1629,Baby Ape Mutant Club #1629,Aqua,Red Leopard,Burning,X ,Gem,Rainbow,4,2,3
1630,Baby Ape Mutant Club #1630,Orange,Red Leopard,Dr,Stone,Stoopid,Cowboy,5,3,8
1631,Baby Ape Mutant Club #1631,Orange,Green Tiger,Robe,Fish,Grit,Alien,1,6,2
1632,Baby Ape Mutant Club #1632,Grey,Red Leopard,Burning,Bloody,Killer,Rainbow,8,9,6
1633,Baby Ape Mutant Club #1633,Aqua,Pink and Green,Sailor,Eye Patch,Gem,Alien,9,10,6
1634,Baby Ape Mutant Club #1634,Blue,Zombie,Tongue,Bloody,Stubble,Sailor,6,7,3
1635,Baby Ape Mutant Club #1635,Yellow,Red Leopard,Cosmo,Wide ,Hungry,Bunny,6,6,5
