TOKEN_ID,TOKEN_NAME,Background,Eye,Fur,Eyewear,Tail,Object,Shirt,Hands,Hat,Expression,1-of-1,Special
478,Hungry Wolves 478,24K,Yellow,Camo,None,Muddy,New Whip,Headphones,Ruby Nails,Gold Earring,Evil,,
479,Hungry Wolves 479,Grey Concrete,Blue,Bronze,None,Snow Covered,Pile of Gems,Hoodie,Rainbow Nails,Halo,Angry,,
480,Hungry Wolves 480,Graffiti,Cyborg,Brown,None,Paper Crown,Boulder,Banana T-Shirt,Bloody Nails,Gold Earring,Calm,,
481,Hungry Wolves 481,24K,Yellow,Red,None,Muddy,Bricks,Tie-Dye Shirt,Glowing Nails,Mohawk,Angry,,
482,Hungry Wolves 482,Grey Concrete,Yellow,Rainbow,None,Muddy,Trash Can,Green Basketball Jersey,Muddy Paws,Flipped Brim,Sad,,
483,Hungry Wolves 483,Blue Concrete,Blue,Camo,None,None,Trash Can,None,Handcuffs,Pirate Hat,Calm,,
484,Hungry Wolves 484,Blood Spattered,Yellow,Glowing,None,None,New Whip,Pack Chain,Gold Bracelet,None,Calm,,
485,Hungry Wolves 485,24K,Gold,Glowing,None,Frozen,Trash Can,Bowtie,Gold Bracelet,Mohawk,Silly,,
486,Hungry Wolves 486,Pink Concrete,Yellow,Grey,None,None,Trash Can,Bowtie,Bloody Nails,Crown,Excited,,
487,Hungry Wolves 487,Grey Concrete,Yellow,Clay,None,None,Trash Can,Banana T-Shirt,Ruby Nails,Captain's Hat,Calm,,
488,Hungry Wolves 488,Pink Concrete,Blue,Arctic,None,Gold Piercing,Throne,Black T-Shirt,Gold Bracelet,None,Calm,,
489,Hungry Wolves 489,Blue Concrete,Blue,Glowing,None,None,New Whip,Black T-Shirt,Gold Nails,Paper Crown,Calm,,
490,Hungry Wolves 490,Graffiti,Gold,Clay,None,Snow Covered,Trash Can,None,Ruby Nails,Halo,Calm,,
491,Hungry Wolves 491,Blue Concrete,Blue,Grey,None,None,Trash Can,Yellow Basketball Jersey,Rainbow Nails,Devil Horns,Hungry,,
492,Hungry Wolves 492,Blue Concrete,Cyborg,Zombie,None,Muddy,Guitar Amp,Green Basketball Jersey,Handcuffs,Devil Horns,Excited,,
493,Hungry Wolves 493,Rave,No Pupils,Golden,None,None,Trash Can,Biker Vest,Ruby Nails,None,Calm,,
494,Hungry Wolves 494,Blood Spattered,Yellow,Hay,None,None,Guitar Amp,None,Onyx Nails,Pirate Hat,Silly,,
495,Hungry Wolves 495,Graffiti,Cat Eyes,Zombie,None,Wood,Trash Can,Headphones,Mechanical Hand,Captain's Hat,Calm,,
496,Hungry Wolves 496,Magma,Blue,Bronze,None,Snow Covered,Boulder,None,Onyx Nails,Straw Hat,Calm,,
497,Hungry Wolves 497,Grey Concrete,Yellow,Red,None,Muddy,Trash Can,Hawaiian,Gold Nails,Mohawk,Sad,,
498,Hungry Wolves 498,Graffiti,Blue,Blue,None,None,Trash Can,Yellow Basketball Jersey,Brass Knuckles,Mohawk,Angry,,
499,Hungry Wolves 499,Green Concrete,Blue,Arctic,None,Muddy,Trash Can,Bowtie,Gold Bracelet,None,Hungry,,
500,Hungry Wolves 500,Green Concrete,Blue,Arctic,None,None,Pile of Bananas,Hoodie,Ruby Nails,Crown,Evil,,
501,Hungry Wolves 501,Graffiti,Blue,Bronze,None,Gold Piercing,Trash Can,Yellow Basketball Jersey,Muddy Paws,Paper Crown,Silly,,
502,Hungry Wolves 502,Grey Concrete,Gold,Glowing,None,None,Bricks,Yellow Basketball Jersey,Party Nail,Red Bandana,Sad,,
503,Hungry Wolves 503,Grey Concrete,Blue,Brown,None,Frozen,New Whip,Robot Armor,Party Nail,None,Hungry,,
504,Hungry Wolves 504,Green Concrete,Blue,Grey,None,Muddy,Throne,Biker Vest,Onyx Nails,Santa Hat,Evil,,
505,Hungry Wolves 505,Hellfire,Blue,Clay,None,Paper Crown,Pile of Bananas,Overalls,Gold Bracelet,Santa Hat,Calm,,
506,Hungry Wolves 506,Green Concrete,Blue,Glowing,None,None,Ice,Hoodie,Biker Gloves,Party Hat,Silly,,
507,Hungry Wolves 507,Wolf Den,Yellow,Zombie,None,None,Pile of Bananas,Yellow Basketball Jersey,Biker Gloves,Straw Hat,Evil,,
508,Hungry Wolves 508,Grey Concrete,Blue,Arctic,None,Paper Crown,Hay,Pack Chain,Bloody Nails,Beanie,Angry,,
509,Hungry Wolves 509,Graffiti,Gold,Night,None,Muddy,Ice,Ripped White T-Shirt,Biker Gloves,Black Bandana,Calm,,
510,Hungry Wolves 510,24K,Cyborg,Brown,None,Muddy,Pile of Money,Pack Chain,Gold Nails,Halo,Sad,,
511,Hungry Wolves 511,24K,Yellow,Clay,None,None,Boulder,Blue Soccer Jersey,Mechanical Hand,Devil Horns,Calm,,
512,Hungry Wolves 512,Green Concrete,No Pupils,Night,None,Snow Covered,Trash Can,Hawaiian,Gold Bracelet,None,Excited,,
513,Hungry Wolves 513,Grey Concrete,Gold,Grey,None,Gold Piercing,Trash Can,Green Basketball Jersey,Gold Nails,Wizard Hat,Sad,,
514,Hungry Wolves 514,Magma,Bloodshot,Brown,None,Muddy,Boulder,None,Muddy Paws,Beanie,Hungry,,
515,Hungry Wolves 515,Grey Concrete,Yellow,Clay,None,Snow Covered,Old Stereos,Ripped White T-Shirt,Rainbow Nails,Red Bandana,Sad,,
516,Hungry Wolves 516,24K,Blue,Bronze,None,None,Boulder,Blue Soccer Jersey,Muddy Paws,Beanie,Excited,,
517,Hungry Wolves 517,Graffiti,Gold,Glowing,None,Frozen,Old Stereos,Headphones,Gold Bracelet,Black Bandana,Hungry,,
518,Hungry Wolves 518,Hellfire,Blue,Arctic,None,Muddy,Barbed Wire Fence,Yellow Basketball Jersey,Gold Bracelet,Beanie,Angry,,
519,Hungry Wolves 519,Blue Concrete,Cyborg,Glowing,None,Gold Piercing,Trash Can,None,Rainbow Nails,Gold Earring,Hungry,,
520,Hungry Wolves 520,Blue Concrete,Gold,Glowing,None,Muddy,Pile of Money,Pack Chain,Mechanical Hand,Red Bandana,Calm,,
521,Hungry Wolves 521,Grey Concrete,No Pupils,Glowing,None,Snow Covered,Guitar Amp,Black T-Shirt,Bloody Nails,Straw Hat,Evil,,
522,Hungry Wolves 522,Blood Spattered,Blue,Arctic,None,None,Pile of Bananas,Bowtie,Bloody Nails,None,Hungry,,
523,Hungry Wolves 523,Graffiti,Blue,Night,None,Muddy,Barbed Wire Fence,Yellow Basketball Jersey,Gold Nails,Captain's Hat,Sad,,
524,Hungry Wolves 524,24K,Bloodshot,Glowing,None,Gold Piercing,Trash Can,Biker Vest,Mechanical Hand,Gold Earring,Evil,,
525,Hungry Wolves 525,Blood Spattered,Blue,Arctic,None,Snow Covered,Boulder,None,Gold Nails,Crown,Silly,,
526,Hungry Wolves 526,Magma,Blue,Red,None,Gold Piercing,New Whip,Headphones,Bloody Nails,Captain's Hat,Calm,,
527,Hungry Wolves 527,Hellfire,Blue,Hay,None,Paper Crown,Boulder,None,Biker Gloves,Halo,Calm,,
528,Hungry Wolves 528,Rainbow Shine,Blue,Zombie,None,None,Trash Can,Tie-Dye Shirt,Handcuffs,Paper Crown,Sad,,
529,Hungry Wolves 529,Pink Concrete,Bloodshot,Grey,None,Muddy,Pile of Gems,Pack Chain,Rainbow Nails,Gold Earring,Hungry,,
530,Hungry Wolves 530,Rainbow Shine,Blue,Rainbow,None,Snow Covered,Pile of Bananas,Bowtie,Brass Knuckles,Gold Earring,Calm,,
531,Hungry Wolves 531,Green Concrete,Yellow,Arctic,None,Gold Piercing,Trash Can,Blue Soccer Jersey,Muddy Paws,Top Hat,Evil,,
532,Hungry Wolves 532,Blue Concrete,Blue,Zombie,None,Muddy,Guitar Amp,Banana T-Shirt,Party Nail,Mohawk,Sad,,
533,Hungry Wolves 533,Grey Concrete,Cat Eyes,Red,None,Muddy,Bricks,Biker Vest,Mechanical Hand,Captain's Hat,Angry,,
534,Hungry Wolves 534,Grey Concrete,Cyborg,Golden,None,None,Boulder,Biker Vest,Gold Nails,None,Hungry,,
535,Hungry Wolves 535,Grey Concrete,Blue,Grey,None,Snow Covered,Barbed Wire Fence,Pack Chain,Mechanical Hand,Black Bandana,Evil,,
536,Hungry Wolves 536,Magma,Bloodshot,Clay,None,None,Pile of Gems,None,Gold Nails,Santa Hat,Sad,,
537,Hungry Wolves 537,Blood Spattered,No Pupils,Bronze,None,None,Trash Can,Green Basketball Jersey,Bloody Nails,Halo,Calm,,
538,Hungry Wolves 538,Blue Concrete,Gold,Arctic,None,Snow Covered,Trash Can,Green Basketball Jersey,Rainbow Nails,Straw Hat,Calm,,
539,Hungry Wolves 539,Grey Concrete,Cyborg,Glowing,None,None,Ice,Wool Sweater,Bloody Nails,None,Evil,,
540,Hungry Wolves 540,Blood Spattered,Cat Eyes,Camo,None,Gold Piercing,New Whip,Banana T-Shirt,Muddy Paws,Halo,Angry,,
541,Hungry Wolves 541,Blue Concrete,Blue,Glowing,None,Paper Crown,Trash Can,Headphones,Biker Gloves,Mohawk,Excited,,
542,Hungry Wolves 542,Wolf Den,Cat Eyes,Glowing,None,Muddy,Pile of Gems,None,Party Nail,Top Hat,Silly,,
543,Hungry Wolves 543,Forest,Cat Eyes,Glowing,None,Snow Covered,Trash Can,Banana T-Shirt,Gold Bracelet,Black Bandana,Silly,,
544,Hungry Wolves 544,Green Concrete,Bloodshot,Blue,None,None,Bricks,None,Rainbow Nails,None,Calm,,
545,Hungry Wolves 545,Magma,Blue,Golden,None,Glowing,Trash Can,Bowtie,Handcuffs,None,Angry,,
546,Hungry Wolves 546,Pink Concrete,Blue,Arctic,None,Wood,Pile of Gems,Bowtie,Glowing Nails,Party Hat,Silly,,
547,Hungry Wolves 547,Pink Concrete,Blue,Bronze,None,Muddy,Pile of Bananas,Black T-Shirt,Gold Nails,Paper Crown,Calm,,
548,Hungry Wolves 548,Underwater,Cat Eyes,Arctic,None,Muddy,Throne,None,Bloody Nails,None,Excited,,
549,Hungry Wolves 549,Graffiti,Blue,Bronze,None,Bear Trap,Pile of Money,Headphones,Gold Bracelet,Gold Earring,Silly,,
550,Hungry Wolves 550,Grey Concrete,Bloodshot,Brown,None,Snow Covered,Trash Can,Ripped White T-Shirt,Muddy Paws,Straw Hat,Excited,,
551,Hungry Wolves 551,Rainbow Shine,No Pupils,Zombie,None,Paper Crown,Hay,Hawaiian,Onyx Nails,Santa Hat,Silly,,
552,Hungry Wolves 552,Green Concrete,Blue,Camo,None,None,Pile of Bananas,Ripped White T-Shirt,Mechanical Hand,Captain's Hat,Angry,,
553,Hungry Wolves 553,Blue Concrete,Blue,Arctic,None,Muddy,Trash Can,Hawaiian,Party Nail,Red Bandana,Excited,,
554,Hungry Wolves 554,Blood Spattered,Cat Eyes,Brown,None,None,Ice,Yellow Basketball Jersey,Onyx Nails,Pirate Hat,Excited,,
555,Hungry Wolves 555,Pink Concrete,Blue,Clay,None,None,New Whip,Banana T-Shirt,Rainbow Nails,None,Excited,,
556,Hungry Wolves 556,Graffiti,Gold,Bronze,None,Hay,Ice,Hoodie,Onyx Nails,Straw Hat,Excited,,
557,Hungry Wolves 557,Underwater,Cyborg,Arctic,None,None,Boulder,Yellow Basketball Jersey,Onyx Nails,None,Calm,,
558,Hungry Wolves 558,Wolf Den,Yellow,Brown,None,Paper Crown,Guitar Amp,Pack Chain,Biker Gloves,Mohawk,Calm,,
559,Hungry Wolves 559,Grey Concrete,Gold,Arctic,None,Gold Piercing,Pile of Gems,Yellow Basketball Jersey,Bloody Nails,Gold Earring,Excited,,
560,Hungry Wolves 560,24K,Blue,Brown,None,Bear Trap,Boulder,Overalls,Party Nail,Straw Hat,Evil,,
561,Hungry Wolves 561,Blue Concrete,Blue,Night,None,Glowing,Trash Can,Green Basketball Jersey,Ruby Nails,None,Angry,,
562,Hungry Wolves 562,Rainbow Shine,Yellow,Grey,None,None,Trash Can,Robot Armor,Gold Nails,Beanie,Sad,,
563,Hungry Wolves 563,Grey Concrete,Blue,Brown,None,None,Trash Can,Headphones,Mechanical Hand,None,Evil,,
564,Hungry Wolves 564,24K,Gold,Rainbow,None,Muddy,Trash Can,Blue Soccer Jersey,Glowing Nails,Beanie,Calm,,
565,Hungry Wolves 565,Graffiti,Cat Eyes,Grey,None,Muddy,New Whip,Bowtie,Rainbow Nails,None,Sad,,
566,Hungry Wolves 566,Green Concrete,Cat Eyes,Arctic,None,None,Guitar Amp,Blue Soccer Jersey,Gold Nails,Flipped Brim,Calm,,
567,Hungry Wolves 567,Magma,Blue,Brown,None,None,Boulder,None,Mechanical Hand,Gold Earring,Angry,,
568,Hungry Wolves 568,Blue Concrete,Cyborg,Blue,None,Bear Trap,Barbed Wire Fence,None,Glowing Nails,Mohawk,Excited,,
569,Hungry Wolves 569,Blood Spattered,Cyborg,Grey,None,Frozen,Pile of Bananas,Bowtie,Muddy Paws,Captain's Hat,Silly,,
570,Hungry Wolves 570,Grey Concrete,Gold,Rainbow,None,None,Trash Can,Ripped White T-Shirt,Gold Bracelet,Captain's Hat,Excited,,
571,Hungry Wolves 571,Rainbow Shine,Yellow,Brown,None,Snow Covered,Bricks,Banana T-Shirt,Muddy Paws,Cowboy,Silly,,
572,Hungry Wolves 572,Blood Spattered,Blue,Blue,None,Gold Piercing,Hay,Yellow Basketball Jersey,Gold Bracelet,Halo,Excited,,
573,Hungry Wolves 573,Blue Concrete,Blue,Bronze,None,Snow Covered,Bricks,Pack Chain,Handcuffs,Captain's Hat,Sad,,
574,Hungry Wolves 574,Hellfire,Cyborg,Camo,None,Bear Trap,Hay,Wool Sweater,Party Nail,Red Bandana,Calm,,
575,Hungry Wolves 575,Graffiti,Gold,Blue,None,Muddy,Pile of Bananas,None,Party Nail,Wizard Hat,Calm,,
576,Hungry Wolves 576,Blue Concrete,Yellow,Hay,None,None,Bricks,Pack Chain,Ruby Nails,Santa Hat,Angry,,
577,Hungry Wolves 577,Blue Concrete,Gold,Hay,None,Snow Covered,Pile of Bananas,Pack Chain,Biker Gloves,Mohawk,Sad,,
578,Hungry Wolves 578,Grey Concrete,Cat Eyes,Zombie,None,Frozen,Pile of Bananas,None,Mechanical Hand,Santa Hat,Hungry,,
579,Hungry Wolves 579,Blue Concrete,No Pupils,Arctic,None,None,Trash Can,Ripped White T-Shirt,Muddy Paws,Gold Earring,Calm,,
580,Hungry Wolves 580,Green Concrete,Yellow,Bronze,None,Frozen,Trash Can,Green Basketball Jersey,Mechanical Hand,Pirate Hat,Calm,,
581,Hungry Wolves 581,Blue Concrete,Blue,Camo,None,None,New Whip,None,Rainbow Nails,Pirate Hat,Calm,,
582,Hungry Wolves 582,Underwater,Cyborg,Clay,None,Bear Trap,Trash Can,None,Mechanical Hand,None,Hungry,,
583,Hungry Wolves 583,Blood Spattered,Gold,Red,None,Muddy,Pile of Bananas,None,Muddy Paws,Wizard Hat,Silly,,
584,Hungry Wolves 584,24K,Gold,Golden,None,Muddy,Hay,None,Bloody Nails,Party Hat,Sad,,
585,Hungry Wolves 585,Green Concrete,Blue,Zombie,None,Muddy,Trash Can,None,Party Nail,Flipped Brim,Silly,,
586,Hungry Wolves 586,Blue Concrete,Gold,Blue,None,Muddy,Pile of Bananas,Ripped White T-Shirt,Brass Knuckles,Halo,Evil,,
587,Hungry Wolves 587,Pink Concrete,Blue,Zombie,None,Paper Crown,New Whip,Pack Chain,Ruby Nails,Party Hat,Excited,,
588,Hungry Wolves 588,Blue Concrete,Blue,Blue,None,None,Trash Can,Bowtie,Muddy Paws,Halo,Calm,,
589,Hungry Wolves 589,Grey Concrete,Yellow,Brown,None,None,Boulder,Bowtie,Ruby Nails,Devil Horns,Angry,,
590,Hungry Wolves 590,Grey Concrete,Bloodshot,Arctic,None,None,Old Stereos,Blue Soccer Jersey,Ruby Nails,Paper Crown,Sad,,
591,Hungry Wolves 591,Graffiti,Yellow,Hay,None,None,New Whip,Headphones,Rainbow Nails,Mohawk,Excited,,
592,Hungry Wolves 592,Blood Spattered,No Pupils,Brown,None,Snow Covered,Trash Can,Black T-Shirt,Mechanical Hand,Captain's Hat,Angry,,
593,Hungry Wolves 593,Forest,Blue,Camo,None,None,Bricks,Blue Soccer Jersey,Gold Nails,None,Angry,,
594,Hungry Wolves 594,Blue Concrete,Blue,Grey,None,Muddy,Old Stereos,Banana T-Shirt,Rainbow Nails,Top Hat,Excited,,
595,Hungry Wolves 595,24K,Blue,Grey,Lasers,Muddy,Pile of Money,Headphones,Gold Nails,Pirate Hat,Sad,,
596,Hungry Wolves 596,24K,Blue,Blue,None,None,New Whip,Banana T-Shirt,Rainbow Nails,Pirate Hat,Angry,,
597,Hungry Wolves 597,Underwater,Gold,Clay,None,None,New Whip,Yellow Basketball Jersey,Party Nail,Devil Horns,Calm,,
598,Hungry Wolves 598,Green Concrete,Gold,Hay,None,Paper Crown,Trash Can,Black T-Shirt,Gold Nails,Captain's Hat,Sad,,
599,Hungry Wolves 599,Pink Concrete,Cat Eyes,Glowing,None,Snow Covered,New Whip,Black T-Shirt,Bloody Nails,None,Silly,,
600,Hungry Wolves 600,Green Concrete,Blue,Red,None,Muddy,Bricks,Pack Chain,Gold Nails,Black Bandana,Excited,,
601,Hungry Wolves 601,Pink Concrete,Gold,Rainbow,None,Muddy,Ice,Headphones,Handcuffs,Captain's Hat,Excited,,
602,Hungry Wolves 602,Graffiti,Gold,Bronze,None,None,Boulder,Black T-Shirt,Onyx Nails,Devil Horns,Evil,,
603,Hungry Wolves 603,Green Concrete,Cat Eyes,Rainbow,None,None,Pile of Bananas,Pack Chain,Handcuffs,Beanie,Calm,,
604,Hungry Wolves 604,Green Concrete,Yellow,Golden,None,Frozen,Ice,Banana T-Shirt,Muddy Paws,Pirate Hat,Silly,,
605,Hungry Wolves 605,Grey Concrete,Cat Eyes,Bronze,None,None,Pile of Bananas,None,Gold Bracelet,Paper Crown,Calm,,
606,Hungry Wolves 606,Green Concrete,Blue,Glowing,None,Muddy,Barbed Wire Fence,Overalls,Champ Ring,Cowboy,Silly,,
607,Hungry Wolves 607,Green Concrete,Blue,Glowing,None,Gold Piercing,Hay,Bowtie,Brass Knuckles,Wizard Hat,Calm,,
608,Hungry Wolves 608,Grey Concrete,Cat Eyes,Arctic,None,Muddy,Bricks,Ripped White T-Shirt,Muddy Paws,Mohawk,Silly,,
609,Hungry Wolves 609,Hellfire,Blue,Camo,None,None,Pile of Gems,Banana T-Shirt,Onyx Nails,Wizard Hat,Sad,,
610,Hungry Wolves 610,Grey Concrete,Cat Eyes,Bronze,None,None,Guitar Amp,None,Handcuffs,None,Calm,,
611,Hungry Wolves 611,Pink Concrete,Yellow,Glowing,None,Muddy,Trash Can,Blue Soccer Jersey,Brass Knuckles,Flipped Brim,Calm,,
612,Hungry Wolves 612,Blue Concrete,Cyborg,Grey,None,None,Trash Can,None,Onyx Nails,Top Hat,Calm,,
613,Hungry Wolves 613,Rainbow Shine,Bloodshot,Night,None,Snow Covered,Throne,Green Basketball Jersey,Glowing Nails,Cowboy,Sad,,
614,Hungry Wolves 614,Blue Concrete,Blue,Grey,None,Muddy,New Whip,Hawaiian,Party Nail,Beanie,Sad,,
615,Hungry Wolves 615,Forest,Bloodshot,Brown,None,None,Pile of Gems,Black T-Shirt,Gold Nails,Pirate Hat,Calm,,
616,Hungry Wolves 616,Grey Concrete,Cat Eyes,Grey,None,None,Bricks,None,Glowing Nails,Wizard Hat,Excited,,
617,Hungry Wolves 617,Ice,Blue,Zombie,None,Gold Piercing,Trash Can,Ripped White T-Shirt,Party Nail,Pirate Hat,Silly,,
618,Hungry Wolves 618,Pink Concrete,Blue,Glowing,None,Paper Crown,Trash Can,Robot Armor,Gold Bracelet,Devil Horns,Sad,,
619,Hungry Wolves 619,24K,Cat Eyes,Glowing,None,None,Trash Can,None,Party Nail,Devil Horns,Excited,,
620,Hungry Wolves 620,Wolf Den,Cat Eyes,Brown,None,None,Hay,Yellow Basketball Jersey,Muddy Paws,Paper Crown,Angry,,
621,Hungry Wolves 621,Ice,Cat Eyes,Golden,None,Paper Crown,Throne,Yellow Basketball Jersey,Handcuffs,Mohawk,Excited,,
622,Hungry Wolves 622,Rave,Gold,Golden,None,Muddy,Ice,Pack Chain,Ruby Nails,Mohawk,Angry,,
623,Hungry Wolves 623,Blue Concrete,Yellow,Arctic,None,None,Throne,None,Bloody Nails,Top Hat,Angry,,
624,Hungry Wolves 624,Blue Concrete,Blue,Blue,None,None,Boulder,Ripped White T-Shirt,Gold Nails,Mohawk,Excited,,
625,Hungry Wolves 625,Pink Concrete,Blue,Camo,Monocle,Muddy,New Whip,Headphones,Brass Knuckles,Party Hat,Angry,,
626,Hungry Wolves 626,Rainbow Shine,Blue,Zombie,None,Wood,Trash Can,Blue Soccer Jersey,Gold Bracelet,Party Hat,Silly,,
627,Hungry Wolves 627,Blue Concrete,Bloodshot,Camo,None,Frozen,Barbed Wire Fence,Headphones,Bloody Nails,Party Hat,Excited,,
628,Hungry Wolves 628,Blue Concrete,Blue,Rainbow,None,Paper Crown,Ice,Blue Soccer Jersey,Gold Bracelet,Top Hat,Silly,,
629,Hungry Wolves 629,24K,Cyborg,Arctic,None,Snow Covered,Old Stereos,Black T-Shirt,Muddy Paws,Gold Earring,Excited,,
630,Hungry Wolves 630,Grey Concrete,Cyborg,Rainbow,None,Gold Piercing,Pile of Gems,Ripped White T-Shirt,Party Nail,None,Calm,,
631,Hungry Wolves 631,Blood Spattered,Blue,Blue,None,Bear Trap,Trash Can,Banana T-Shirt,Gold Nails,Straw Hat,Hungry,,
632,Hungry Wolves 632,Blue Concrete,Cat Eyes,Blue,None,None,Trash Can,Hawaiian,Handcuffs,Captain's Hat,Sad,,
633,Hungry Wolves 633,24K,Yellow,Clay,None,Muddy,Trash Can,Black T-Shirt,Rainbow Nails,Cowboy,Calm,,
634,Hungry Wolves 634,Graffiti,Yellow,Brown,None,Paper Crown,Trash Can,Blue Soccer Jersey,Brass Knuckles,None,Hungry,,
635,Hungry Wolves 635,Graffiti,Blue,Clay,None,None,Boulder,Bowtie,Gold Bracelet,None,Calm,,
636,Hungry Wolves 636,Forest,Bloodshot,Camo,None,Muddy,Trash Can,Biker Vest,Gold Bracelet,Pirate Hat,Sad,,
637,Hungry Wolves 637,Green Concrete,Blue,Grey,None,Snow Covered,Hay,Black T-Shirt,Glowing Nails,Beanie,Calm,,
638,Hungry Wolves 638,Grey Concrete,Blue,Zombie,Monocle,None,Hay,Hoodie,Rainbow Nails,Gold Earring,Angry,,
639,Hungry Wolves 639,Wolf Den,Gold,Zombie,None,Muddy,Pile of Bananas,Black T-Shirt,Bloody Nails,Wizard Hat,Calm,,
640,Hungry Wolves 640,Graffiti,Bloodshot,Grey,None,Muddy,Trash Can,Red Soccer Jersey,Party Nail,Cowboy,Calm,,
641,Hungry Wolves 641,Grey Concrete,Yellow,Bronze,None,None,Ice,Pack Chain,Glowing Nails,Halo,Silly,,
642,Hungry Wolves 642,Rainbow Shine,Gold,Clay,None,None,Pile of Bananas,Headphones,Ruby Nails,Cowboy,Sad,,
643,Hungry Wolves 643,24K,Blue,Grey,None,Gold Piercing,Trash Can,None,Gold Bracelet,Halo,Evil,,
644,Hungry Wolves 644,Blue Concrete,Yellow,Blue,None,None,Old Stereos,Biker Vest,Bloody Nails,None,Silly,,
645,Hungry Wolves 645,Pink Concrete,Yellow,Bronze,None,Gold Piercing,Old Stereos,Bowtie,Ruby Nails,Straw Hat,Angry,,
646,Hungry Wolves 646,Ice,Blue,Grey,None,Muddy,Old Stereos,Ripped White T-Shirt,Gold Bracelet,Top Hat,Hungry,,
647,Hungry Wolves 647,Pink Concrete,Gold,Glowing,None,Frozen,Trash Can,Black T-Shirt,None,Devil Horns,Excited,,
648,Hungry Wolves 648,Green Concrete,Bloodshot,Arctic,None,None,Hay,Banana T-Shirt,Gold Nails,Red Bandana,Calm,,
649,Hungry Wolves 649,Ice,Blue,Brown,None,None,Trash Can,Headphones,Glowing Nails,Mohawk,Evil,,
650,Hungry Wolves 650,Graffiti,Yellow,Bronze,None,Muddy,New Whip,Hawaiian,Muddy Paws,Devil Horns,Excited,,
651,Hungry Wolves 651,Blue Concrete,Blue,Night,None,None,Boulder,Bowtie,Bloody Nails,Wizard Hat,Angry,,
652,Hungry Wolves 652,Forest,Blue,Grey,None,None,Trash Can,Headphones,Bloody Nails,Devil Horns,Sad,,
653,Hungry Wolves 653,Blue Concrete,No Pupils,Golden,None,None,Ice,Pack Chain,Onyx Nails,None,Calm,,
654,Hungry Wolves 654,Rainbow Shine,Blue,Arctic,None,Snow Covered,Pile of Gems,Bowtie,Gold Nails,Santa Hat,Calm,,
655,Hungry Wolves 655,Green Concrete,Gold,Red,None,Bear Trap,Trash Can,None,Bloody Nails,Captain's Hat,Sad,,
656,Hungry Wolves 656,Magma,Bloodshot,Grey,None,None,Trash Can,Blue Soccer Jersey,Rainbow Nails,Gold Earring,Silly,,
657,Hungry Wolves 657,Grey Concrete,Blue,Grey,None,Muddy,New Whip,Pack Chain,Gold Bracelet,Top Hat,Calm,,
658,Hungry Wolves 658,Green Concrete,Blue,Golden,None,Frozen,Boulder,Black T-Shirt,Gold Bracelet,Beanie,Calm,,
659,Hungry Wolves 659,Grey Concrete,Blue,Blue,None,None,Barbed Wire Fence,Headphones,Bloody Nails,Santa Hat,Excited,,
660,Hungry Wolves 660,Grey Concrete,Yellow,Grey,None,Muddy,Trash Can,Robot Armor,Biker Gloves,None,Calm,,
661,Hungry Wolves 661,Rainbow Shine,Yellow,Night,None,Snow Covered,Throne,Overalls,Bloody Nails,Pirate Hat,Calm,,
662,Hungry Wolves 662,Rainbow Shine,No Pupils,Hay,None,None,Hay,None,Gold Nails,Devil Horns,Excited,,
663,Hungry Wolves 663,Graffiti,Bloodshot,Glowing,None,Gold Piercing,New Whip,Black T-Shirt,Bloody Nails,Devil Horns,Hungry,,
664,Hungry Wolves 664,Pink Concrete,Yellow,Night,None,None,Boulder,Ripped White T-Shirt,Brass Knuckles,Captain's Hat,Excited,,
665,Hungry Wolves 665,Grey Concrete,No Pupils,Golden,None,Muddy,Pile of Money,Pack Chain,Bloody Nails,Cowboy,Calm,,
666,Hungry Wolves 666,Forest,Bloodshot,Golden,None,Muddy,Barbed Wire Fence,Hawaiian,Mechanical Hand,Captain's Hat,Excited,,
667,Hungry Wolves 667,Blood Spattered,Yellow,Camo,None,None,Old Stereos,Overalls,Gold Nails,Gold Earring,Evil,,
668,Hungry Wolves 668,Green Concrete,Bloodshot,Brown,None,Gold Piercing,Ice,Pack Chain,Onyx Nails,Cowboy,Excited,,
669,Hungry Wolves 669,Rainbow Shine,Yellow,Grey,None,Muddy,Barbed Wire Fence,Pack Chain,Gold Nails,Beanie,Angry,,
670,Hungry Wolves 670,Grey Concrete,Blue,Glowing,None,None,Barbed Wire Fence,Hoodie,Biker Gloves,None,Excited,,
671,Hungry Wolves 671,Grey Concrete,Gold,Brown,None,Paper Crown,Old Stereos,Banana T-Shirt,Mechanical Hand,Pirate Hat,Sad,,
672,Hungry Wolves 672,Hellfire,Yellow,Red,None,None,Pile of Gems,Bowtie,None,Captain's Hat,Angry,,
673,Hungry Wolves 673,Green Concrete,No Pupils,Bronze,None,Gold Piercing,Trash Can,Black T-Shirt,Gold Nails,Halo,Angry,,
674,Hungry Wolves 674,Grey Concrete,Cat Eyes,Red,None,Snow Covered,Trash Can,Ripped White T-Shirt,Party Nail,Top Hat,Calm,,
675,Hungry Wolves 675,Graffiti,Cyborg,Arctic,None,None,Trash Can,None,Party Nail,Straw Hat,Angry,,
676,Hungry Wolves 676,Ice,Cyborg,Red,None,Muddy,Barbed Wire Fence,Pack Chain,Muddy Paws,Flipped Brim,Calm,,
