TOKEN_ID,TOKEN_NAME,Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
2113,,Male,Sandy,Brown,,Yellow Rabbit Singlet,Collar (Pink),Mohawk (Base),Cigarette,Steel Ring,,Mouth Open (Right),Gallery,Hop On By,Subtle Nod
2114,,Male,Grey,Green,Heart Glasses,,Bone Necklace,,,,Red Ribbon,Blank,Mystic Valley,L.O.V.E.,Bob
2115,,Male,Black & White,Hypnotic,,,Bowtie (Black),Afro (Ginger),,Gold Ring,Steel Rings & Studs,Blank,Garden,Hop With Me,Side To Side
2116,,Female,Tiger,Yellow,Fake Eyelashes,,Bone Necklace,,Cigarette,Gold Ring,Gold Studs,Mouth Open (Right),Spaceship,Desert Digging,Groove
2117,,Male,Cow,Blue,Deal With It Glasses,,Tie,Mullet (Base),,,,Smile,Backalley,What the FLUF,Subtle Nod
2118,,Male,Ice Cream,Blast,,,Bowtie (Black),Beer Hat,,Bone,Steel Rings,Blank,Heaven,Follow You,Big Nod
2119,,Male,Winter,Purple,,Puffer Vest,Bowtie (Red),Beanie,Party Horn,,,Mouth Open (Left) + Wink,Beach,FLUF You Up,Groove
2120,,Male,Grey,Thirties,,Yellow Rabbit Singlet,Collar (Black),Halo,Carrot,Clown Nose,Gold Bows,Mouth Open (Right) + Wink,Spaceship,Ear Wobbler,Subtle Nod
2121,,Male,Brown,Yellow,Designer Glasses,White Singlet,,,,,Gold Bows,Wonder,Garden,Disco Rabbit,Subtle Nod
2122,,Male,Sandy,Red,,Puffer Vest,Bowtie (Red),,Pipe,Clown Nose,,Mouth Open (Right),Spaceship,Space Fluffle,Big Nod
2123,,Male,Zebra,Blue,,,,,,Diamond Stud,Steel Rings & Studs,Blank,Mansion,Disco Rabbit,Groove
2124,,Male,Darkness,Xs,,Leather Vest,Bone Necklace,Holographic Cap,,Steel Ring,,Blank,Backalley,Rabbiton,Bob
2125,P.I.M.P.,Male,Barney,Scribble,,Sign My Carrot Singlet,Gold Dollar Chain,Gold Cap,Lollipop,Steel Stud,,Mouth Open (Left),Dancing in the Shroomlight,L.O.V.E.,Side To Side
2126,,Male,Camo,Green,Safety Glasses,Leather Vest,Collar (Pink),,,,,Blank,Dunes,Beyond the Gates,Subtle Nod
2127,,Male,Zebra,Cat (Blue),,Kimono,Tie,Mohawk (Black),Cigarette,Steel Ring,Steel Rings & Studs,Mouth Open (Right),Heaven,Space Fluffle,Groove
2128,,Female,Grey,Green (Dilated),Cyberpunk Glasses,,Collar (Pink),,Joint,Steel Stud,Gold Rings & Studs,Mouth Open (Right),Lambo,Dubhop,Groove
2129,,Male,Brown,Red,,Puffer Vest,,Conical Hat,Joint,Bone,,Mouth Open (Right),Tiki,Electric Carrots,Big Nod
2130,General,Male,Parrot,Thirties,,Camo Jacket,Bowtie (Red),Halo,,Gold Stud,Steel Rings,Blank,Lambo,Hop On By,Bob
2131,,Male,Sandy,Cat (Blue),,,Tie,,,Bone,Gold Rings & Studs,Blank,Spaceship,Ear Wobbler,Bob
2132,,Male,Winter,Green,Aviators,Camo Jacket,,Cowboy Hat,,Gold Ring,,Blank,Markets,Floating or Flying,Subtle Nod
2133,,Male,Cow,Blue,,Puffer Jacket,,Army Helmet,Cigar,Diamond Stud,,Mouth Open (Right) + Wink,Dunes,Electric Carrots,Groove
2134,,Male,Grey,Blue,Sunglasses,Dress,Bowtie (Black),Propeller Hat,,,Steel Studs,Sad,Backalley,Desert Digging,Side Nod
2135,Kimono Dragon,Female,Moody Blue,Blue,Aviators,Kimono,Bowtie (Red),Mullet (Orange),Carrot,,,Mouth Open (Right),Dunes,What the FLUF,Side Nod
2136,,Female,Bully,Heart (Red),,,Dog Tags,Afro (Base),,Steel Stud,,Blank,Tiki,FLUF You Up,Side Nod
2137,,Male,Smoothie,Brown,,,Dog Tags,Birthday Hat,Cigarette,Steel Stud,Gold Rings & Studs,Mouth Open (Right),Tiki,Back in the Burrow,Round
2138,,Male,Holographic,Cat (Brown),,Puffer Jacket,,Mullet (Orange),Cigarette,Steel Ring,Steel Rings,Mouth Open (Right) + Wink,Tiki,Shadows,Groove
2139,,Male,Orange,Scribble,,,Bowtie (Black),,,Bone,Gold Rings,Blank,Beach,I Like to Party,Round
2140,Black Hat,Male,Parrot,Brown,Aviators,Puffer Vest,Headphones,Pirate Hat,,,FLUF Tag,Blank,Spaceship,What the FLUF,Groove
2141,,Male,Marshmellow,Portal,,Voxel Rabbit Singlet,,Tennis Hat,Medical Mask,,Steel Rings,Blank,Markets,Run Rabbit,Side Nod
2142,,Male,Smoothie,Blue,Sunglasses,,FLUF Logo Chain,Tuft (Base),Cigarette,Bull Ring,Gold Rings,Mouth Open (Right),Heaven,Floating or Flying,Groove
2143,,Male,Sky,Blast,,,Bowtie (Gold),FLUF Cap,Whistle,,Steel Rings,Mouth Open (Middle),Tiki,Beyond the Gates,Side Nod
2144,,Male,Peppermint,Green,Bug Eye Glasses,,Bowtie (Gold),,Party Horn,Clown Nose,Red Ribbon,Anger,Markets,FLUF You Up,Bob
2145,,Male,Darkness,Hypnotic,,Voxel Rabbit Singlet,Dog Tags,Cowboy Hat,Party Horn,,,Mouth Open (Left),Swamp,Rabbiton,Round
2146,,Female,Tiger,Red,,Voxel Rabbit Singlet,Greenstone,Pirate Hat,,Gold Ring,,Blank,Heaven,Rabbiton,Round
2147,,Male,Grey,Heart (Red),,Gold Jacket,,Mohawk (Base),Pacifier,,,Mouth Open (Middle) + Wink,Heaven,Run Rabbit,Groove
2148,Digger,Male,Retro,Yellow,,Yellow Rabbit Singlet,Lei,,,Gold Ring,Gold Rings & Studs,Blank,Markets,Beyond the Gates,Subtle Nod
2149,,Male,Peppermint,Blast,,High Vis Vest,Tie,Mullet (Base),,Steel Ring,Diamond Studs,Blank,Garden,Eating Carrots in the Dark,Subtle Nod
2150,,Male,Peppermint,Red,,Pink Jacket,,Tennis Hat,Medical Mask,,,Blank,Markets,Hop On By,Bob
2151,Ringo,Male,Ice Cream,Brown,Star Glasses,Red Balloon Singlet,VIP lanyard,Mohawk (Base),,,,Blank,Mansion,Coffee and Carrots,Big Nod
2152,,Female,Grey,Green (Dilated),Star Glasses,Tie Dye Singlet,,Tuft (Black),Mooncrust Pizza,Bone,Red Ribbon,Mouth Open (Middle) + Wink,Heaven,I Like to Party,Bob
2153,,Male,Tiger,Hypnotic,,,Collar (Pink),Bandana,Pacifier,,Steel Studs,Mouth Open (Middle),Forest,Disco Rabbit,Subtle Nod
2154,,Male,Grey,Purple,,Digital Camo Singlet,Gold Dollar Chain,Holographic Cap,Party Horn,,Bit Ear,Anger,Markets,Eating Carrots in the Dark,Groove
2155,,Female,Darkness,Inverted (Purple),,White Singlet,Collar (Black),Beanie,Lip Piercings,Steel Stud,,Smile,Tiki,Beyond the Gates,Groove
2156,,Male,Black & White,Fire,Eye Patch,,Collar (Black),,Cigarette,Bull Ring,,Mouth Open (Right),Markets,Back in the Burrow,Round
2157,,Female,Sandy,Red,,Sign My Carrot Singlet,Bowtie (Gold),Flower Crown,,,,Smile,Heaven,FLUF You Up,Round
2158,,Male,Darkness,Fire,,Yellow Rabbit Singlet,Bowtie (Red),Beanie,Joint,Bone,,Mouth Open (Right) + Wink,Mansion,Follow You,Big Nod
2159,,Male,Winter,Brown,Neon Glasses,Digital Camo Singlet,VIP lanyard,Beanie,Pipe,Bull Ring,,Mouth Open (Right) + Wink,Garden,Eating Carrots in the Dark,Bob
2160,,Male,Darkness,Glowing White,Round Glasses,,Clock Necklace,Pirate Hat,Lollipop,Bull Ring,FLUF Tag,Anger,Lambo,Beyond the Gates,Subtle Nod
2161,Surfz,Male,Sandy,Blue,,Kimono,Bone Necklace,Mohawk (Base),,Steel Ring,,Sad,Beach,Space Fluffle,Side Nod
2162,,Male,Honeycomb,Blue,Speed Glasses,,FLUF Logo Chain,,Lip Piercings,Steel Stud,Red Ribbon,Smile,Forest,Hop On By,Subtle Nod
2163,,Female,Cheetah,Dollars,,Sign My Carrot Singlet,,,Whistle,Bone,Bandaged,Mouth Open (Middle),Gallery,Dubhop,Big Nod
2164,,Male,Darkness,Demon,Round Glasses,Holographic Jacket,,Afro (Black),,,Gold Studs,Grin,Garden,Hop With Me,Side To Side
2165,,Female,Bully,Blue,,Boob Tube,,Afro (Base),Pipe,Steel Ring,,Mouth Open (Right),Gallery,Hop With Me,Side Nod
2166,,Female,Raspberry Ripple,Blue,Aviators,,Collar (Black),Sun Visor,Lipstick,,Gold Rings,Blank,Mansion,Floating or Flying,Round
2167,,Male,Sandy,Green,Deal With It Glasses,Sign My Carrot Singlet,Bowtie (Red),Mohawk (Red),Lollipop,Gold Ring,,Mouth Open (Left),Beach,Coffee and Carrots,Subtle Nod
2168,,Male,Zebra,Brown,,,Glowstick Necklace,Halo,,Gold Ring,Steel Rings,Blank,Forest,Back in the Burrow,Subtle Nod
2169,,Male,Zombie (Red),Zombie,,,POTA Lanyard,,Cigar,Clown Nose,,Mouth Open (Right) + Wink,The Front,Messiah,Bob
2170,,Male,Red,Red (Dilated),,Flannel Jacket,,Holographic Cap,Pipe,Steel Ring,FLUF Tag,Mouth Open (Right),Tiki,Hop With Me,Side To Side
2171,,Female,Winter,Cat (Brown),,,Bowtie (Gold),FLUF Cap,Party Horn,Bone,Diamond Cross Earring,Mouth Open (Left),Backalley,Floating or Flying,Subtle Nod
2172,,Male,Tiger,Scribble,,Yellow Rabbit Singlet,Peace Necklace,Afro (Base),Joint,,Steel Rings,Mouth Open (Right),Gallery,Eating Carrots in the Dark,Side To Side
2173,BLAST EYES,Male,Sandy,Blast,,Dress,Collar (Pink),,Medical Mask,,Gold Studs,Blank,FLUF Haus Miami 2021,Let It Go,Subtle Nod
2174,,Female,Black & White,Portal,,,Collar (Pink),FLUF Cap,Cigarette,Steel Ring,,Mouth Open (Right),Mansion,I Like to Party,Bob
2175,,Male,Blossom,Red (Dilated),,Tie Dye Singlet,,Tennis Hat,Cigarette,Steel Ring,FLUF Tag,Mouth Open (Right),Backalley,Reggae Rabbits,Side Nod
2176,,Female,Darkness,Dollars,,,Bowtie (Black),Propeller Hat,Tongue Out,Steel Stud,,Smile,Swamp,Coffee and Carrots,Side Nod
2177,,Male,Sandy,Green,,Flannel Jacket,,Mohawk (Red),Pacifier,,Gold Studs,Mouth Open (Middle),Dunes,Rabbiton,Bob
2178,,Female,Peppermint,Heart (Red),Fake Eyelashes,Leather Vest,Bone Necklace,,Medical Mask,,Steel Studs,Blank,Forest,Hop With Me,Side To Side
2179,,Female,Grey,Reptile (Cream),Designer Glasses,White Singlet,,Cowboy Hat,,,,Grin,Spaceship,Coffee and Carrots,Side Nod
2180,,Male,Grey,Heart (Red),,Black FLUF Singlet,Lei,Tuft (Blonde),Lollipop,Steel Ring,Gold Studs,Anger,Beach,Beyond the Gates,Round
2181,,Male,Candy Floss,Red,,,Bone Necklace,Propeller Hat,,Gold Ring,Steel Rings,Blank + Wink,Beach,Floating or Flying,Big Nod
2182,,Male,Parrot,Green,Sunglasses,Sign My Carrot Singlet,,,Whistle,Diamond Stud,Steel Studs,Mouth Open (Middle),Mansion,Hop With Me,Round
2183,,Female,Brown,Mandala,,Voxel Rabbit Singlet,Greenstone,Sombrero,Cigarette,,FLUF Tag,Mouth Open (Right),Beach,FLUF You Up,Round
2184,,Male,Darkness,Demon,,,Bowtie (Black),FLUF Cap,Joint,,Steel Studs,Mouth Open (Right),Mansion,Electric Carrots,Big Nod
2185,,Male,Black & White,Blue,Aviators,,Bowtie (Black),Mullet (Orange),Carrot,Bull Ring,Steel Studs,Mouth Open (Right),Mansion,Ear Wobbler,Bob
2186,,Male,Sandy,Green (Dilated),,,Glowstick Necklace,,Lip Piercings,Diamond Stud,FLUF Tag,Smile,Spaceship,I Like to Party,Round
2187,,Female,Hawk,Red,,Leather Vest,Collar (Black),FLUF Cap,Cigarette,,,Mouth Open (Right) + Wink,Markets,Eating Carrots in the Dark,Side To Side
2188,,Male,Brown,Green,,Flannel Jacket,Bowtie (Black),,Lip Piercings,Bull Ring,Gold Rings,Smile + Wink,Mansion,Desert Digging,Subtle Nod
2189,,Male,Brown,Purple,,Tie Dye Singlet,,Sombrero,Pipe,,Bandaged,Mouth Open (Right),Heaven,Electric Carrots,Groove
2190,,Female,Orange,Yellow,Fake Eyelashes,Boob Tube,Gold Chain,Mohawk (Base),Cigar,Gold Stud,,Mouth Open (Right),Lambo,Floating or Flying,Side Nod
2191,,Male,Peppermint,Brown,Deal With It Glasses,,Glowstick Necklace,Tuft (Base),Pipe,Steel Stud,Steel Studs,Mouth Open (Right),Forest,Desert Digging,Side To Side
2192,,Male,Pheonix,Green,Bug Eye Glasses,,Collar (Black),Tuft (Blonde),Party Horn,,Gold Rings & Studs,Anger,Gallery,What the FLUF,Groove
2193,,Male,Retro,Red,Cyberpunk Glasses,Leather Vest,Bowtie (Red),,Medical Mask,,Steel Rings,Blank,Heaven,Follow You,Bob
2194,,Female,Brown,Green,Bug Eye Glasses,Dress,Bowtie (Red),Bandana,Lipstick,Steel Ring,Gold Studs,Sad,Beach,Hop On By,Groove
2195,,Male,Grey,Green (Dilated),,Red Balloon Singlet,FLUF Logo Chain,Tennis Hat,,Bull Ring,,Grin,Beach,Desert Digging,Subtle Nod
2196,,Male,Peppermint,Blue,,,Dog Tags,Bandana,Mooncrust Pizza,Bone,Gold Rings,Mouth Open (Middle),Lambo,What the FLUF,Groove
2197,,Male,Zebra,Green,Heart Glasses,,Bowtie (Gold),,Joint,Bone,Steel Rings & Studs,Mouth Open (Right),Swamp,Eating Carrots in the Dark,Round
2198,,Male,Red,Fire,,,Dog Tags,Afro (Ginger),,Bull Ring,,Smile,Heaven,What the FLUF,Big Nod
2199,,Male,Black & White,Green,3D Glasses,White Singlet,Bowtie (Black),Cowboy Hat,,Clown Nose,Steel Rings,Blank,Spaceship,Space Fluffle,Big Nod
2200,,Male,Winter,Green,Heart Glasses,,Bowtie (Gold),Mohawk (Red),Carrot,Steel Stud,Gold Bows,Mouth Open (Right),Heaven,Ear Wobbler,Groove
2201,,Male,Red,Brown,,Tie Dye Singlet,Clock Necklace,Tennis Hat,Pipe,Bone,,Mouth Open (Right),Dunes,Space Fluffle,Big Nod
2202,,Male,Grey,Purple Rings,,,,Tuft (Base),,Steel Ring,Red Ribbon,Anger,Mansion,I Like to Party,Side To Side
2203,,Female,Parrot,Brown,,,,Mullet (Orange),Cigarette,,Gold Studs,Mouth Open (Right),Garden,Eating Carrots in the Dark,Side Nod
2204,,Female,Red,Glowing Red,Aviators,Yellow Rabbit Singlet,Bowtie (Red),Birthday Hat,Whistle,Gold Ring,Gold Rings,Mouth Open (Middle),Markets,What the FLUF,Subtle Nod
2205,,Male,Black & White,Scribble,Star Glasses,,Dog Tags,,,Steel Ring,Steel Studs,Blank,Heaven,Reggae Rabbits,Subtle Nod
2206,,Male,Winter,Reptile (Cream),Shutter Glasses,Flannel Jacket,Clock Necklace,,,Gold Stud,,Sad,Tiki,Floating or Flying,Side To Side
2207,,Female,Holographic,Brown,Neon Glasses,Boob Tube,Gold Chain,Afro (Base),,,,Sad,Lambo,Eating Carrots in the Dark,Big Nod
2208,,Male,Grey,Scribble,,,Collar (Black),Army Helmet,,,Steel Studs,Blank,Mansion,Disco Rabbit,Groove
2209,Khaleesi,Female,Moody Blue,Red (Dilated),,Boob Tube,Clock Necklace,,Pipe,Steel Ring,Steel Studs,Mouth Open (Right),Dunes,FLUF You Up,Side Nod
2210,Mr T,Male,Brown,Brown,Aviators,Puffer Vest,,Mohawk (Base),Cigar,Bull Ring,Santa Hat,Mouth Open (Right),Gallery,What the FLUF,Groove
2211,,Male,Candy Floss,Brown,Neon Glasses,,,,,,Steel Rings & Studs,Smile,Mansion,What the FLUF,Subtle Nod
2212,,Female,Grey,Scribble,,Boob Tube,,Mohawk (Base),,Steel Ring,Diamond Cross Earring,Grin,Beach,Beyond the Gates,Round
2213,,Female,Brown,Green,,Boob Tube,Collar (Black),Flower Crown,Joint,Steel Ring,Steel Rings & Studs,Mouth Open (Right) + Wink,Heaven,Eating Carrots in the Dark,Side To Side
2214,,Male,Brown,Red,,,Bowtie (Black),Tuft (Base),Pacifier,Bloody,,Mouth Open (Middle),Forest,Electric Carrots,Big Nod
2215,,Male,Zebra,Dollars,,Leather Vest,Collar (Black),Beanie,Lollipop,Gold Stud,Bit Ear,Mouth Open (Left),Mansion,FLUF You Up,Groove
2216,,Female,Winter,Blue,,,Collar (Black),Army Helmet,,,Steel Rings,Blank,Garden,Run Rabbit,Subtle Nod
2217,,Female,Zombie (Green),Inverted,,,,Army Helmet,Joint,Gold Ring,Gold Studs,Mouth Open (Right),Gallery,Electric Carrots,Side Nod
2218,,Female,Candy Floss,Blue,Speed Glasses,,,Tuft (Base),Carrot,,Steel Studs,Mouth Open (Right),Garden,Shadows,Round
2219,,Male,Black & White,Red,Shutter Glasses,Digital Camo Singlet,Gold Dollar Chain,,Pacifier,Gold Ring,,Mouth Open (Middle) + Wink,Mansion,Ear Wobbler,Groove
2220,,Male,Darkness,Heart (Red),,,Bone Necklace,Crown,Joint,Gold Ring,,Mouth Open (Right) + Wink,Lambo,Latin Fiesta,Side Nod
2221,,Male,Marshmellow,Green,Aviators,,,Mullet (Orange),Carrot,Bone,Diamond Studs,Mouth Open (Right),Garden,Electric Carrots,Bob
2222,,Male,Candy Floss,Green (Dilated),Shutter Glasses,Voxel Rabbit Singlet,Bowtie (Red),Mullet (Base),,Bone,,Smile,Beach,Space Fluffle,Bob
2223,,Male,Tiger,Green,Speed Glasses,,Dog Tags,Conical Hat,Cigar,Steel Stud,,Mouth Open (Right),Forest,Space Fluffle,Groove
2224,,Male,Grey,Green,Speed Glasses,Digital Camo Singlet,Collar (Black),,,Bull Ring,Steel Rings & Studs,Sad,Markets,Floating or Flying,Round
2225,,Male,Sky,Green,Sunglasses,,,Halo,Lip Piercings,,Diamond Cross Earring,Smile,Swamp,What the FLUF,Groove
2226,,Male,Highlighter,Yellow,Shutter Glasses,Digital Camo Singlet,Collar (Black),Conical Hat,,,Steel Rings,Blank,Dunes,Desert Digging,Bob
2227,,Male,Tie Dye,Blue,Dive Goggles,,Bowtie (Red),,Party Horn,,Gold Rings & Studs,Anger,Swamp,I Like to Party,Subtle Nod
2228,,Male,Winter,Green,Speed Glasses,,Bowtie (Red),,Joint,,Gold Rings,Mouth Open (Right),Lambo,Eating Carrots in the Dark,Side Nod
2229,,Male,Black & White,Red (Dilated),,,Dog Tags,,Lip Piercings,Gold Stud,,Smile,Swamp,Back in the Burrow,Bob
2230,,Male,Highlighter,Brown,Aviators,,Gold Chain,Mohawk (Base),Pipe,,,Mouth Open (Right) + Wink,Forest,Hop On By,Side Nod
2231,,Male,Orange,Blue,Sunglasses,Sign My Carrot Singlet,Bowtie (Red),Devil Horns,Carrot,,,Mouth Open (Right) + Wink,Heaven,What the FLUF,Subtle Nod
2232,,Female,Darkness,Hypnotic,,,Bone Necklace,Tuft (Blonde),Joint,,,Mouth Open (Right) + Wink,Gallery,Disco Rabbit,Round
2233,,Male,Hawk,Brown,Sunglasses,Red Balloon Singlet,VIP lanyard,,Joint,,,Mouth Open (Right),Beach,Desert Digging,Bob
2234,,Male,Pheonix,Brown,Deal With It Glasses,High Vis Vest,,Conical Hat,Cigarette,Gold Ring,Steel Rings,Mouth Open (Right),Beach,Back in the Burrow,Round
2235,,Male,Guernica,Brown,Aviators,,Bowtie (Gold),Beanie,Cigarette,Steel Stud,Gold Bows,Mouth Open (Right),Mansion,Ear Wobbler,Big Nod
2236,,Male,Red,Thirties,,Flannel Jacket,Bowtie (Gold),Birthday Hat,Pipe,Bone,,Mouth Open (Right),Heaven,Floating or Flying,Bob
2237,,Male,Grey,Purple,,,Tie,,Pipe,Steel Stud,Steel Rings,Mouth Open (Right),Tiki,Disco Rabbit,Groove
2238,,Male,Moody Blue,Green,Bug Eye Glasses,Flannel Jacket,Bowtie (Black),Beanie,Pipe,Steel Stud,Gold Rings,Mouth Open (Right),Dunes,Hop With Me,Side Nod
2239,Fuzz Aldrin,Male,Smoothie,Brown,,,Bowtie (Red),,Cigar,Clown Nose,Bit Ear,Mouth Open (Right),Spaceship,NFT (Instrumental),Side Nod
2240,,Male,Peppermint,Reptile (Yellow),Star Glasses,Digital Camo Singlet,,,Cigarette,,Red Ribbon,Mouth Open (Right),Heaven,Beyond the Gates,Subtle Nod
2241,,Male,Grey,Glowing Red,Aviators,Voxel Rabbit Singlet,,Beanie,,Bone,,Blank,Spaceship,I Like to Party,Groove
2242,,Male,Black & White,Cat (Blue),,Dress,,Crown,Whistle,Steel Stud,,Mouth Open (Middle) + Wink,Dunes,Back in the Burrow,Round
2243,,Male,Brown,Heart (Blue),,Pink Jacket,Bowtie (Gold),Afro (Base),,Clown Nose,,Blank,Lambo,Follow You,Groove
2244,,Female,Winter,Heart (Blue),,,Bowtie (Red),Tuft (Base),Lollipop,Bone,FLUF Tag,Anger,Backalley,Floating or Flying,Bob
2245,,Male,Ice Cream,Red,Shutter Glasses,Puffer Jacket,Bowtie (Gold),,Joint,Bull Ring,Red Ribbon,Mouth Open (Right) + Wink,Markets,Follow You,Groove
2246,,Female,Winter,Blue,Speed Glasses,Leather Vest,,Birthday Hat,Pacifier,Gold Stud,,Mouth Open (Middle),Mansion,Reggae Rabbits,Subtle Nod
2247,,Male,Grey,Blue,Heart Glasses,Gold Jacket,Peace Necklace,Tuft (Base),,Bloody,Red Ribbon,Blank,Mansion,I Like to Party,Round
2248,,Female,Retro,Blue,,Flannel Jacket,VIP lanyard,Gold Cap,,Steel Stud,Gold Rings,Blank,Mansion,NFT (Instrumental),Round
2249,,Male,Grey,Green,,,Collar (Pink),,Joint,Bone,Steel Studs,Mouth Open (Right) + Wink,Beach,Coffee and Carrots,Round
2250,,Male,Barney,Reptile (Yellow),Shutter Glasses,,Clock Necklace,,Party Horn,,,Anger,Dancing in the Shroomlight,Stardust,Big Nod
2251,,Male,Cheetah,Green (Dilated),Shutter Glasses,Kimono,Headphones,Beanie,,,Steel Rings,Blank,Heaven,Disco Rabbit,Side To Side
2252,,Male,Darkness,Demon,Aviators,Camo Jacket,Bowtie (Red),,Pipe,Clown Nose,FLUF Tag,Mouth Open (Right),Dunes,Reggae Rabbits,Groove
2253,,Male,Highlighter,Reptile (Yellow),Star Glasses,,,,Lollipop,Clown Nose,Steel Studs,Mouth Open (Left),Spaceship,Desert Digging,Side To Side
2254,,Male,Peppermint,Blue,Sunglasses,,Dog Tags,Army Helmet,Cigarette,,Steel Rings,Mouth Open (Right),Forest,Floating or Flying,Side Nod
2255,,Male,Sandy,Blue,Aviators,,Tie,,Carrot,,Gold Rings & Studs,Mouth Open (Right),Heaven,Reggae Rabbits,Round
2256,Arlo,Male,Peppermint,Reptile (White),,Puffer Vest,Bowtie (Gold),,Party Horn,Steel Ring,Bandaged,Mouth Open (Left),Beach,Floating or Flying,Round
2257,,Male,Raspberry Ripple,Glowing Red,,,Headphones,Afro (Base),Lollipop,,,Mouth Open (Left),Dunes,Hop On By,Round
2258,,Male,Black & White,Thirties,,Leather Vest,Bowtie (Gold),Gold Cap,Party Horn,Bloody,Steel Rings,Anger,Backalley,Space Fluffle,Side Nod
2259,,Male,Moody Blue,Blue,,,,Devil Horns,Joint,Clown Nose,FLUF Tag,Mouth Open (Right),Heaven,I Like to Party,Subtle Nod
2260,Fluf Ryder,Male,Zebra,Green (Dilated),,Kimono,Bone Necklace,,Lollipop,,Gold Bows,Mouth Open (Left) + Wink,Forest,Ear Wobbler,Groove
2261,Rarity 624,Male,Grey,Brown,Heart Glasses,High Vis Vest,Bowtie (Black),Tuft (Black),Carrot,Gold Stud,Steel Rings & Studs,Mouth Open (Right),Garden,Ear Wobbler,Round
2262,,Male,Winter,Fire,Shutter Glasses,,Dog Tags,Mohawk (Red),Joint,Gold Stud,,Mouth Open (Right),Beach,Eating Carrots in the Dark,Big Nod
2263,Beauport Flufkinson,Male,Bully,Portal,,Puffer Jacket,VIP lanyard,,,,Red Ribbon,Blank,Forest,Disco Rabbit,Round
2264,,Female,Peppermint,Green (Dilated),,Digital Camo Singlet,,Tuft (Black),Cigarette,Steel Stud,,Mouth Open (Right),Swamp,Follow You,Big Nod
2265,,Male,Camo,Blue,Dive Goggles,Flannel Jacket,Bowtie (Black),,Cigar,Gold Ring,,Mouth Open (Right) + Wink,Tiki,Beyond the Gates,Subtle Nod
2266,Clyde,Male,Candy Floss,Blue,Aviators,,,Flower Crown,,Steel Stud,FLUF Tag,Blank,Mystic Valley,Stardust,Big Nod
2267,Scoots,Male,Sandy,Blue,Bug Eye Glasses,Puffer Vest,Greenstone,Mullet (Black),Cigarette,Bone,,Mouth Open (Right),Markets,Space Fluffle,Side To Side
2268,,Male,Black & White,Brown,,Camo Jacket,,Bandana,,Bone,,Blank,Lambo,Beyond the Gates,Side To Side
2269,,Male,Sky,Thirties,,Boob Tube,Bowtie (Gold),,Lollipop,Bone,,Mouth Open (Left),Forest,Beyond the Gates,Bob
2270,Emma Frost,Female,Winter,Yellow,Fake Eyelashes,White Singlet,,,,,Red Ribbon,Wonder,Garden,Coffee and Carrots,Bob
2271,,Female,Red,Green,,,Headphones,Army Helmet,,Bull Ring,FLUF Tag,Blank,Mansion,Coffee and Carrots,Side To Side
2272,,Male,Marshmellow,Red,,FLUF Jacket,Bone Necklace,Flower Crown,Pipe,,,Mouth Open (Right),Markets,FLUF You Up,Side To Side
2273,,Male,Tiger,Brown,Speed Glasses,,,Birthday Hat,Pipe,Steel Stud,Gold Rings,Mouth Open (Right) + Wink,Swamp,Hop On By,Round
2274,,Female,Winter,Cat (Blue),,Red Balloon Singlet,,Mullet (Orange),Joint,Gold Stud,Gold Bows,Mouth Open (Right) + Wink,Garden,Electric Carrots,Bob
2275,,Male,Grey,Blue,Round Glasses,Leather Vest,,Flower Crown,Joint,Diamond Stud,Steel Studs,Mouth Open (Right),Dunes,Desert Digging,Bob
2276,,Male,Cheetah,Glowing White,,,Bone Necklace,Birthday Hat,Joint,Steel Stud,Gold Bows,Mouth Open (Right),Mansion,I Like to Party,Bob
2277,,Female,Sandy,Reptile (Cream),Fake Eyelashes,,Lei,,Joint,,FLUF Tag,Mouth Open (Right),Spaceship,Dubhop,Big Nod
2278,🚨 Identity Thief Detected 🚨,Male,Winter,Yellow,,Camo Jacket,,Afro (Black),Cigar,,Gold Rings & Studs,Mouth Open (Right),Lambo,Space Fluffle,Big Nod
2279,,Male,Darkness,Demon,Aviators,Leather Vest,Bowtie (Red),Bandana,,Steel Stud,Gold Rings,Blank,Heaven,Floating or Flying,Groove
2280,Ledger For Senate,Male,Smoothie,Green,Steampunk Goggles,Kimono,Bowtie (Black),Mohawk (Black),Lollipop,Steel Stud,Gold Bows,Mouth Open (Left),Gallery,FLUF You Up,Bob
2281,Austin,Male,Black & White,Scribble,,Boob Tube,Collar (Black),Cowboy Hat,,,Steel Rings,Blank,Gallery,Run Rabbit,Bob
2282,,Female,Highlighter,Green (Dilated),,,Bowtie (Red),Afro (Black),Cigarette,,Gold Studs,Mouth Open (Right),Forest,Desert Digging,Round
2283,,Female,Brown,Green,Sunglasses,Dress,Lei,Mullet (Orange),,Steel Ring,Diamond Studs,Blank,Mansion,FLUF You Up,Bob
2284,Talk to Frank,Male,Black & White,Heart (Red),,Kimono,Dog Tags,FLUF Cap,Tongue Out,Steel Stud,,Smile + Wink,The Front,Eating Carrots in the Dark,Big Nod
2285,,Male,Raspberry Ripple,Blue,Dive Goggles,Tie Dye Singlet,,,Pipe,Bone,,Mouth Open (Right),Forest,Coffee and Carrots,Side To Side
