TOKEN_ID,TOKEN_NAME,Background,Base,Stripes,Eyes,Mouth,Nose,Body,Headwear
709,# 709,Grey,Purple,Black,Spooked,Honey Comb,Orange,None,Horns
710,# 710,Violet,Yellow,Red,Sad,Tongue Out,Blue,Red Polo,Fishing Hat
711,# 711,Violet,White,Pink,Sunglasses,Yawning,Clown Nose,Green Tee,Pirate Hat
712,# 712,Violet,Red,Pink,Angry,Lip Bite,Green,Purple Tee,Clown Hair
713,# 713,Yellow,Neon Green,Black,Wink,Bloody,Purple,None,None
714,# 714,Beige,White,Light Blue,Sad,Standard,Black,Blue Tee,Top Hat
715,# 715,Yellow,Green,Red,Sunglasses,Sad,Green,Save the Tigers,Pirate Hat
716,# 716,Pink,Orange,Pink,Happy,Honey Comb,Green,White Tee,Fishing Hat
717,# 717,Yellow,Green,Orange,Tired,Whistling,Blue,Green Tee,Top Hat
718,# 718,Pink,Yellow,Black,Sunglasses,Whistling,Black,Bra,Baseball Cap
719,# 719,Blue,Pink,Yellow,Glasses,Tongue Out,Purple,Yellow Tee,Top Hat
720,# 720,Blue,Black,Black,Sunglasses,Tongue Out,Purple,White Tee,Santa Hat
721,# 721,Purple,Blue,Pink,Happy,Smiling,Green,Black Polo,Cowboy Hat
722,# 722,Yellow,Red,Green,Happy,Honey Comb,Purple,Police Uniform,None
723,# 723,Red,Green,Yellow,Angry,Smiling,Purple,White Polo,Tricorn
724,# 724,Yellow,Blue,Pink,Happy,Tongue Out,Black,White Tee,Afro
725,# 725,Purple,Neon Green,Red,Tired,Tongue Out,Green,White Tee,Santa Hat
726,# 726,Red,Purple,Pink,Glasses,Standard,Purple,Blue Tee,Cowboy Hat
727,# 727,Grey,Orange,Yellow,Sunglasses,Yawning,Purple,Yellow Tee,Santa Hat
728,# 728,Blue,Blue,Yellow,Wink,Bloody,Green,Referee,Pirate Hat
729,# 729,Purple,Blue,Blue,Happy,Whistling,Black,Bra,None
730,# 730,Purple,Purple,Pink,Tired,Whistling,Purple,Purple Tee,Fishing Hat
731,# 731,Purple,Yellow,Yellow,Sunglasses,Tongue Out,Purple,Green Tee,Pirate Hat
732,# 732,Purple,Black,Black,Glasses,Sad,Green,Yellow Tee,Baseball Cap
733,# 733,Green,White,Red,Glasses,Bubble Gum,,Yellow Tee,Baseball Cap
734,# 734,Beige,Purple,Purple,Angry,Tongue Out,Blue,Purple Tee,Baseball Cap
735,# 735,Yellow,Purple,Orange,Spooked,Bloody,Orange,Diamond Collar,Astronaut Helmet
736,# 736,Blue,Orange,Orange,Tired,Honey Comb,Blue,Police Uniform,Astronaut Helmet
737,# 737,Grey,Purple,Orange,Spooked,Honey Comb,Orange,White Polo,Santa Hat
738,# 738,Black,Blue,Purple,Sad,Tongue Out,Green,Bra,Bunny Ears
739,# 739,Blue,Blue,Blue,Happy,Sad,Orange,Yellow Tee,Astronaut Helmet
740,# 740,Blue,Purple,Red,Tired,Lip Bite,Blue,Yellow Tee,Bunny Ears
741,# 741,Light Blue,Purple,Pink,Happy,Bubble Gum,,Green Tee,Baseball Cap
742,# 742,Red,Blue,Yellow,Angry,Tongue Out,Green,Green Tee,Pirate Hat
743,# 743,Grey,Blue,Pink,Glasses,Yawning,Red,Police Uniform,Horns
744,# 744,Grey,Orange,White,Happy,Yawning,Black,Green Tee,None
745,# 745,Green,Red,Orange,Angry,Whistling,Orange,Referee,Pirate Hat
746,# 746,Yellow,Purple,Blue,Glasses,Lip Bite,Clown Nose,Blue Tee,Fishing Hat
747,# 747,Light Blue,Yellow,Purple,Angry,Bloody,Black,Red Polo,Clown Hair
748,# 748,Yellow,Orange,Orange,Tropical Shades,Lip Bite,Orange,Purple Tee,Horns
749,# 749,Blue,Green,Black,Glasses,Tongue Out,Clown Nose,Police Uniform,Horns
750,# 750,Violet,Purple,Blue,Happy,Lip Bite,Clown Nose,Black Polo,Cowboy Hat
751,# 751,Grey,Yellow,White,Tired,Honey Comb,Orange,None,Top Hat
752,# 752,Purple,Red,Light Blue,Sunglasses,Sad,Green,None,Astronaut Helmet
753,# 753,Blue,Orange,Blue,Sunglasses,Bloody,Green,Purple Tee,None
754,# 754,Red,Blue,Purple,Sunglasses,Whistling,Clown Nose,Green Tee,Pirate Hat
755,# 755,Yellow,Purple,Blue,Happy,Tongue Out,Black,Police Uniform,Clown Hair
756,# 756,Grey,Yellow,Blue,Sunglasses,Lip Bite,Purple,Black Polo,Top Hat
757,# 757,Purple,Blue,Blue,Tropical Shades,Whistling,Green,Black Polo,None
758,# 758,Violet,Purple,Purple,Sad,Sad,Red,Green Tee,Baseball Cap
759,# 759,Red,Black,Pink,Angry,Sad,Blue,None,Fishing Hat
760,# 760,Blue,Purple,Orange,Tropical Shades,Tongue Out,Red,None,Baseball Cap
761,# 761,Violet,Green,White,Happy,Sad,Clown Nose,Yellow Tee,Baseball Cap
762,# 762,Grey,Red,Red,Angry,Honey Comb,Purple,Yellow Tee,Santa Hat
763,# 763,Yellow,Green,Purple,Sunglasses,Lip Bite,Green,None,Bunny Ears
764,# 764,Purple,Black,Light Blue,Sunglasses,Blunt,Green,Black Polo,Pirate Hat
765,# 765,Yellow,Purple,Orange,Tired,Gold Teeth,Black,Red Polo,Cowboy Hat
766,# 766,Purple,Black,Purple,Angry,Lip Bite,Purple,Black Polo,Top Hat
767,# 767,Purple,Red,Yellow,Sad,Bloody,Clown Nose,Referee,Spinner Hat
768,# 768,Green,Purple,Green,Glasses,Tongue Out,Clown Nose,White Tee,Afro
769,# 769,Yellow,Orange,Red,Sad,Bubble Gum,,White Polo,Cowboy Hat
770,# 770,Grey,Yellow,Black,Angry,Sad,Purple,Black Polo,None
771,# 771,Grey,Yellow,Orange,Angry,Yawning,Black,Blue Tee,Pirate Hat
772,# 772,Black,Red,Blue,Spooked,Yawning,Black,None,Pirate Hat
773,# 773,Blue,Orange,Blue,Tired,Tongue Out,Green,Green Tee,Bunny Ears
774,# 774,Black,Red,Black,Glasses,Sad,Orange,Yellow Tee,Cowboy Hat
775,# 775,Yellow,Neon Green,Purple,Crying,Sad,Black,Blue Tee,None
776,# 776,Blue,Orange,Light Blue,Glasses,Smiling,Green,Blue Tee,Afro
777,# 777,Red,Orange,Pink,Tired,Sad,Green,Bra,Bunny Ears
778,# 778,Yellow,White,Green,Sad,Bloody,Purple,White Tee,Afro
779,# 779,Purple,Red,Black,Angry,Whistling,Blue,White Tee,Bunny Ears
780,# 780,Yellow,Orange,Green,Happy,Tongue Out,Orange,None,Afro
781,# 781,Yellow,Black,Light Blue,Sunglasses,Sad,Clown Nose,Red Polo,Afro
782,# 782,Blue,Yellow,Black,Angry,Yawning,Clown Nose,Red Polo,Fishing Hat
783,# 783,Beige,Blue,Pink,Tired,Sad,Green,Red Polo,None
784,# 784,Yellow,Yellow,Green,Glasses,Honey,Purple,Green Tee,Top Hat
785,# 785,Blue,Green,White,Crying,Lip Bite,Red,Black Polo,Top Hat
786,# 786,Purple,Green,Purple,Tired,Yawning,Black,Police Uniform,Cowboy Hat
787,# 787,Blue,Neon Green,Orange,Spooked,Yawning,Orange,Red Polo,Afro
788,# 788,Yellow,Purple,White,Sad,Lip Bite,Clown Nose,White Polo,Tricorn
789,# 789,Purple,Blue,Green,Tired,Whistling,Purple,None,Astronaut Helmet
790,# 790,Violet,Pink,Green,Sunglasses,Smiling,Red,Black Polo,Bunny Ears
791,# 791,Blue,Yellow,Red,Spooked,Smiling,Green,Police Uniform,Cowboy Hat
792,# 792,Black,Black,White,Sunglasses,Sad,Green,None,Baseball Cap
793,# 793,Green,Yellow,Black,Angry,Yawning,Purple,Red Polo,Top Hat
794,# 794,Blue,White,Orange,Happy,Smiling,Blue,Red Polo,Top Hat
795,# 795,Blue,Purple,Purple,Sad,Tongue Out,Purple,Blue Tee,Afro
796,# 796,Light Blue,Pink,Yellow,Happy,Lip Bite,Blue,Green Tee,Tricorn
797,# 797,Purple,Green,Orange,Angry,Yawning,Purple,Yellow Tee,Cowboy Hat
798,# 798,Blue,Neon Green,Light Blue,Glasses,Honey Comb,Orange,Yellow Tee,Pirate Hat
799,# 799,Black,Black,Blue,Glasses,Tongue Out,Black,Black Polo,Baseball Cap
800,# 800,Yellow,Red,Purple,Goggles,Whistling,Blue,Red Polo,None
801,# 801,Purple,Green,White,Glasses,Tongue Out,Purple,Green Tee,Cowboy Hat
802,# 802,Green,Neon Green,Black,Spooked,Sad,Black,White Tee,Astronaut Helmet
803,# 803,Purple,Pink,Orange,Glasses,Tongue Out,Purple,Blue Tee,Top Hat
804,# 804,Black,Black,Orange,Happy,Lip Bite,Orange,White Polo,Bunny Ears
805,# 805,Green,Green,Orange,Spooked,Sad,Orange,Purple Tee,Tricorn
806,# 806,Purple,Green,Orange,Glasses,Honey Comb,Black,None,Top Hat
807,# 807,Purple,Pink,Yellow,Sad,Sad,Purple,Bra,Afro
808,# 808,Red,Yellow,Pink,Sad,Sad,Purple,White Polo,Afro
809,# 809,Purple,Pink,Orange,Glasses,Bloody,Blue,Black Polo,Top Hat
810,# 810,Black,Red,Light Blue,Tired,Yawning,Black,Purple Tee,Top Hat
811,# 811,Black,Purple,Pink,Sad,Yawning,Purple,Blue Tee,Afro
812,# 812,Blue,Pink,Purple,Happy,Bloody,Red,Suit & Tie,Top Hat
813,# 813,Black,Neon Green,Yellow,Tired,Bloody,Green,White Tee,Fishing Hat
814,# 814,Purple,Blue,Blue,Sad,Smiling,Orange,Yellow Tee,Fishing Hat
815,# 815,Yellow,Neon Green,Orange,Sad,Whistling,Purple,White Polo,Santa Hat
816,# 816,Purple,Yellow,Green,Spooked,Tongue Out,Purple,Green Tee,Fishing Hat
817,# 817,Yellow,Yellow,Black,Glasses,Honey Comb,Orange,White Tee,Cowboy Hat
818,# 818,Yellow,Red,Black,Sad,Bloody,Orange,Yellow Tee,Santa Hat
819,# 819,Black,Red,Purple,Glasses,Pipe,Orange,Blue Tee,Baseball Cap
820,# 820,Pink,Purple,Yellow,Happy,Sad,Purple,Blue Tee,None
821,# 821,Red,Green,Pink,Goggles,Yawning,Black,Yellow Tee,Bunny Ears
822,# 822,Yellow,Pink,Red,Tired,Sad,Black,Blue Tee,Santa Hat
823,# 823,Purple,Neon Green,Yellow,Goggles,Lip Bite,Orange,Scientist,None
824,# 824,Yellow,Yellow,Blue,Tropical Shades,Bloody,Blue,Red Polo,None
825,# 825,Purple,Green,Green,Angry,Whistling,Black,Bra,Baseball Cap
826,# 826,Blue,Neon Green,Red,Tired,Pipe,Purple,Green Tee,Horns
827,# 827,Black,White,Green,Sunglasses,Sad,Blue,Yellow Tee,Cowboy Hat
828,# 828,Green,Pink,Purple,Sad,Blunt,Green,Blue Tee,Fishing Hat
829,# 829,Black,Red,Black,Wink,Smiling,Blue,Black Polo,Afro
830,# 830,Yellow,Pink,Orange,Goggles,Sad,Purple,Red Polo,Astronaut Helmet
831,# 831,Violet,Green,Green,Spooked,Tongue Out,Red,Red Polo,Fishing Hat
832,# 832,Blue,Red,Red,Glasses,Yawning,Blue,White Polo,None
833,# 833,Black,Blue,Green,Spooked,Tongue Out,Red,Green Tee,Top Hat
834,# 834,Light Blue,Blue,Black,Happy,Bloody,Black,Red Polo,Afro
835,# 835,Red,Purple,Pink,Tired,Bloody,Clown Nose,Green Tee,Santa Hat
836,# 836,Pink,Blue,Orange,Tropical Shades,Bloody,Orange,None,None
837,# 837,Blue,Blue,Blue,Spooked,Sad,Purple,White Tee,Santa Hat
838,# 838,Purple,Pink,White,Glasses,Tongue Out,Black,Blue Tee,Baseball Cap
839,# 839,Black,Red,Purple,Tired,Lip Bite,Red,Black Polo,Astronaut Helmet
840,# 840,Yellow,Yellow,White,Goggles,Bubble Gum,,Black Polo,Fishing Hat
841,# 841,Purple,Red,Pink,Sad,Sad,Orange,Red Polo,None
842,# 842,Blue,Blue,Black,Glasses,Yawning,Clown Nose,Black Polo,Afro
843,# 843,Blue,Neon Green,Purple,Tired,Whistling,Black,White Tee,Astronaut Helmet
844,# 844,Blue,Purple,Orange,Spooked,Cigarette,Green,None,Cowboy Hat
845,# 845,Purple,Yellow,Yellow,Angry,Sad,Clown Nose,Referee,Bunny Ears
846,# 846,Blue,Yellow,Purple,Crying,Sad,Black,Blue Tee,Afro
847,# 847,Purple,Red,Pink,Bloodshot,Whistling,Orange,Yellow Tee,Top Hat
848,# 848,Blue,Purple,Light Blue,Glasses,Tongue Out,Black,White Tee,Cowboy Hat
849,# 849,Yellow,Blue,Yellow,Sad,Whistling,Orange,None,Baseball Cap
850,# 850,Blue,Yellow,Blue,Glasses,Smiling,Black,None,Fishing Hat
851,# 851,Grey,Blue,Purple,Wink,Sad,Orange,Black Polo,None
852,# 852,Grey,Green,Pink,Glasses,Honey Comb,Purple,Black Polo,Baseball Cap
853,# 853,Black,Purple,Purple,Spooked,Lip Bite,Purple,White Tee,Santa Hat
854,# 854,Pink,White,Purple,Angry,Honey Comb,Blue,Bra,Spinner Hat
855,# 855,Purple,Purple,White,Glasses,Sad,Green,Yellow Tee,Santa Hat
856,# 856,Yellow,Purple,Yellow,Sad,Whistling,Black,White Polo,Cowboy Hat
857,# 857,Blue,Blue,Green,Spooked,Sad,Green,Yellow Tee,Halo
858,# 858,Black,Yellow,Yellow,Spooked,Tongue Out,Black,Red Polo,Cowboy Hat
859,# 859,Violet,Red,Yellow,Sunglasses,Tongue Out,Blue,White Tee,Baseball Cap
860,# 860,Light Blue,Purple,Green,Goggles,Honey,Red,Yellow Tee,Baseball Cap
861,# 861,Grey,Red,Light Blue,Glasses,Smiling,Orange,Save the Tigers,Baseball Cap
862,# 862,Red,White,Yellow,Sunglasses,Smiling,Orange,Purple Tee,Santa Hat
863,# 863,Purple,Yellow,Orange,Happy,Whistling,Purple,Referee,Santa Hat
864,# 864,Blue,Yellow,Red,Sad,Sad,Blue,White Tee,Santa Hat
865,# 865,Light Blue,Neon Green,Purple,Sad,Bubble Gum,,None,Top Hat
866,# 866,Black,Pink,Purple,Happy,Whistling,Red,Purple Tee,Astronaut Helmet
867,# 867,Yellow,Neon Green,Yellow,Sunglasses,Bloody,Orange,Yellow Tee,Baseball Cap
868,# 868,Purple,Neon Green,Orange,Wink,Bloody,Red,Black Polo,Bunny Ears
869,# 869,Purple,Pink,White,Glasses,Tongue Out,Black,White Tee,Top Hat
870,# 870,Blue,Red,Light Blue,Sad,Sad,Red,Yellow Tee,None
871,# 871,Yellow,Red,Blue,Tropical Shades,Tongue Out,Green,White Polo,Baseball Cap
872,# 872,Yellow,Blue,Black,Glasses,Whistling,Orange,Referee,Afro
873,# 873,Purple,Red,White,Spooked,Sad,Red,None,Bunny Ears
874,# 874,Light Blue,Orange,Light Blue,Sad,Sad,Blue,Referee,Tricorn
875,# 875,Pink,Orange,Yellow,Spooked,Whistling,Blue,Referee,Clown Hair
876,# 876,Black,Neon Green,Red,Glasses,Lip Bite,Clown Nose,Green Tee,Bunny Ears
877,# 877,Blue,Orange,Purple,Goggles,Whistling,Purple,Purple Tee,Cowboy Hat
878,# 878,Purple,Blue,Red,Sad,Yawning,Clown Nose,Purple Tee,None
879,# 879,Green,Black,Yellow,Angry,Lip Bite,Green,Black Polo,Santa Hat
880,# 880,Blue,Blue,Green,Spooked,Smiling,Purple,Red Polo,None
881,# 881,Purple,Yellow,Pink,Wink,Sad,Green,White Polo,Baseball Cap
882,# 882,Yellow,Blue,Black,Sad,Smiling,Purple,Referee,Cowboy Hat
883,# 883,Blue,Purple,White,Happy,Whistling,Orange,Yellow Tee,Top Hat
884,# 884,Yellow,Yellow,Green,Sunglasses,Sad,Clown Nose,None,Santa Hat
885,# 885,Purple,Yellow,Black,Sad,Tongue Out,Black,White Polo,None
886,# 886,Grey,Green,Green,Happy,Yawning,Clown Nose,Purple Tee,Top Hat
887,# 887,Black,Blue,Purple,Happy,Tongue Out,Purple,Bra,Cowboy Hat
888,# 888,Pink,Green,Blue,Sad,Bloody,Clown Nose,None,Bunny Ears
889,# 889,Blue,Green,Yellow,Tropical Shades,Cigarette,Orange,White Polo,Cowboy Hat
890,# 890,Beige,Green,Blue,Angry,Smiling,Black,Suit & Tie,Top Hat
891,# 891,Red,Purple,Red,Spooked,Yawning,Black,None,Afro
892,# 892,Yellow,Neon Green,Blue,Glasses,Honey Comb,Black,Yellow Tee,Baseball Cap
893,# 893,Yellow,Pink,Yellow,Tired,Tongue Out,Red,Black Polo,Baseball Cap
894,# 894,Purple,Neon Green,Pink,Eye Patch,Honey,Clown Nose,White Tee,Afro
895,# 895,Violet,White,Red,Glasses,Yawning,Green,Purple Tee,Afro
896,# 896,Purple,Green,Orange,Sad,Gold Teeth,Orange,Purple Tee,Top Hat
897,# 897,Purple,Pink,Yellow,Happy,Lip Bite,Green,Blue Tee,Baseball Cap
898,# 898,Blue,Pink,Yellow,Tired,Cigarette,Black,Black Polo,Afro
899,# 899,Red,Neon Green,Yellow,Glasses,Tongue Out,Green,Yellow Tee,Bunny Ears
900,# 900,Light Blue,Yellow,Green,Happy,Steak,Blue,None,None
901,# 901,Blue,Purple,Blue,Tired,Yawning,Orange,White Polo,None
902,# 902,Blue,Blue,Pink,Tired,Lip Bite,Purple,Purple Tee,Afro
903,# 903,Yellow,Orange,Blue,Sad,Whistling,Orange,Black Polo,Baseball Cap
904,# 904,Green,Red,Black,Spooked,Smiling,Black,Black Polo,Cowboy Hat
905,# 905,Blue,Neon Green,White,Happy,Lip Bite,Orange,Black Polo,Santa Hat
906,# 906,Green,Orange,Green,Happy,Toothpick,Clown Nose,Red Polo,None
907,# 907,Blue,Orange,Orange,Spooked,Sad,Black,White Polo,Afro
908,# 908,Purple,Neon Green,Blue,Tired,Lip Bite,Black,Purple Tee,Baseball Cap
909,# 909,Violet,Black,Purple,Spooked,Standard,Black,Black Polo,Baseball Cap
910,# 910,Red,Blue,Blue,Glasses,Pipe,Purple,White Polo,Horns
911,# 911,Blue,Orange,Yellow,Happy,Sad,Red,White Tee,Afro
912,# 912,Light Blue,White,Light Blue,Angry,Honey Comb,Orange,None,Baseball Cap
913,# 913,Red,Neon Green,Green,Glasses,Sad,Purple,Black Polo,Bunny Ears
914,# 914,Blue,Black,Orange,Spooked,Sad,Blue,Red Polo,Bunny Ears
915,# 915,Yellow,Orange,Yellow,Sunglasses,Tongue Out,Orange,Blue Tee,Fishing Hat
916,# 916,Blue,Red,Purple,Tired,Lip Bite,Purple,Red Polo,Tricorn
917,# 917,Purple,Black,Yellow,Happy,Whistling,Green,Police Uniform,Bunny Ears
918,# 918,Violet,Yellow,Black,Tired,Tongue Out,Green,White Tee,Astronaut Helmet
919,# 919,Violet,Green,Pink,Eye Patch,Smiling,Orange,Black Polo,Santa Hat
920,# 920,Purple,Yellow,White,Glasses,Yawning,Green,Purple Tee,None
921,# 921,Blue,Blue,White,Happy,Whistling,Red,Blue Tee,Cowboy Hat
922,# 922,Pink,Pink,Red,Happy,Bloody,Orange,None,Afro
923,# 923,Purple,Pink,Pink,Spooked,Yawning,Purple,White Tee,Cowboy Hat
924,# 924,Blue,Purple,White,Angry,Bloody,Black,Blue Tee,Santa Hat
925,# 925,Purple,Orange,Purple,Sad,Sad,Purple,Green Tee,Fishing Hat
926,# 926,Yellow,Orange,Orange,Eye Patch,Whistling,Purple,Yellow Tee,Fishing Hat
927,# 927,Pink,Orange,Pink,Sunglasses,Tongue Out,Black,Yellow Tee,Astronaut Helmet
928,# 928,Grey,Yellow,Purple,Spooked,Yawning,Purple,Blue Tee,Bunny Ears
929,# 929,Blue,Green,Red,Sunglasses,Whistling,Purple,White Tee,Cowboy Hat
930,# 930,Yellow,Blue,Black,Happy,Honey Comb,Clown Nose,Purple Tee,Santa Hat
931,# 931,Yellow,Pink,Green,Happy,Sad,Clown Nose,Yellow Tee,Santa Hat
932,# 932,Yellow,Yellow,Green,Angry,Pipe,Green,Green Tee,Tricorn
933,# 933,Green,Green,Green,Spooked,Honey Comb,Green,Green Tee,Cowboy Hat
934,# 934,Purple,Black,Pink,Eye Patch,Lip Bite,Purple,Black Polo,Santa Hat
935,# 935,Purple,Red,Red,Angry,Tongue Out,Red,Referee,Cowboy Hat
936,# 936,Pink,Orange,Red,Glasses,Yawning,Purple,Green Tee,Fishing Hat
937,# 937,Pink,Blue,Red,Sunglasses,Lip Bite,Green,Purple Tee,Cowboy Hat
938,# 938,Violet,Purple,Orange,Sunglasses,Yawning,Green,Police Uniform,Bunny Ears
939,# 939,Green,Red,Yellow,Sad,Steak,Clown Nose,Blue Tee,Pirate Hat
940,# 940,Black,White,Yellow,Spooked,Gold Teeth,Clown Nose,None,None
941,# 941,Yellow,Orange,Pink,Angry,Bloody,Red,Blue Tee,None
942,# 942,Blue,Pink,Blue,Sad,Smiling,Red,None,Tricorn
943,# 943,Black,Purple,Red,Spooked,Yawning,Purple,Green Tee,Fishing Hat
944,# 944,Blue,Green,Orange,Tropical Shades,Sad,Orange,Blue Tee,Baseball Cap
945,# 945,Red,Yellow,Light Blue,Sad,Tongue Out,Orange,Green Tee,Cowboy Hat
946,# 946,Green,Orange,Purple,Sad,Whistling,Black,None,Baseball Cap
947,# 947,Red,Pink,Yellow,Happy,Smiling,Black,Scientist,Top Hat
948,# 948,Yellow,Yellow,Red,Tired,Tongue Out,Green,Black Polo,Top Hat
949,# 949,Purple,Red,Purple,Angry,Bloody,Purple,Yellow Tee,Bunny Ears
950,# 950,Pink,Orange,Light Blue,Spooked,Yawning,Purple,None,Bunny Ears
951,# 951,Purple,Red,Green,Sad,Tongue Out,Purple,Black Polo,Pirate Hat
952,# 952,Black,Red,Red,Sunglasses,Lip Bite,Green,None,Fishing Hat
953,# 953,Beige,Yellow,Yellow,Tired,Standard,Black,Blue Tee,Santa Hat
954,# 954,Yellow,Orange,Red,Crying,Honey Comb,Orange,Green Tee,None
955,# 955,Light Blue,White,Black,Happy,Sad,Purple,Yellow Tee,Afro
956,# 956,Black,Neon Green,Pink,Happy,Blunt,Black,Yellow Tee,Save the Tigers
957,# 957,Yellow,Blue,Green,Glasses,Honey Comb,Black,White Tee,None
958,# 958,Green,Red,Orange,Spooked,Tongue Out,Red,Black Polo,Fishing Hat
959,# 959,Beige,Green,Red,Angry,Tongue Out,Orange,Black Polo,Spinner Hat
960,# 960,Yellow,Black,Orange,Tired,Yawning,Green,Purple Tee,Tricorn
961,# 961,Purple,Orange,White,Glasses,Honey Comb,Black,Yellow Tee,Afro
962,# 962,Pink,Orange,Purple,Sunglasses,Gold Teeth,Black,Green Tee,None
963,# 963,Purple,Purple,Pink,Eye Patch,Sad,Clown Nose,White Tee,Santa Hat
964,# 964,Grey,Purple,Orange,Sad,Bloody,Orange,Purple Tee,Bunny Ears
965,# 965,Black,Orange,Purple,Spooked,Honey,Black,Black Polo,Clown Hair
966,# 966,Grey,Purple,Orange,Sad,Yawning,Green,Referee,Fishing Hat
967,# 967,Purple,Blue,Red,Spooked,Sad,Green,White Tee,Pirate Hat
968,# 968,Green,Black,Orange,Tropical Shades,Bloody,Clown Nose,Yellow Tee,Santa Hat
969,# 969,Purple,Red,Orange,Spooked,Lip Bite,Green,Blue Tee,Top Hat
970,# 970,Blue,Yellow,Yellow,Sad,Sad,Red,White Tee,Tricorn
971,# 971,Grey,Neon Green,White,Happy,Sad,Red,None,Santa Hat
972,# 972,Pink,Orange,Pink,Spooked,Tongue Out,Purple,White Tee,Bunny Ears
973,# 973,Blue,Pink,Green,Tired,Yawning,Green,Police Uniform,Fishing Hat
974,# 974,Purple,Red,Black,Spooked,Whistling,Green,Green Tee,Cowboy Hat
975,# 975,Grey,Yellow,Black,Spooked,Yawning,Blue,Yellow Tee,Baseball Cap
976,# 976,Yellow,Neon Green,Yellow,Sunglasses,Whistling,Orange,None,Baseball Cap
977,# 977,Purple,Red,Red,Spooked,Bloody,Purple,White Polo,None
978,# 978,Blue,Yellow,Yellow,Glasses,Tongue Out,Orange,None,None
979,# 979,Grey,Red,Pink,Tired,Whistling,Purple,White Polo,Bunny Ears
980,# 980,Blue,Green,Yellow,Angry,Smiling,Purple,Yellow Tee,Top Hat
981,# 981,Yellow,Purple,Light Blue,Happy,Sad,Purple,White Tee,Baseball Cap
982,# 982,Purple,Black,Black,Sad,Tongue Out,Purple,Blue Tee,Cowboy Hat
983,# 983,Green,Blue,Red,Sunglasses,Yawning,Orange,Purple Tee,Santa Hat
984,# 984,Light Blue,Blue,Black,Tired,Tongue Out,Purple,Blue Tee,Cowboy Hat
985,# 985,Green,Pink,Red,Glasses,Lip Bite,Green,Green Tee,None
986,# 986,Purple,Blue,Purple,Spooked,Honey Comb,Red,Purple Tee,Fishing Hat
987,# 987,Yellow,Blue,Blue,Glasses,Honey,Purple,Black Polo,Tricorn
988,# 988,Pink,Pink,Light Blue,Glasses,Whistling,Blue,Bra,Pirate Hat
989,# 989,Blue,Green,Yellow,3D Glasses,Yawning,Purple,White Polo,Cowboy Hat
990,# 990,Red,Pink,Purple,Tired,Sad,Green,Purple Tee,Horns
991,# 991,Blue,White,Light Blue,Spooked,Honey Comb,Blue,Red Polo,Astronaut Helmet
992,# 992,Yellow,Neon Green,Red,Angry,Standard,Purple,White Polo,Top Hat
993,# 993,Blue,Blue,Black,Angry,Smiling,Blue,Red Polo,Astronaut Helmet
994,# 994,Yellow,Red,Yellow,Glasses,Smiling,Orange,Yellow Tee,Afro
995,# 995,Purple,Green,Green,Angry,Lip Bite,Green,Yellow Tee,Santa Hat
996,# 996,Yellow,Green,Pink,Angry,Yawning,Orange,Suit & Tie,None
997,# 997,Black,Red,Green,Tired,Whistling,Orange,Yellow Tee,Santa Hat
998,# 998,Pink,Green,Red,Happy,Bloody,Clown Nose,Green Tee,Fishing Hat
999,# 999,Red,Purple,Pink,Glasses,Honey Comb,Purple,Yellow Tee,Bunny Ears
1000,# 1000,Blue,White,Red,Happy,Bloody,Green,Black Polo,Pirate Hat
1001,# 1001,Red,Purple,Pink,Crying,Yawning,Clown Nose,Yellow Tee,Top Hat
1002,# 1002,Yellow,Blue,White,Eye Patch,Honey Comb,Orange,White Tee,Pirate Hat
1003,# 1003,Black,Black,Black,Happy,Cigarette,Blue,Blue Tee,Baseball Cap
1004,# 1004,Grey,Orange,Purple,Spooked,Sad,Blue,Red Polo,Fishing Hat
1005,# 1005,Yellow,Green,Orange,Tired,Yawning,Green,Blue Tee,Top Hat
1006,# 1006,Blue,Red,Green,Sunglasses,Yawning,Purple,Referee,Pirate Hat
1007,# 1007,Grey,Orange,Orange,Happy,Sad,Orange,Green Tee,Astronaut Helmet
1008,# 1008,Yellow,Purple,Blue,Sad,Tongue Out,Red,Green Tee,Pirate Hat
1009,# 1009,Grey,Blue,Orange,Sunglasses,Yawning,Red,Green Tee,Bunny Ears
1010,# 1010,Yellow,Purple,Red,Crying,Tongue Out,Orange,Green Tee,Bunny Ears
1011,# 1011,Purple,Green,Green,Sunglasses,Lip Bite,Clown Nose,Blue Tee,Astronaut Helmet
1012,# 1012,Purple,Blue,Pink,Sunglasses,Sad,Purple,Black Polo,Pirate Hat
1013,# 1013,Purple,Black,Green,Tired,Smiling,Orange,None,Spinner Hat
1014,# 1014,Green,Neon Green,Green,Spooked,Tongue Out,Red,Black Polo,Fishing Hat
1015,# 1015,Red,Neon Green,Yellow,Eye Patch,Face Mask,,Yellow Tee,Top Hat
1016,# 1016,Violet,Pink,Black,Happy,Bubble Gum,,Purple Tee,Santa Hat
1017,# 1017,Yellow,Red,Purple,Sunglasses,Sad,Purple,Red Polo,Bunny Ears
1018,# 1018,Grey,Black,Black,Sad,Bloody,Orange,None,Cowboy Hat
1019,# 1019,Black,Orange,Black,Spooked,Bubble Gum,,Purple Tee,Astronaut Helmet
1020,# 1020,Blue,Red,Blue,Spooked,Tongue Out,Red,White Polo,Baseball Cap
