TOKEN_ID,TOKEN_NAME,Background,Bust,Head,Helmet,BustCover,Eyes,BaseDetail,Detail,EyesAccessory
759,Angry Ape #0759,bg 20,blue goth bust,head og,,stripe shirt joker,,,,
760,Angry Ape #0760,bg 57,original bust,head white tribe,gas mask_02,dune red,,,,
761,Angry Ape #0761,bg 23,original bust,head two face 2,cyber helmet alpha,dune red,,,,
762,Angry Ape #0762,bg 18,orange bust,head og,cyber helmet alpha,bullet vest camo,,,,
763,Angry Ape #0763,bg 41,yellow bust,head sage vapor,scifi orange antennae mask shield,japanese soldier armor,,,,
764,Angry Ape #0764,bg 50,invert green bust,head checkered black white,,,,,,
765,Angry Ape #0765,bg 64,neon green bust,head black contrast,,,eyes happy,,,
766,Angry Ape #0766,bg 12,death bust,head blue bleached,,,,,nose ring,
767,Angry Ape #0767,bg 3,aboriginal soldier bust,head sage vapor,samurai soldier helmet,japanese soldier armor,eyes glow yellow,,,
768,Angry Ape #0768,bg 10,orange bust,head neon pink og,devil horns red,,eyes glow red,,,
769,Angry Ape #0769,bg 30,original bust,head sage vapor,,mad max armor,,,,
770,Angry Ape #0770,bg 35,original bust,head green red,head mech left side,suspenders green,,,,
771,Angry Ape #0771,bg 64,original bust,head two face 2,elk horns red,mad max armor,,,,
772,Angry Ape #0772,bg 36,invert hyper green bust,head metropolitan,,,,,,
773,Angry Ape #0773,bg 48,yellow bust,head hyper orange,cyber helmet alpha,mad steel vest,,,earrings horns,
774,Angry Ape #0774,bg 5,aboriginal dance bust,head blue,gas mask_02,mad leather vest brown,,,,
775,Angry Ape #0775,bg 23,purple blue bust,head og,sith lord 6 horns magenta,,,,,
776,Angry Ape #0776,bg 28,invert green bust,head light blue vapor,,mad rambo,,,,
777,Angry Ape #0777,bg 38,invert black bust,head og,horns,mad max armor,,headband black,,
778,Angry Ape #0778,bg 53,magenta bust,head og,hellboy red horns,,,,,
779,Angry Ape #0779,bg 14,aboriginal general bust,head teal skin,,,eyes glow lime,,,
780,Angry Ape #0780,bg 51,blue goth bust,head black desat,deer horns,mad rambo,eyes glow red,,,
781,Angry Ape #0781,bg 57,original bust,head black contrast,,shirt red,eyes glow green,,,
782,Angry Ape #0782,bg 36,yellow bust,head og,,,,,,
783,Angry Ape #0783,bg 12,magenta bust,head striped orange green,,japanese soldier armor,,,,eyes lightning green
784,Angry Ape #0784,bg 13,magenta bust,head sherbert bust,jello orange,warrior runt grey,eyes magenta,,,
785,Angry Ape #0785,bg 56,white yellow bust,head magenta og,skull mask red,sci fi soldier dust,,,,
786,Angry Ape #0786,bg 15,aboriginal dance bust,head yellow orange skin,,bullet vest camo,,,,
787,Angry Ape #0787,bg 29,orange bust,head blue wave skin,,,,,,eyes lightning blue
788,Angry Ape #0788,bg 67,original bust,head orange rainbow vapor,,,eyes red,,,
789,Angry Ape #0789,bg 36,two face bust 2,head checkered sage white,deer horns,assym belt brown,,,,
790,Angry Ape #0790,bg 14,teal orange bust,head striped light blue dark blue,skull mask red,mad left shoulder leather brown,,,,
791,Angry Ape #0791,bg 1,psyche bust,head checkered sage white,sith lord 6 horns red,,eyes magenta,,,
792,Angry Ape #0792,bg 61,orange bust,head yellow teal skin,horns,assym belt brown,,,,
793,Angry Ape #0793,bg 52,aboriginal general bust,head checkered brown black,,,,,,
794,Angry Ape #0794,bg 38,magenta bust,head yellow bleached,greek helmet,,eyes glow blue,,,
795,Angry Ape #0795,bg 57,blue goth bust,head striped light blue dark blue,medival soldier helmet,shirt teal,,,,
796,Angry Ape #0796,bg 8,rainbow pop bust,head checkered red orange,,,,,,
797,Angry Ape #0797,bg 10,velvet stripe bust,head og,scifi blue antennae shield,mad left shoulder leather brown,,,,
798,Angry Ape #0798,bg 37,psyche bust,head og,sith lord 6 horns magenta,dune suit,,,,
799,Angry Ape #0799,bg 37,yellow blue bust,head neon green skin,sith lord 4 horns blue,mad suspenders black,,,,
800,Angry Ape #0800,bg 10,neon green bust,head yellow teal skin,demon mask jaw black,,,,cigarette,eyes lightning green
801,Angry Ape #0801,bg 29,rainbow pop bust,head magenta og,,,,,,
802,Angry Ape #0802,bg 17,mixed camo bust,head green red,roman helmet,japanese soldier armor,eyes glow green,,,
803,Angry Ape #0803,bg 26,original bust,head checkered green sage,mongol mohawk helmet,warrior runt brown,eyes magenta,,,
804,Angry Ape #0804,bg 57,orange bust,head neon pink blue skin,,,,terminator skull full,,
805,Angry Ape #0805,bg 47,blue goth bust,head circle tribe,greek helmet,,eyes glow lime,,,
806,Angry Ape #0806,bg 16,neon green bust,head deep blue vapor,jello orange,bullet vest camo,eyes glow yellow,,,
807,Angry Ape #0807,bg 4,aboriginal shaman bust,head yellow bleached,cyber helmet blue,dark knight armor,,,,
808,Angry Ape #0808,bg 6,invert faded bust,head og,skull mask red teal,karate white,,,,
809,Angry Ape #0809,bg 44,psyche bust,head purple skin,,,eyes scar,,,
810,Angry Ape #0810,bg 30,original bust,head og,,,eyes glow magenta,,,
811,Angry Ape #0811,bg 56,invert blue bust,head pink vapor,,,,,,
812,Angry Ape #0812,bg 45,checkered blue black bust,head hyper orange,,,,,,
813,Angry Ape #0813,bg 37,invert black bust,head og,samurai soldier helmet,,eyes happy,,,
814,Angry Ape #0814,bg 7,teal orange bust,head triangle white,mongol mohawk helmet,shirt blue,,,,
815,Angry Ape #0815,bg 33,original bust,head triangle red,,,,,,
816,Angry Ape #0816,bg 52,neon green bust,head pink bleached,headphones black,,,,,
817,Angry Ape #0817,bg 19,metropolitan bust,head magenta og,scifi white antennae helmet,,,,,
818,Angry Ape #0818,bg 17,green blue stripe bust,head og,,,eyes magenta,,,
819,Angry Ape #0819,bg 66,mixed camo bust,head og,,cyborg orange,,,,
820,Angry Ape #0820,bg 60,yellow bust,head striped blue yellow magenta,demon mask jaw black,shirt mustard,eyes green,,,
821,Angry Ape #0821,bg 33,metropolitan bust,head green skin,,mad steel vest,,,,patch x
822,Angry Ape #0822,bg 8,orange bust,head electric blue vapor,,cyborg white,,,,
823,Angry Ape #0823,bg 49,teal white stripe bust,head black desat,,,,,,
824,Angry Ape #0824,bg 35,original bust,head green red,,sci fi soldier dust,,,,
825,Angry Ape #0825,bg 51,yellow bust,head green blue,jello green,sci fi soldier dust,,,,
826,Angry Ape #0826,bg 66,sherbert bust,head hyper yellow,,japanese soldier armor,eyes green,,,
827,Angry Ape #0827,bg 44,mixed pink blue bust,head rainbow pop,elk horns red,sci fi soldier orange,,,,
828,Angry Ape #0828,bg 40,neon sherbert bust,head triangle red,cyber helmet yellow,,,,,
829,Angry Ape #0829,bg 60,neon sherbert bust,head striped yellow blue,,,,,nose bone,
830,Angry Ape #0830,bg 17,sherbert bust,head striped blue magenta blue skin,,,,,,
831,Angry Ape #0831,bg 53,original bust,head blue pink vapor,,,,,,
832,Angry Ape #0832,bg 62,rainbow pop bust,head white hand,deer horns,mad suspenders black,,,,
833,Angry Ape #0833,bg 14,acid green orange bust,head white vapor,,,eyes red,,,
834,Angry Ape #0834,bg 2,two face bust,head og,,mongol red soldier,,,,
835,Angry Ape #0835,bg 54,white yellow bust,head two face,,suspenders green,,,,
836,Angry Ape #0836,bg 39,original bust,head white washed,,,,,,
837,Angry Ape #0837,bg 12,psyche bust,head magenta bleached,,suspenders dust,,headband red,,
838,Angry Ape #0838,bg 35,checkered black white bust,head og,,stripe shirt freddy,,,,eyes lightning green
839,Angry Ape #0839,bg 36,original bust,head pink bleached,space suit,sci fi soldier dust,,,,
840,Angry Ape #0840,bg 54,neon green bust,head black contrast,space suit,mad steel vest,,,,
841,Angry Ape #0841,bg 16,sherbert bust,head checkered red magenta,,bullet vest camo,eyes magenta,,,
842,Angry Ape #0842,bg 5,purple blue bust,head camo,,,,,,
843,Angry Ape #0843,bg 64,yellow blue bust,head blue tribe,space suit,,,,,
844,Angry Ape #0844,bg 11,neon green bust,head neon pink og,,mad rambo,,,,
845,Angry Ape #0845,bg 12,invert hyper green bust,head circle tribe,,,,,,
846,Angry Ape #0846,bg 42,psyche bust,head green bleached,,sci fi soldier orange,,,,
847,Angry Ape #0847,bg 8,original bust,head yellow orange skin,scifi white antennae helmet mask,,eyes red,,,
848,Angry Ape #0848,bg 46,checkered black white bust,head striped white green,,stripe shirt joker,,,,
849,Angry Ape #0849,bg 12,yellow bust,head blue bleached,,,,,,
850,Angry Ape #0850,bg 47,neon green bust,head tribal warrior,WW1 helmet,bullet vest camo,,,,
851,Angry Ape #0851,bg 62,neon sherbert bust,head two face 2,roman helmet,,,,,
852,Angry Ape #0852,bg 35,neon green bust,head green magenta,,,,,,
853,Angry Ape #0853,bg 48,metropolitan bust,head 3 orange,deer horns,,,,,
854,Angry Ape #0854,bg 17,aboriginal shaman bust,head bloody hand,,,eyes red,,,
855,Angry Ape #0855,bg 54,checkered blue black bust,head green red,,,,,,
856,Angry Ape #0856,bg 67,sherbert bust,head green magenta,elk horns yellow,suspenders black,,,nose bone,
857,Angry Ape #0857,bg 16,orange bust,head neon orange og,gas mask,mad suspenders black,,,,
858,Angry Ape #0858,bg 19,neon green bust,head green skin,barbarian horn helmet,,,,,
859,Angry Ape #0859,bg 53,sherbert bust,head bloody warrior,skull mask,mad left shoulder leather red,,,,
860,Angry Ape #0860,bg 10,yellow bust,head checkered green sage,,sci fi soldier orange,,,,
861,Angry Ape #0861,bg 13,original bust,head seaweed vapor,,warrior runt grey,,headband black,,
862,Angry Ape #0862,bg 13,blue goth bust,head blue bleached,,sci fi soldier orange,eyes magenta,,,
863,Angry Ape #0863,bg 34,magenta bust,head amazonian soldier,cyber helmet blue,,,,,
864,Angry Ape #0864,bg 20,green blue stripe bust,head yellow og skin,,karate black,,,,
865,Angry Ape #0865,bg 54,purple blue bust,head og,WW1 helmet,,,,,
866,Angry Ape #0866,bg 17,white red bust,head green red,,shirt white,,,,
867,Angry Ape #0867,bg 26,neon green bust,head green bleached,devil horns black,mad steel vest,,headband black,,
868,Angry Ape #0868,bg 56,teal white stripe bust,head green magenta,WW1 helmet,bullet vest camo,,,,
869,Angry Ape #0869,bg 15,rainbow pop bust,head magenta bleached,,mad double shoulder spike,,,,
870,Angry Ape #0870,bg 4,original bust,head og,hellboy blue horns,mad suspenders black,eyes red,,,
871,Angry Ape #0871,bg 23,orange bust,head bloody shaman,,,,,,
872,Angry Ape #0872,bg 34,teal orange bust,head electric blue vapor,,mad double shoulder leather brown,eyes green,,,
873,Angry Ape #0873,bg 57,rainbow pop bust,head og,demon mask jaw red,suspenders black,,,,
874,Angry Ape #0874,bg 13,original bust,head og,,dune red,,terminator skull right,,
875,Angry Ape #0875,bg 6,blue orange bust,head amazonian soldier,,,eyes glow magenta,,,
876,Angry Ape #0876,bg 7,orange bust,head striped white yellow,,,,,,
877,Angry Ape #0877,bg 24,invert faded bust,head yellow og skin,headphones blue orange,,,,,
878,Angry Ape #0878,bg 53,original bust,head black desat,bandana yellow,suspenders dust,,,,
879,Angry Ape #0879,bg 24,orange bust,head og,,bullet vest camo,,,cigarette,
880,Angry Ape #0880,bg 9,yellow bust,head two face,,,,,,
881,Angry Ape #0881,bg 52,two face bust,head og,,,,,,
882,Angry Ape #0882,bg 37,aboriginal soldier bust,head neon pink yellow skin,jello blue,sci fi soldier orange,eyes glow green,,,
883,Angry Ape #0883,bg 34,original bust,head striped white teal,,mad steel vest,,,nose bone,
884,Angry Ape #0884,bg 33,mixed pink blue bust,head orange wave skin,,,,,,
885,Angry Ape #0885,bg 9,aboriginal soldier bust,head white tribe,,suspenders green,,,,
886,Angry Ape #0886,bg 37,two face bust,head sherbert bust,sith lord 6 horns red,,,,oxygen hose,
887,Angry Ape #0887,bg 56,yellow bust,head blue wave skin,,,eyes green,,,
888,Angry Ape #0888,bg 3,yellow bust,head og,samurai soldier helmet,assym belt black,,,nose ring large,eyes lightning yellow
889,Angry Ape #0889,bg 19,blue white stripe bust,head white washed,elk horns yellow,suspenders black,eyes green,,,
890,Angry Ape #0890,bg 39,psyche bust,head triangle red,,,,,,
891,Angry Ape #0891,bg 27,original bust,head red skin,scifi blue antennae mask shield,bullet vest camo,,,nose bone,
892,Angry Ape #0892,bg 68,yellow bust,head striped blue orange,,stripe shirt joker,,,,
893,Angry Ape #0893,bg 68,teal white stripe bust,head checkered red blue,,stripe shirt freddy,,,,
894,Angry Ape #0894,bg 16,orange bust,head dark blue,sith lord 6 horns magenta,japanese soldier armor,,,,
895,Angry Ape #0895,bg 42,original bust,head blood orange blue,,,,,,
896,Angry Ape #0896,bg 11,rainbow pop bust,head electric blue vapor,horns,cyborg orange,,AAA headband blue,,
897,Angry Ape #0897,bg 53,original bust,head hyper orange,,,eyes magenta,,,
898,Angry Ape #0898,bg 14,neon sherbert bust,head checkered red green,,,,,,
899,Angry Ape #0899,bg 7,orange bust,head black contrast,,,,,,
900,Angry Ape #0900,bg 23,goth bust,head green magenta,bandana white,,,,,
901,Angry Ape #0901,bg 68,white yellow bust,head light orange vapor,cyber helmet blue,,,,,
902,Angry Ape #0902,bg 42,orange bust,head rainbow pop,,,eyes red,,,
903,Angry Ape #0903,bg 61,orange bust,head bloody priest,jello blue,,,,,
904,Angry Ape #0904,bg 48,magenta bust,head sherbert bust,demon mask jaw yellow,,,,,
905,Angry Ape #0905,bg 66,mixed camo bust,head magenta og,sith lord 6 horns magenta,suspenders green,,,,
906,Angry Ape #0906,bg 17,blue goth bust,head neon pink og,,mad left shoulder leather brown,,,,
907,Angry Ape #0907,bg 9,aboriginal general bust,head white priest,devil horns red,warrior runt red,,,oxygen hose,
908,Angry Ape #0908,bg 44,mixed pink blue bust,head bloody shaman,demon mask troll red,,eyes glow green,,,
909,Angry Ape #0909,bg 64,death bust,head striped white purple,,,eyes glow green,,,
910,Angry Ape #0910,bg 11,teal orange bust,head checkered red green,headphones black,bullet vest camo,,,,
911,Angry Ape #0911,bg 10,blue white stripe bust,head black desat,,sci fi soldier dust,eyes glow yellow,,,
912,Angry Ape #0912,bg 51,psyche bust,head green magenta,cyber helmet yellow,,,,,
913,Angry Ape #0913,bg 48,two face bust 2,head white vapor,scifi blue antennae helmet shield,,eyes magenta dizzy,,,
914,Angry Ape #0914,bg 23,orange bust,head deep blue vapor,jello orange,,,,,
915,Angry Ape #0915,bg 9,aboriginal shaman bust,head camo grey,scifi blue antennae shield,sci fi soldier orange,eyes green,,,
916,Angry Ape #0916,bg 15,original bust,head neon teal vapor,,,,,,
917,Angry Ape #0917,bg 30,original bust,head two face 2,roman helmet,,eyes glow blue,,,
918,Angry Ape #0918,bg 4,white red bust,head blue wave skin,demon mask troll red,assym belt black,,,,
919,Angry Ape #0919,bg 2,invert faded bust,head og,,sci fi soldier dust,,,,
920,Angry Ape #0920,bg 28,original bust,head bloody shaman,,,,,,
921,Angry Ape #0921,bg 27,original bust,head dark blue,,mad left shoulder leather red,,,,
922,Angry Ape #0922,bg 52,magenta bust,head mixed pink blue,horns,shoulder guard copper,,,,
923,Angry Ape #0923,bg 20,original bust,head white red,,,,,,
924,Angry Ape #0924,bg 8,orange bust,head green blue,medival soldier helmet,,eyes magenta dizzy,,,
925,Angry Ape #0925,bg 6,neon green bust,head hyper teal,spin hat,warrior runt red,,,,
926,Angry Ape #0926,bg 46,psyche bust,head teal skin,man bun,suspenders green,eyes glow yellow,,,
927,Angry Ape #0927,bg 17,two face bust,head green bleached,jello orange,shirt black,,,,
928,Angry Ape #0928,bg 39,rainbow pop bust,head white dark,,,,,,
929,Angry Ape #0929,bg 40,original bust,head black desat,,mad leather vest brown,,,,
930,Angry Ape #0930,bg 66,sherbert bust,head joker,head mech left side,mad suspenders black,,,,
931,Angry Ape #0931,bg 59,orange bust,head blue bleached,jello orange,,eyes scar,,,
932,Angry Ape #0932,bg 42,invert faded bust,head blue tribe,deer horns,,,,,
933,Angry Ape #0933,bg 51,white magenta bust,head neon teal vapor,skull mask,bullet vest camo,,,,
934,Angry Ape #0934,bg 3,yellow bust,head electric blue vapor,hellboy blue horns,,,,,
935,Angry Ape #0935,bg 42,two face bust 2,head og,jello blue,,eyes glow magenta,,,
936,Angry Ape #0936,bg 14,magenta bust,head black contrast,,,eyes glow blue,,,
937,Angry Ape #0937,bg 54,yellow bust,head white hand,skull mask red,stripe shirt paris,,terminator skull right,,
938,Angry Ape #0938,bg 21,green stripe bust,head electric blue vapor,,bullet vest camo,eyes glow magenta,,,
939,Angry Ape #0939,bg 23,purple blue bust,head neon green skin,medival soldier helmet,,,,,
940,Angry Ape #0940,bg 40,neon green bust,head sage vapor,WW1 helmet,,,,,
941,Angry Ape #0941,bg 47,aboriginal dance bust,head checkered sage white,greek helmet,bullet vest camo,,,,
942,Angry Ape #0942,bg 15,checkered blue black bust,head checkered red green,demon mask jaw black,,,,,
943,Angry Ape #0943,bg 33,purple blue bust,head og,,,,,,
944,Angry Ape #0944,bg 11,orange bust,head og,sith lord 4 horns blue,,,,,
945,Angry Ape #0945,bg 19,magenta bust,head og,devil horns red,,,terminator full mouth,,
946,Angry Ape #0946,bg 64,original bust,head metropolitan,,shoulder guard copper,eyes happy,,,
947,Angry Ape #0947,bg 14,aboriginal dance bust,head blue skin,cyber helmet orange,mad rambo,,terminator full mouth,,
948,Angry Ape #0948,bg 33,blue orange bust,head yellow orange skin,bandana yellow,,,,,
949,Angry Ape #0949,bg 34,orange bust,head teal,gas mask,mad suspenders natural,,,,
950,Angry Ape #0950,bg 19,original bust,head blue,,,,,,
951,Angry Ape #0951,bg 48,two face bust 2,head yellow og skin,,,,headband red,,
952,Angry Ape #0952,bg 37,neon green bust,head light blue vapor,,,,,,
953,Angry Ape #0953,bg 7,original bust,head purple camo skin,mongol mohawk helmet,,,,,
954,Angry Ape #0954,bg 4,invert hyper green bust,head white tribe,,sci fi soldier orange,,,oxygen hose,
955,Angry Ape #0955,bg 7,original bust,head dark blue,,suspenders black,eyes green,,,
956,Angry Ape #0956,bg 21,original bust,head blue tribe,hellboy blue horns,japanese soldier armor,,,,
957,Angry Ape #0957,bg 33,blue white stripe bust,head checkered blue black,,sci fi soldier dust,,AAA headband red,,
958,Angry Ape #0958,bg 47,orange bust,head dark blue,sith lord 6 horns red,shoulder guard copper,,,,
959,Angry Ape #0959,bg 12,invert hyper green bust,head og,,,,,,
960,Angry Ape #0960,bg 36,blue orange bust,head seaweed vapor,scifi white mask,,,,,eyes lightning red
961,Angry Ape #0961,bg 41,orange bust,head white washed,elk horns red,dune suit scarf,,,,patch x
962,Angry Ape #0962,bg 2,sherbert bust,head green camo skin,,,,,,
963,Angry Ape #0963,bg 20,orange bust,head bloody hand,,mad steel vest,,,,
964,Angry Ape #0964,bg 47,original bust,head green blue,,,eyes happy,,small piercings,
965,Angry Ape #0965,bg 36,neon green bust,head striped white magenta,skull mask teal,,,,,
966,Angry Ape #0966,bg 65,checkered blue black bust,head green red,scifi white antennae,,,terminator full mouth,,
967,Angry Ape #0967,bg 14,invert green bust,head og,deer horns,mad shot gun shell strap,,,,
968,Angry Ape #0968,bg 18,orange bust,head green red,,,,,cigarette,
969,Angry Ape #0969,bg 45,yellow bust,head checkered red magenta,,,,,,
970,Angry Ape #0970,bg 21,checkered blue black bust,head green red,,mad rambo,,,,
971,Angry Ape #0971,bg 56,original bust,head yellow orange skin,cyber helmet blue,,,,,
972,Angry Ape #0972,bg 15,original bust,head og,medival soldier helmet,assym belt black,,,,
973,Angry Ape #0973,bg 9,original bust,head light blue vapor,cyber helmet alpha,,eyes happy,,,
974,Angry Ape #0974,bg 50,aboriginal shaman bust,head blood orange blue,,mad steel vest,,,,
975,Angry Ape #0975,bg 66,invert green bust,head blue skin,,hazmat yellow,,,,
976,Angry Ape #0976,bg 26,orange bust,head yellow og skin,bandana black,,,,,patch happy face
977,Angry Ape #0977,bg 12,death bust,head checkered red magenta,,,eyes glow green,,,
978,Angry Ape #0978,bg 37,original bust,head white red,jello orange,,eyes glow lime,,,
979,Angry Ape #0979,bg 35,magenta bust,head yellow teal skin,,assym belt brown,,,,
980,Angry Ape #0980,bg 39,teal orange bust,head checkered orange black,mongol mohawk helmet,shirt black,,,,
981,Angry Ape #0981,bg 67,aboriginal general bust,head hyper teal,,mad suspenders natural,,,,
982,Angry Ape #0982,bg 51,goth bust,head green camo skin,,shoulder guard metal,,,,
983,Angry Ape #0983,bg 7,original bust,head blue tribe,,,eyes scar,headband red,,
984,Angry Ape #0984,bg 7,yellow bust,head blood orange blue,samurai general helmet,,,,,
985,Angry Ape #0985,bg 14,goth bust,head og,sith lord 4 horns blue,,,,,
986,Angry Ape #0986,bg 41,neon green bust,head camo grey,,japanese soldier armor,eyes glow magenta,headband black,,
987,Angry Ape #0987,bg 44,magenta bust,head triangle red,,shirt teal,eyes magenta,,,
988,Angry Ape #0988,bg 8,original bust,head bloody hand,,,,,,
989,Angry Ape #0989,bg 50,magenta bust,head rainbow pop,,,,terminator left side mouth,,
990,Angry Ape #0990,bg 24,metropolitan bust,head seaweed vapor,,japanese soldier armor,,,,
991,Angry Ape #0991,bg 7,checkered black white bust,head light orange vapor,demon mask jaw black,assym belt brown,,,,
992,Angry Ape #0992,bg 67,death bust,head green red,gas mask_02,,eyes magenta,,,
993,Angry Ape #0993,bg 61,white magenta bust,head green blue,,,eyes glow lime,,,
994,Angry Ape #0994,bg 28,sherbert bust,head og,spin hat,mongol dark soldier,,,,
995,Angry Ape #0995,bg 27,teal orange bust,head hyper teal,elk horns red,suspenders black,,,,
996,Angry Ape #0996,bg 14,neon sherbert bust,head snow blue bleached,roman helmet,,,,,
997,Angry Ape #0997,bg 12,goth bust,head og,,shoulder guard metal,,,,
998,Angry Ape #0998,bg 5,neon green bust,head blood orange blue,,japanese soldier armor,,,,
999,Angry Ape #0999,bg 50,original bust,head orange rainbow vapor,,,,,,
1000,Angry Ape #1000,bg 23,orange bust,head striped white magenta,gas mask,sci fi soldier dust,,,,
1001,Angry Ape #1001,bg 51,original bust,head checkered red orange,mongol mohawk helmet,,,,,
1002,Angry Ape #1002,bg 4,original bust,head yellow og skin,,,,,,
1003,Angry Ape #1003,bg 8,acid green orange bust,head green red,,,,terminator left side mouth,,
1004,Angry Ape #1004,bg 28,invert black bust,head red skin,,,,,,
1005,Angry Ape #1005,bg 5,white red bust,head pink bleached,hellboy red horns,,eyes glow blue,,,
1006,Angry Ape #1006,bg 18,orange bust,head striped white green,space suit,,eyes scar,,,
1007,Angry Ape #1007,bg 1,neon sherbert bust,head green magenta,,suspenders black,,,,
1008,Angry Ape #1008,bg 59,amazon bust,head pink bleached,,mad suspenders black,,,,
1009,Angry Ape #1009,bg 33,metropolitan bust,head green red,demon mask jaw yellow,mad left shoulder leather brown,,,,
1010,Angry Ape #1010,bg 64,mixed pink blue bust,head green red,jello blue,,,,,
1011,Angry Ape #1011,bg 9,white magenta bust,head green red,space suit,,,,,
1012,Angry Ape #1012,bg 6,hex striped bust,head bloody hand,sith lord 6 horns red,bullet vest camo,,,,
1013,Angry Ape #1013,bg 52,mixed pink blue bust,head og,scifi white antennae helmet shield,,,,,
1014,Angry Ape #1014,bg 33,checkered blue black bust,head blue tribe,scifi orange antennae mask helmet,dune red,,,,
1015,Angry Ape #1015,bg 26,hex striped bust,head white tribe,space suit,,,,,
1016,Angry Ape #1016,bg 34,invert faded bust,head blue tribe,horns,bullet vest camo,,headband red,,
1017,Angry Ape #1017,bg 2,white red bust,head og,hellboy red horns,,eyes glow magenta,headband black,,
1018,Angry Ape #1018,bg 41,invert green bust,head black contrast,,,eyes scar,,,
1019,Angry Ape #1019,bg 15,original bust,head green blue,,,,,scar head,
1020,Angry Ape #1020,bg 19,rainbow pop bust,head triangle red,,,,,,
1021,Angry Ape #1021,bg 51,orange bust,head og,samurai soldier helmet,karate black,,,,
1022,Angry Ape #1022,bg 29,original bust,head teal vapor,cyber helmet alpha,shoulder guard metal,eyes green,,earrings horns,
1023,Angry Ape #1023,bg 57,orange bust,head og,greek helmet,,eyes glow green,,,
1024,Angry Ape #1024,bg 30,invert black bust,head triangle white,demon mask jaw yellow,mad steel vest,eyes happy,,cigarette,
1025,Angry Ape #1025,bg 47,green stripe bust,head og,demon mask troll red,,eyes glow red,,,
1026,Angry Ape #1026,bg 12,rainbow pop bust,head red skin,,assym belt brown,,,,
1027,Angry Ape #1027,bg 29,original bust,head og,,karate white,eyes magenta,,,
1028,Angry Ape #1028,bg 27,magenta bust,head hyper yellow,greek helmet,,eyes glow red,,,
1029,Angry Ape #1029,bg 66,yellow bust,head blue wave skin,skull mask,mad left shoulder leather brown,,,,
1030,Angry Ape #1030,bg 34,original bust,head orange rainbow vapor,chinese soldier,,,,,
1031,Angry Ape #1031,bg 9,yellow bust,head checkered red magenta,man bun,bullet vest camo,,,,
1032,Angry Ape #1032,bg 65,neon sherbert bust,head checkered sage white,,suspenders dust,,,small piercings,
1033,Angry Ape #1033,bg 56,yellow bust,head checkered red white,man bun,suspenders black,,,small piercings,
1034,Angry Ape #1034,bg 62,aboriginal general bust,head tribal warrior,,karate black,eyes glow green,,,
1035,Angry Ape #1035,bg 36,original bust,head green magenta,,mad left shoulder leather brown,,,,
1036,Angry Ape #1036,bg 35,original bust,head neon teal vapor,spin hat,,eyes glow red,,,
1037,Angry Ape #1037,bg 64,sherbert bust,head og,deer horns,,,,,
1038,Angry Ape #1038,bg 54,blue goth bust,head green bleached,mongol mohawk helmet,warrior runt grey,,,nose ring,
1039,Angry Ape #1039,bg 65,orange bust,head teal,demon mask jaw yellow,,,headband black,,
1040,Angry Ape #1040,bg 27,blue goth bust,head og,,troy armor,eyes glow red,,,
1041,Angry Ape #1041,bg 7,amazon bust,head striped orange green,,dark knight armor,,,,
1042,Angry Ape #1042,bg 52,original bust,head triangle red,cyber helmet orange,,,,,
1043,Angry Ape #1043,bg 2,original bust,head og,devil horns black,mad steel vest,,terminator skull left,,
1044,Angry Ape #1044,bg 16,original bust,head striped white magenta,,,,,oxygen hose,
1045,Angry Ape #1045,bg 42,invert blue bust,head white red,jello blue,,eyes magenta dizzy,,nose ring,
1046,Angry Ape #1046,bg 21,invert black bust,head checkered red magenta,,,eyes green,,,
1047,Angry Ape #1047,bg 68,original bust,head og,,chain mail,,,small piercings,
1048,Angry Ape #1048,bg 39,original bust,head og,skull mask red teal,,,,,
1049,Angry Ape #1049,bg 10,original bust,head 3 orange,chinese soldier,mad left shoulder leather red,eyes magenta dizzy,,,
1050,Angry Ape #1050,bg 37,invert faded bust,head white priest,cyber helmet alpha,,,,,
1051,Angry Ape #1051,bg 67,mixed pink blue bust,head orange wave skin,cyber helmet alpha,shirt blue,,,cigarette,
1052,Angry Ape #1052,bg 61,orange bust,head purple camo skin,demon mask troll red,mad left shoulder leather red,,,nose bone,
1053,Angry Ape #1053,bg 4,blue magenta bust,head black contrast,,japanese soldier armor,,,,
1054,Angry Ape #1054,bg 38,original bust,head hyper orange,elk horns yellow,mad steel vest,,,cigarette,
1055,Angry Ape #1055,bg 4,original bust,head neon green skin,hellboy blue horns,shirt blue,,,,eyes lightning green
1056,Angry Ape #1056,bg 1,yellow bust,head og,,,,,,
1057,Angry Ape #1057,bg 57,psyche bust,head purple purple,deer horns,,,terminator left side mouth,,
1058,Angry Ape #1058,bg 5,rainbow pop bust,head og,demon mask jaw red,mad double shoulder leather brown,,,,
1059,Angry Ape #1059,bg 26,yellow bust,head purple skin,cyber helmet yellow,,,,,
1060,Angry Ape #1060,bg 33,aboriginal dance bust,head white vapor,sith lord 6 horns red,,eyes glow yellow,,,
1061,Angry Ape #1061,bg 4,purple blue bust,head camo grey,scifi white helmet,suspenders green,,,,
1062,Angry Ape #1062,bg 38,invert faded bust,head og,,,,terminator skull right,,
1063,Angry Ape #1063,bg 8,psyche bust,head purple camo skin,,sci fi soldier orange,eyes glow magenta,,,
1064,Angry Ape #1064,bg 54,invert black bust,head two face 2,samurai soldier helmet,,,,,
