TOKEN_ID,TOKEN_NAME,animation,hair,face accessory,eyes,earrings,horns,colour scheme,halo,other accessories
2089,Imp #2089,Look left,Fisherman beanie,Eye dots,Normal Eyes,,Double horns,Ethereal Watermelon,Demon,Ice cream
2090,Imp #2090,Look right,Windy hair,Cheek O's,Normal Eyes,Moon earrings,Small horns,Berry Blossom,,Small chains
2091,Imp #2091,Float,Double poof,Tooth,VR,Moon earrings,Medium horns,Angry Flamingo,UFO,
2092,Imp #2092,Look right,Frou,Broken glasses,Yokai eyes,Cross earring,Double horns,Pink Forest,,Suit
2093,Imp #2093,Look left,Viking braids,Branch nose,Eyepatch,,Slick horns,Pink Forest,Halo,Crumpled ciggy
2094,Imp #2094,Float,T-rex,Tears,Normal Eyes,BTC earring,Tipped horns,Neon Saphire,Moon,Devil tail
2095,Imp #2095,Float,Skull headband,Cheek triangles,Normal Eyes,Rose earring,Big horns,Neon Juice,,Stars
2096,Imp #2096,Look left,Crew cut,Cheek arrow,Normal Eyes,,Slick horns,Spearmint Cherry,,Sai
2097,Imp #2097,Float,Poof,Black shades,Normal Eyes,Single earring,Small horns,Spearmint Cherry,,Nunchucks
2098,Imp #2098,Look left,Backwards cap,,Eyes closed,,Small horns,Angry Flamingo,Balloons,Turtleneck 2
2099,Imp #2099,Float,Mouse beanie,Monocle,Panda,Thick Piercings,Small horns,Angry Flamingo,,
2100,Imp #2100,Look right,Mushrooms,Cute cheeks,VR,,Spiral horns,Yin Yang,Love message,
2101,Imp #2101,Look left,Double poof,Fire beard,Yokai eyes,,Double horns,Neon Lantern,,
2102,Imp #2102,Look left,,Ring beard,Tired,BTC earring,Tipped horns,Spearmint Cherry,,Small chains
2103,Imp #2103,Float,Geisha cut,,Mask,Piercings,Branch horns,Yin Yang,Kid,
2104,Imp #2104,Look left,Hood,Branch nose,Normal Eyes,Rose earring,Slick horns,Spearmint Cherry,,Turtleneck
2105,Imp #2105,Look left,T-rex,Freckles,Eyepatch,,Split horns,Ethereal Watermelon,,Egyptian Staff
2106,Imp #2106,Look left,Triple poof,Branch nose,Empty eyes,Eth earring,Big horns,Neon Lantern,,
2107,Imp #2107,Float,Poof,Cheek O's,Eyelashes,,Thin horns,Spearmint sunset,,Sushi
2108,Imp #2108,Look left,Head arrows,Broken glasses,Normal Eyes,Top Piercings,Branch horns 2,Ethereal Watermelon,,Egyptian Staff
2109,Imp #2109,Look left,Bucket hat,Gas mask,Normal Eyes,BTC earring,Split horns,Pink Forest,Paper plane,Imp Tail
2110,Imp #2110,Float,Captain hat,,Tired,Ofuda earrings,Antlers,Cherry Tides,,Eye necklace
2111,Imp #2111,Look right,Fisherman beanie,Face bandaid,Fire pupils,Stripe earrings,Slick horns,Spearmint sunset,,Tag
2112,Imp #2112,Look left,Fisherman beanie,Freckles,VR,,Tipped horns,Ethereal Watermelon,Love message,Surrender flag
2113,Imp #2113,Look left,Desert hat,,Cyclops,,Antlers,Neon Juice,,Scarf
2114,Imp #2114,Look right,Viking braids,Rose,Eyelashes,,Small horns,Angry Flamingo,,Suit
2115,Imp #2115,Look left,Hunter hat,,Eyelashes,Goth earrings,Slick horns,Spearmint Cherry,Paper plane,Butterfly wings
2116,Imp #2116,Look right,Flower tiara,,VR,Stripe earrings,Small horns,Spearmint sunset,,Turtleneck 2
2117,Imp #2117,Float,Ninja bandana,Popsicle,Panda,,Slick horns,Spearmint sunset,Paper plane,Sword
2118,Imp #2118,Look left,Watchers,,Stubborn eyes,Stretcher,Thin horns,Neon Saphire,Halo,Rattlesnake
2119,Imp #2119,Look left,Pirate,Cute cheeks,Normal Eyes,Goth earrings,Small horns,Spearmint sunset,,Laces
2120,Imp #2120,Look left,Unicorn,,Tired,Feather earrings,Split horns,Berry Blossom,,Monk collar
2121,Imp #2121,Float,,,Panda,Piercings,Medium horns,Spearmint Cherry,Fez,Sushi
2122,Imp #2122,Float,Vine crown,Wayfarer shades,Panda,Thick Piercings,Medium horns,Spearmint Cherry,,Monk collar
2123,Imp #2123,Look left,Wild hair,Pencil,Normal Eyes,,Tipped horns,Spearmint sunset,,Monk collar
2124,Imp #2124,Float,Six dots,Disco glasses,Normal Eyes,Cyber earrings,Double horns,Pink Forest,UFO,Zen hands
2125,Imp #2125,Look right,Hairclips,Cheek arrow,Yokai eyes,Cross earring,Split horns,Neon Saphire,Balloons,
2126,Imp #2126,Look right,,Nosering,Eyes closed,Elf earrings,Medium horns,Spearmint sunset,,Stunt suit
2127,Imp #2127,Float,Parasyte,Cheek arrow,Normal Eyes,,Big horns,Ethereal Watermelon,Love message,Turtleneck
2128,Imp #2128,Float,Three striped,Face stripes,Normal Eyes,Top Piercings,Double horns,Grape lipstick,,Monk collar
2129,Imp #2129,Look right,Dual colored hair,,Normal Eyes,Rose earring,Small horns,Angry Flamingo,Moon,Turtleneck
2130,Imp #2130,Float,Cyberhalo,Aviator glasses,Stubborn eyes,Elf earrings,Medium horns,Spearmint Cherry,,Captain vest
2131,Imp #2131,Look left,Bowl cut beanie,Lolly stick,Eyes closed,Rose earring,Small horns,Spearmint sunset,,Chain
2132,Imp #2132,Float,Six dots,,Normal Eyes,Goth earrings,Thin horns,Spearmint sunset,Paper plane,Turtleneck
2133,Imp #2133,Look left,Beanie,Branch nose,Tired,Moon earrings,Slick horns,Spearmint Cherry,,Suit
2134,Imp #2134,Look left,Sapling,Broken glasses,Normal Eyes,Cyber earrings,Slick horns,Spearmint Cherry,,Captain vest
2135,Imp #2135,Look right,Mouse beanie,Branch nose,Panda,Diagonal piercings,Slick horns,Spearmint sunset,,Aux Cables
2136,Imp #2136,Look right,Rasta,,Eyepatch,Cross earring,Tipped horns,Berry Blossom,Halo,Axe
2137,Imp #2137,Look left,Flat cap,,Tired,Piercings,Tipped horns,Neon Juice,Crown,Axe
2138,Imp #2138,Look left,Forehead bandaid,Black shades,Eyes closed,,Small horns,Spearmint Cherry,Paper plane,
2139,Imp #2139,Look left,Double bandana,Disco glasses,Eyes closed,,Thin horns,Grape lipstick,Top void,Laces
2140,Imp #2140,Look left,Genie hair,Cheek O's,VR,Cross earring,Split horns,Neon Juice,Fez,Pipe
2141,Imp #2141,Look left,Short dreads,Face bandaid,Eyelashes,,Small horns,Spearmint sunset,,Small wings
2142,Imp #2142,Float,Vine crown,War stripes,Normal Eyes,,Tipped horns,Neon Lantern,Kid,Button Jacket
2143,Imp #2143,Look right,,Kunai,Normal Eyes,Thick Piercings,Double horns,Pink Forest,Paper plane,Bottom Ghost
2144,Imp #2144,Look right,Bowl cut,,Eyelashes,Ofuda earrings,Big horns,Neon Juice,,Scythe
2145,Imp #2145,Float,,Branch nose,Normal Eyes,Antichrist earrings,Medium horns,Grape lipstick,,Scarf
2146,Imp #2146,Look left,Poof,Face bandaid,Eyepatch,Ofuda earrings,Double horns,Berry Blossom,,Button Jacket
2147,Imp #2147,Float,Hairclips,,Eyelashes,,Small horns,Spearmint sunset,Top hat,Suit
2148,Imp #2148,Float,Six dots,Black shades,Normal Eyes,Moon earrings,Slick horns,Spearmint sunset,,Button Jacket
2149,Imp #2149,Look right,,,Eyes closed,Two earrings,Double horns,Berry Blossom,,Double chain
2150,Imp #2150,Float,Small beanie,Freckles,Fire lashes,Key earring,Small horns,Spearmint sunset,,Kawaii blocks
2151,Imp #2151,Float,Super Saiyan,Freckles,Mask,Cross earring,Big horns,Grape lipstick,,Pipe
2152,Imp #2152,Look right,Rasta,Cheek triangles,Eyes closed,Flower earring,Split horns,Neon Saphire,Paper plane,
2153,Imp #2153,Look left,Wild hair,,Eyes closed,Ofuda earrings,Thin horns,Angry Flamingo,Balloons,Hover rings
2154,Imp #2154,Look right,Visor Beanie,Goatee,Normal Eyes,,Slick horns,Grape lipstick,,Small chains
2155,Imp #2155,Float,Tiara,Cheek arrow,Panda,Single earring,Slick horns,Angry Flamingo,,Spear
2156,Imp #2156,Float,Double bandana,Popsicle,Eyelashes,Rose earring,Small horns,Angry Flamingo,,Sword
2157,Imp #2157,Look right,T-rex,Lolly stick,Eyes closed,Cyber earrings,Slick horns,Spearmint Cherry,,Axe
2158,Imp #2158,Look left,Ninja bandana,Tooth,Eyepatch,Top Piercings,Slick horns,Spearmint sunset,,Turtleneck 2
2159,Imp #2159,Float,Beanie,Straw,Stubborn eyes,,Slick horns,Spearmint sunset,,Turtleneck
2160,Imp #2160,Float,,Moustache,Normal Eyes,Diagonal piercings,Small horns,Angry Flamingo,Top ghost,
2161,Imp #2161,Float,,,Eyes closed,Key earring,Tipped horns,Angry Flamingo,,Turtleneck
2162,Imp #2162,Float,Three braids,Eye dots,Normal Eyes,,Double horns,Neon Juice,Murder of crows,
2163,Imp #2163,Look right,,Drool,Eyelashes,Smiley earrings,Small horns,Grape lipstick,Planets,Moon staff
2164,Imp #2164,Look left,Flower tiara,Cheek triangles,Eyelashes,Two earrings,Thin horns,Spearmint sunset,,
2165,Imp #2165,Look right,Pirate,Cheek heart,Normal Eyes,Stretcher,Split horns,Pink Forest,War flag,Axe
2166,Imp #2166,Float,,Gamepad,Normal Eyes,Ofuda earrings,Split horns,Neon Juice,War flag,Small chains
2167,Imp #2167,Look right,,Snake tongue,Eyelashes,,Tipped horns,Spearmint sunset,,Big white wings
2168,Imp #2168,Float,Double bandana,,Tired,BTC earring,Slick horns,Angry Flamingo,UFO,Pipe
2169,Imp #2169,Look right,Punk,,Eyes closed,BTC earring,Slick horns,Spearmint Cherry,Paper plane,Sushi
2170,Imp #2170,Look right,,,Eyes closed,Key earring,Medium horns,Grape lipstick,UFO,Surrender flag
2171,Imp #2171,Float,Bandana,Tears,Eyelashes,,Slick horns,Angry Flamingo,War flag,Sushi
2172,Imp #2172,Look left,Kitty,Dragon moustache,Stubborn eyes,,Slick horns,Spearmint sunset,,Hover rings
2173,Imp #2173,Look right,Ninja bandana,,Panda,Rose earring,Slick horns,Spearmint Cherry,Balloons,Hover rings
2174,Imp #2174,Float,Candle,Face bandaid,Eyelashes,Goth earrings,Tipped horns,Angry Flamingo,,Captain vest
2175,Imp #2175,Float,,Tongue,Tired,Eth earring,Tipped horns,Grape lipstick,Paper plane,Pipe
2176,Imp #2176,Look left,Candle,Facemask,VR,Thick Piercings,Small horns,Angry Flamingo,,Pipe
2177,Imp #2177,Float,Small beanie,Drool,Stubborn eyes,Goth earrings,Big horns,Pink Forest,,Recruitment
2178,Imp #2178,Float,,Face stripes,Panda,Stripe earrings,Branch horns 2,Ethereal Watermelon,Little Dragon,
2179,Imp #2179,Float,Soldier,Cheek arrow,Eyes closed,Top Piercings,Medium horns,Spearmint sunset,Balloons,Captain vest
2180,Imp #2180,Look left,Short dreads,,Yokai eyes,Cross earring,Double horns,Grape lipstick,,Big wings
2181,Imp #2181,Look right,,Tooth,Normal Eyes,Single earring,Small horns,Spearmint Cherry,,Royal mantle
2182,Imp #2182,Look left,Short dreads mesh,Grin,Eyes closed,,Slick horns,Neon Saphire,Halo,
2183,Imp #2183,Look right,Geisha cut,Cheek heart,Yokai eyes,,Big horns,Pink Forest,,Lollypop
2184,Imp #2184,Float,Cyberhalo,Freckles,Panda,Two earrings,Small horns,Spearmint sunset,,
2185,Imp #2185,Float,,Ring beard,Eyes closed,Two earrings,Small horns,Grape lipstick,Moon,Tag
2186,Imp #2186,Float,Visor Beanie,Face bandaid,Panda,,Thin horns,Angry Flamingo,,Captain vest
2187,Imp #2187,Float,Soldier,Tooth,Eyelashes,,Tipped horns,Pink Forest,Love message,Chain
2188,Imp #2188,Look left,Double bandana,Heart pill,Panda,,Slick horns,Grape lipstick,War flag,Turtleneck
2189,Imp #2189,Look left,Unicorn,Cheek arrow,Tired,Flower earring,Medium horns,Pink Forest,,Button Jacket
2190,Imp #2190,Look right,Three braids,,Eyes closed,,Slick horns,Angry Flamingo,Fez,Big wings
2191,Imp #2191,Float,,Kunai,VR,,Split horns,Neon Juice,,Turtleneck 2
2192,Imp #2192,Look right,Samurai hair,,Panda,Smiley earrings,Thin horns,Spearmint Cherry,,Hover rings
2193,Imp #2193,Float,Skater Cap,,Normal Eyes,Eth earring,Slick horns,Angry Flamingo,,Aux Cables
2194,Imp #2194,Float,Fedora,Lolly stick,Eyelashes,,Small horns,Spearmint Cherry,Balloons,Sword
2195,Imp #2195,Float,Windy hair,Cheek heart,Eyelashes,,Slick horns,Angry Flamingo,,Monk collar
2196,Imp #2196,Look left,Candle,Ring beard,Eyelashes,Two earrings,Slick horns,Angry Flamingo,Balloons,Axe
2197,Imp #2197,Float,Double bandana,Cheek triangles,Eyes closed,,Small horns,Spearmint Cherry,,Small chains
2198,Imp #2198,Look right,Kitty,Broken glasses,Fire pupils,Single earring,Medium horns,Spearmint sunset,,Ice cream
2199,Imp #2199,Look left,Metrosexual,Branch nose,Normal Eyes,,Tipped horns,Neon Juice,Floating Flowers,Imp Tail
2200,Imp #2200,Look right,Buzzed Punk,Broken glasses,Stubborn eyes,Flower earring,Medium horns,Angry Flamingo,Fez,Pipe
2201,Imp #2201,Look left,Goggles,Moustache beard,Eyelashes,,Medium horns,Spearmint sunset,,Lollypop
2202,Imp #2202,Look left,T-rex,Pencil,Fire lashes,,Antlers,Neon Lantern,,Stunt suit
2203,Imp #2203,Look left,Flower tiara,Branch nose,Eyes closed,Flower earring,Medium horns,Angry Flamingo,,Monk collar
2204,Imp #2204,Float,Small beanie,Cheek heart,Normal Eyes,,Thin horns,Spearmint Cherry,Paper plane,Concentration
2205,Imp #2205,Look right,Tiara,Disco glasses,Panda,Top Piercings,Tipped horns,Berry Blossom,Halo,
2206,Imp #2206,Look right,Double poof,,Tired,Cross earring,Medium horns,Angry Flamingo,Halo,
2207,Imp #2207,Look right,Viking braids,,Normal Eyes,,Thin horns,Grape lipstick,Fez,Ninja mask
2208,Imp #2208,Look right,,Face stripes,Mascara,Moon earrings,Antlers,Pink Forest,Halo,Zen hands
2209,Imp #2209,Look right,,Aviator glasses,Eyepatch,Key earring,Tipped horns,Spearmint sunset,UFO,Ice cream
2210,Imp #2210,Look left,,Cute cheeks,Mask,Top Piercings,Split horns,Ethereal Watermelon,,Bottom Ghost
2211,Imp #2211,Look right,Visor Beanie,Snake tongue,Eyes closed,,Thin horns,Pink Forest,,Stars
2212,Imp #2212,Float,Long hair beanie,,VR,Key earring,Branch horns 2,Berry Blossom,Moon,Turtleneck 2
2213,Imp #2213,Look right,Crew cut,Small freckles,Eyelashes,Antichrist earrings,Slick horns,Spearmint sunset,Paper plane,Axe
2214,Imp #2214,Look left,,Cheek arrow,Yokai eyes,Stretcher,Medium horns,Grape lipstick,UFO,Scarf
2215,Imp #2215,Look left,Ninja bandana,,Eyepatch,Stripe earrings,Small horns,Grape lipstick,,Small wings
2216,Imp #2216,Look left,Beanie,Black shades,Normal Eyes,Feather earrings,Medium horns,Spearmint Cherry,,Monk collar
2217,Imp #2217,Look left,Triple poof,Freckles,Eyes closed,Single earring,Small horns,Spearmint Cherry,,Aux Cables
2218,Imp #2218,Look left,Visor Beanie,Pencil,Tired,Antichrist earrings,Small horns,Spearmint sunset,,Sword
2219,Imp #2219,Float,Spikes,Nosering,Normal Eyes,Stripe earrings,Tipped horns,Spearmint sunset,,Ice cream
2220,Imp #2220,Look right,Poof,Moustache beard,Fire lashes,,Slick horns,Pink Forest,,Surrender flag
2221,Imp #2221,Look right,Visor Beanie,,Eyes closed,Smiley earrings,Slick horns,Spearmint Cherry,Balloons,Button Jacket
2222,Imp #2222,Float,Three braids,Long beard,Mascara,Cross earring,Split horns,Pink Forest,,
2223,Imp #2223,Float,Hood,Branch nose,Eyelashes,Single earring,Medium horns,Angry Flamingo,Planets,Peace hand
2224,Imp #2224,Look left,Windy hair,Flower,Eyes closed,Eth earring,Split horns,Neon Lantern,,
2225,Imp #2225,Float,Skater Cap,Black shades,Stubborn eyes,Goth earrings,Small horns,Grape lipstick,,Imp Tail
2226,Imp #2226,Float,Flower tiara,,Normal Eyes,Thick Piercings,Big horns,Neon Lantern,Murder of crows,Ice cream
2227,Imp #2227,Float,Triple poof,Cheek heart,Yokai eyes,Feather earrings,Double horns,Grape lipstick,,Turtleneck 2
2228,Imp #2228,Look left,Visor Beanie,Cheek triangles,Normal Eyes,Flower earring,Tipped horns,Neon Saphire,Top ghost,Sai
2229,Imp #2229,Look right,,Moustache,Eyelashes,Flower earring,Small horns,Spearmint Cherry,Fez,Surrender flag
2230,Imp #2230,Float,Ninja bandana,Cute cheeks,Normal Eyes,Single earring,Medium horns,Angry Flamingo,,Mime suit
2231,Imp #2231,Look right,Quiff,Black shades,Eyelashes,Stretcher,Medium horns,Spearmint sunset,,Scroll
2232,Imp #2232,Look right,Crew cut,,Normal Eyes,Two earrings,Big horns,Cherry Tides,Little Dragon,Fan
2233,Imp #2233,Look left,Double poof,Eye dots,Eyelashes,Single earring,Small horns,Angry Flamingo,,
2234,Imp #2234,Look left,Metrosexual,,Fire pupils,Top Piercings,Branch horns 2,Berry Blossom,Top hat,Surrender flag
2235,Imp #2235,Look left,,Tooth,Eyelashes,Ofuda earrings,Small horns,Berry Blossom,,Peace hand
2236,Imp #2236,Float,Beanie,Facemask,Eyes closed,Diagonal piercings,Tipped horns,Angry Flamingo,,Kawaii blocks
2237,Imp #2237,Float,L-hand,Goatee,Eyes closed,,Tipped horns,Grape lipstick,Rocket,Laces
2238,Imp #2238,Look left,Bomb,Goatee,Tired,Two earrings,Big horns,Ethereal Watermelon,Top hat,
2239,Imp #2239,Look right,Poof,Drool,Normal Eyes,Cross earring,Small horns,Spearmint sunset,UFO,Scarf
2240,Imp #2240,Look right,Double poof,Cheek arrow,Normal Eyes,Top Piercings,Small horns,Spearmint Cherry,,Imp Tail
2241,Imp #2241,Look right,Bomb,Disco glasses,Panda,Spike earring,Branch horns,Cherry Tides,Murder of crows,
2242,Imp #2242,Look left,Goggles,Face bandaid,Eyelashes,,Thin horns,Spearmint sunset,Moon,Button Jacket
2243,Imp #2243,Float,Genie hair,Cheek arrow,Normal Eyes,Cross earring,Small horns,Spearmint sunset,,
2244,Imp #2244,Look left,Three braids,Branch nose,Eyes closed,Top Piercings,Tipped horns,Spearmint sunset,,Kawaii blocks
2245,Imp #2245,Look right,T-rex,Broken glasses,Eyes closed,Stretcher,Thin horns,Spearmint Cherry,,Lollypop
2246,Imp #2246,Look left,Skater Cap,Wayfarer shades,Normal Eyes,,Double horns,Berry Blossom,,Windy scarf
2247,Imp #2247,Float,Skater cut,Facemask,Eyelashes,,Small horns,Spearmint sunset,,Bottom Ghost
2248,Imp #2248,Float,Skater cut,Ring beard,Normal Eyes,Eth earring,Medium horns,Angry Flamingo,,Imp Tail
2249,Imp #2249,Look right,Six dots,War stripes,Normal Eyes,Goth earrings,Thin horns,Spearmint Cherry,,Axe
2250,Imp #2250,Look left,Short dreads,Gas mask,Normal Eyes,,Small horns,Spearmint sunset,,Surrender flag
2251,Imp #2251,Look right,,Aviator glasses,Normal Eyes,Moon earrings,Slick horns,Spearmint sunset,,Button Jacket
2252,Imp #2252,Look right,Small beanie,Ring beard,Empty eyes,,Slick horns,Neon Lantern,,Peace hand
2253,Imp #2253,Look left,,Moustache beard,Tired,,Tipped horns,Spearmint sunset,Top hat,Moon staff
2254,Imp #2254,Look right,Flower tiara,,Normal Eyes,BTC earring,Split horns,Pink Forest,Top hat,Imp Necklace
2255,Imp #2255,Look right,Bandana quiff,Small freckles,Fire pupils,Rose earring,Small horns,Angry Flamingo,,
2256,Imp #2256,Float,,Gamepad,Normal Eyes,,Tipped horns,Neon Saphire,War flag,Recruitment
2257,Imp #2257,Float,Sapling,Heart pill,Eyes closed,,Slick horns,Spearmint Cherry,,Laces
2258,Imp #2258,Look left,,War stripes,Stubborn eyes,Top Piercings,Medium horns,Spearmint sunset,Halo,Crumpled ciggy
2259,Imp #2259,Float,Buzzed Punk,Small freckles,Fire pupils,,Split horns,Neon Saphire,Top ghost,
2260,Imp #2260,Float,Desert hat,,Empty eyes,,Branch horns,Yin Yang,Top void,Clouds
2261,Imp #2261,Look left,Wizard cap,Eye dots,Normal Eyes,Stretcher,Small horns,Spearmint sunset,,Captain vest
2262,Imp #2262,Float,Frou,Broken glasses,Eyes closed,,Small horns,Spearmint Cherry,UFO,Ice cream
2263,Imp #2263,Float,Ninja bandana,Snake tongue,Eyelashes,Cross earring,Small horns,Spearmint sunset,,Tag
2264,Imp #2264,Float,Desert hat,Dragon moustache,Normal Eyes,Moon earrings,Small horns,Spearmint Cherry,,Sai
2265,Imp #2265,Look right,Crew cut,,Stubborn eyes,Moon earrings,Big horns,Berry Blossom,Top ghost,Laces
2266,Imp #2266,Float,Watchers,Snake tongue,Eyelashes,Cross earring,Tipped horns,Neon Lantern,Top void,Sword
2267,Imp #2267,Look right,,Popsicle,Eyelashes,Moon earrings,Small horns,Spearmint Cherry,,Turtleneck
2268,Imp #2268,Look right,Small beanie,Face stripes,Eyelashes,Stripe earrings,Medium horns,Grape lipstick,,Sai
2269,Imp #2269,Look right,Candle,Specs,Eyes closed,,Medium horns,Spearmint sunset,Love message,Axe
2270,Imp #2270,Look right,Short dreads mesh,Facemask,Tired,Cross earring,Medium horns,Angry Flamingo,,Stunt suit
2271,Imp #2271,Look right,Unicorn,,Eyelashes,Two earrings,Small horns,Angry Flamingo,Moon,Monk collar
2272,Imp #2272,Look left,Wild hair,Grin,Normal Eyes,,Slick horns,Angry Flamingo,Paper plane,Small chains
2273,Imp #2273,Float,Flower tiara,Black shades,Normal Eyes,Cross earring,Small horns,Grape lipstick,,Mime suit
2274,Imp #2274,Look left,Bandana,Lolly stick,VR,Two earrings,Double horns,Berry Blossom,,
2275,Imp #2275,Float,Tiara,,Eyes closed,Diagonal piercings,Double horns,Neon Saphire,Kid,Turtleneck
2276,Imp #2276,Look left,Cowboy hat,Gas mask,Normal Eyes,,Small horns,Spearmint sunset,,Hover rings
2277,Imp #2277,Look right,Triple poof,Face bandaid,Blindfold,,Split horns,Pink Forest,,
2278,Imp #2278,Look left,Kitty,Tongue,Fire pupils,Diagonal piercings,Slick horns,Angry Flamingo,,Crumpled ciggy
2279,Imp #2279,Look right,Rasta,Snake tongue,Normal Eyes,,Double horns,Ethereal Watermelon,,Eye necklace
2280,Imp #2280,Look right,Soldier,Cheek bolt,VR,Moon earrings,Slick horns,Grape lipstick,,Small chains
2281,Imp #2281,Look left,Skater cut,Face bandaid,Tired,Elf earrings,Big horns,Grape lipstick,,Button Jacket
2282,Imp #2282,Float,Beanie,Face stripes,Fire pupils,Key earring,Slick horns,Spearmint sunset,,Pipe
2283,Imp #2283,Look left,Metrosexual,Goatee,Normal Eyes,,Medium horns,Spearmint Cherry,Top hat,Ice cream
2284,Imp #2284,Look left,,Face stripes,Panda,Cyber earrings,Small horns,Berry Blossom,,Chain
2285,Imp #2285,Look right,,Freckles,Eyes closed,Single earring,Small horns,Spearmint Cherry,,Mime suit
2286,Imp #2286,Float,Bandana,Small freckles,Tired,,Double horns,Grape lipstick,Love message,Royal mantle
2287,Imp #2287,Float,Short dreads,Cheek bolt,Eyelashes,,Small horns,Berry Blossom,Balloons,Axe
2288,Imp #2288,Look left,Unicorn,Flower,Normal Eyes,Rose earring,Thin horns,Pink Forest,,Turtleneck 2
2289,Imp #2289,Look right,Windy hair,Lolly stick,Eyes closed,Spike earring,Thin horns,Pink Forest,,Peace hand
2290,Imp #2290,Float,Samurai hair,Pencil,Eyes closed,Moon earrings,Small horns,Spearmint sunset,,Devil tail
2291,Imp #2291,Float,Three braids,Wayfarer shades,Panda,BTC earring,Slick horns,Spearmint sunset,,Laces
2292,Imp #2292,Look right,Frou,Broken glasses,Eyes closed,Flower earring,Thin horns,Spearmint Cherry,,Scarf
2293,Imp #2293,Float,Beanie,Monocle,Eyelashes,Stripe earrings,Medium horns,Angry Flamingo,UFO,
2294,Imp #2294,Float,Ninja bandana,Ofuda,Normal Eyes,Two earrings,Slick horns,Spearmint sunset,,Hover rings
2295,Imp #2295,Look right,Bowl cut beanie,Face stripes,Eyes closed,,Small horns,Spearmint Cherry,,Mime suit
2296,Imp #2296,Look right,Six dots,Facemask,Normal Eyes,Top Piercings,Slick horns,Pink Forest,Top void,
2297,Imp #2297,Look left,Bamboo hat,,Eyelashes,Stretcher,Small horns,Spearmint Cherry,,Captain vest
2298,Imp #2298,Look left,Soldier,,Eyelashes,Feather earrings,Thin horns,Neon Lantern,War flag,Zen hands
2299,Imp #2299,Look left,Double poof,Flower,Normal Eyes,,Small horns,Spearmint Cherry,,Laces
2300,Imp #2300,Float,Bowl cut beanie,Rose,Normal Eyes,Top Piercings,Small horns,Spearmint Cherry,,Chain
2301,Imp #2301,Float,Skater Cap,,Panda,Spike earring,Thin horns,Spearmint sunset,,Button Jacket
2302,Imp #2302,Float,Cyborg samurai hair,Popsicle,Normal Eyes,Goth earrings,Small horns,Spearmint Cherry,,Laces
2303,Imp #2303,Look right,T-rex,Small freckles,Eyelashes,,Medium horns,Spearmint sunset,Fez,Turtleneck 2
2304,Imp #2304,Float,Double poof,Eye dots,Normal Eyes,,Slick horns,Neon Saphire,Fez,Windy scarf
2305,Imp #2305,Look right,Hood,Heart pill,Normal Eyes,Stripe earrings,Thin horns,Berry Blossom,,Katana
2306,Imp #2306,Float,Kitty,Nosering,Normal Eyes,Diagonal piercings,Slick horns,Spearmint Cherry,,Tag
2307,Imp #2307,Look right,Double poof,Cheek arrow,Eyelashes,,Small horns,Spearmint sunset,Rocket,Spear
2308,Imp #2308,Look right,Punk,Monocle,Normal Eyes,Cross earring,Small horns,Angry Flamingo,Moon,Captain vest
2309,Imp #2309,Look right,Captain hat,Lolly stick,Eyes closed,,Thin horns,Berry Blossom,War flag,
2310,Imp #2310,Float,Bowl cut beanie,Face stripes,Blindfold,Feather earrings,Big horns,Neon Lantern,UFO,Stunt suit
2311,Imp #2311,Float,Desert hat,Cute cheeks,Stubborn eyes,,Tipped horns,Angry Flamingo,,Stunt suit
2312,Imp #2312,Look right,Double bandana,,Stubborn eyes,Cyber earrings,Small horns,Angry Flamingo,,Devil tail
2313,Imp #2313,Look right,Flat cap,Nosering,Stubborn eyes,Flower earring,Thin horns,Spearmint Cherry,,Ice cream
2314,Imp #2314,Look right,Bandana,,VR,Single earring,Branch horns 2,Neon Lantern,Rocket,Sai
2315,Imp #2315,Look left,Undercut,Tooth,Eyes closed,,Medium horns,Spearmint Cherry,,Devil tail
2316,Imp #2316,Float,Vine crown,Wayfarer shades,Normal Eyes,Thick Piercings,Slick horns,Spearmint sunset,,Surrender flag
2317,Imp #2317,Look left,Small beanie,Round shades,Eyes closed,,Split horns,Neon Lantern,Kid,Small chains
2318,Imp #2318,Float,,,VR,Thick Piercings,Split horns,Pink Forest,Top hat,Scroll
2319,Imp #2319,Float,Sapling,Moustache,Panda,Diagonal piercings,Medium horns,Spearmint Cherry,,Scarf
2320,Imp #2320,Look left,Wanderer cut,,Eyelashes,,Small horns,Angry Flamingo,Top void,Chain
2321,Imp #2321,Float,,Cheek arrow,Tired,Cross earring,Small horns,Spearmint sunset,Paper plane,
2322,Imp #2322,Float,Samurai hair,Face bandaid,Mascara,,Tipped horns,Spearmint Cherry,,Stunt suit
2323,Imp #2323,Float,Windy hair,,Eyepatch,Cross earring,Big horns,Ethereal Watermelon,Top ghost,
2324,Imp #2324,Float,Spikes,Small freckles,VR,Cyber earrings,Split horns,Neon Lantern,,Small chains
2325,Imp #2325,Float,Fedora,Disco glasses,Normal Eyes,,Medium horns,Spearmint Cherry,Top void,Pipe
2326,Imp #2326,Look left,Mouse beanie,Branch nose,Stubborn eyes,Cross earring,Small horns,Angry Flamingo,Top ghost,
2327,Imp #2327,Float,Six dots,Freckles,Eyelashes,Smiley earrings,Medium horns,Neon Juice,Planets,Laces
2328,Imp #2328,Float,Bamboo hat,War stripes,Normal Eyes,,Slick horns,Angry Flamingo,Love message,Banana phone
