TOKEN_ID,TOKEN_NAME,Background,Fur,Torso,Eyes,Head,Nose,Earring,Cake's Special Batch
1787,Caked Apes #1787,Casino Mouse Blueberry,Devil Clouds Cinnamon,Peaceful Sergeant Pepper,plain rain,Devil Mopey Fren,Icy Skull ,,
1788,Caked Apes #1788,plain,Mint Lime,Doge Pup Degen Bag Raspberry,Too Sad To See Raspberry,Winter Hat,Raspberry Graveyard,,
1789,Caked Apes #1789,Saturday Morning Cartoon Sunset,Rainbow River Sherbet,Doge Pup Degen Bag Raspberry,Sugar High,Lemur Tophat,Icy Graveyard,Strawberry,
1790,Caked Apes #1790,Revolving World Hell,Ice Cube,Beta Zero Cool Cat Fren,plain rain,Chubby Fish,Delectable Cake Mint,,
1791,Caked Apes #1791,Saturday Morning Cartoon Sunset,Dripper Lemon Ice,Beta Zero Alpha Raspberry Limeade,Robopets UFO Icy,Slime Hair Mopey Party,Icy Skull ,,
1792,Caked Apes #1792,What Day Is It? Charcoal,Rainbow River Psychedelic World,PixelTots Fren,Sugar High,Ape Angel Fren,Cooler Cat,,
1793,Caked Apes #1793,Drips Cotton Candy,Cyborg Blue Raspberry,Beta Zero Morie Fren,Too Sad To See Raspberry,Beta Zero Coral Antlers,Evil Grin,,
1794,Caked Apes #1794,Sunrise,Raspberry Lime,swords,Candy Nickles,Spike Mohawk Raspberry,Lit Birthday Grape,,
1795,Caked Apes #1795,Casino Mouse Charcoal,Rainbow River Peach Cobbler,Beta Zero Alpha Grape Limeade,Doge Pound Cherry,Chubby Fish,Fake Smiles,,
1796,Caked Apes #1796,Sunset,Dripper Yeti,Biker Grape Limeade,Too Sad To See Raspberry,All Seeing Birthday Hat,Raspberry Skull ,,
1797,Caked Apes #1797,Sunrise,Grape Slime,Hip Hop Devil Fren,Candy Nickles,Visor,Icy,,
1798,Caked Apes #1798,WTF Is The Most Important Meal ,Cyborg Ice Gold,Hoodie Icy,Sugar High,Beta Zero Flow Lime Flow,Delectable Cake Strawberry,,
1799,Caked Apes #1799,Get Back To Work,Ice Cube,Alien Boy WTF Suit,Cyclops Moon,Peaceful Pilot Primary,Delectable Cake Strawberry,,
1800,Caked Apes #1800,Get Back To Work,Rainbow River Psychedelic World,Beta Zero Beta Grape Lemonade,Too Sad To See Raspberry,Gutter Cat Raspberry,Lit Birthday Grape,,
1801,Caked Apes #1801,Get Back To Work,Dripper Raspberry Lime,Fast Food Drip Pink Lemonade,plain rain,Kong Snapback,Angry Lime,,
1802,Caked Apes #1802,Casino Mouse Blueberry,Ice Cube,Fast Food Drip Limeade,Too Sad To See Icy,Happy Pilot,Evil Grin,Avocado,
1803,Caked Apes #1803,Revolving World Hell,Rainbow River Peach Cobbler,Beta Zero Katana Icy Limeade,Cyclops Moon,Pissbird Fren,Alien Spaceship,,
1804,Caked Apes #1804,Revolving World Heaven,Cotton Candy Afterlife,Smoking Mopey Robe Icy,Robopets UFO Grape,Cyclops Mopey Fren,Raspberry,,
1805,Caked Apes #1805,Get Back To Work,Dripper Yeti,Beta Zero Katana Lime Raspberryade,Candy Nickles,Mopey Dog Fren,Lime Skull ,,
1806,Caked Apes #1806,What Day Is It? Church Wine,Demon Prince,Fast Food Drip Pissbird Fren,Candy Nickles,Icecream Cake,Angry Lime,,
1807,Caked Apes #1807,Saturday Morning Cartoon Sunset,Slime World,Doge Pup Degen Bag Icy,Staring Daggers,Slime Mopey,Angry Lime,,
1808,Caked Apes #1808,plain,Grape Slime,Hip Hop Devil Fren,Purple Rain,Chubby Smart Fish,Angry Lime,,
1809,Caked Apes #1809,Sunset,Rainbow River Sherbet,Slime Suspenders,Too Sad To See Icy,Robotos Brain,Lit Birthday Icy,,
1810,Caked Apes #1810,Revolving World Heaven,Dripper Yeti,Morie Mopey Robe Fren,Doge Pound Cherry,Mopey Hat,Raspberry Skull ,Avocado,
1811,Caked Apes #1811,Saturday Morning Cartoon Sunset,Purple Pain,Peaceful Sergeant Pepper,Lemon Drops,Gutter Cat Icy,Fake Smiles,,
1812,Caked Apes #1812,Sunset,Cyborg Raspberry Lime,Cool Cat Fren,Too Sad To See Raspberry,Winter Hat,Delectable Cake Strawberry,Drip,
1813,Caked Apes #1813,What Day Is It? Charcoal,Dripper Lemon Ice,Pissbird Grape Fren,Doge Pound Pup,Beta Zero Flow Lime Flow,Icy Skull ,,
1814,Caked Apes #1814,Most Important Meal,Raspberry Lime,Hip Hop Slime,Sad Sight,All Seeing Birthday Hat,Delectable Cake Strawberry,,
1815,Caked Apes #1815,Revolving World Hell,Raspberry Lime,Peaceful Sergeant Pepper,Cyclops Moon,Mopey Hat,Icy Graveyard,,
1816,Caked Apes #1816,Saturday Morning Cartoon Sunrise,Rainbow River Rave Sketchbook,Fast Food Drip Pink Lemonade,Double Eyes Ice,All Seeing Birthday Hat,WTF Factory Raspberry,,
1817,Caked Apes #1817,Sunrise,Dripper Yeti,PixelTots Fren,Sky Is Falling,Visor,Raspberry Graveyard,,
1818,Caked Apes #1818,What Day Is It? Church Wine,Rainbow River Peach Cobbler,Alien Boy WTF Suit,Stoned Flowers,Spike Mohawk Lime,Angry Lime,,
1819,Caked Apes #1819,Saturday Morning Cartoon Sunrise,Devil Clouds Grape Juice,Hip Hop Devil Fren,Doge Pound Pup,Pissbird Fren,Doge Pup,,
1820,Caked Apes #1820,Casino Mouse Cloudy,Slime World,Hip Hop Slime,Too Sad To See Lime,Beta Zero Unicorn Zap!,Maneki Grillz Church Wine,,
1821,Caked Apes #1821,plain,Demon Prince,Beta Zero Morie Fren,Sugar High,Genius Bellhop,Raspberry Graveyard,,
1822,Caked Apes #1822,Get Back To Work,Rainbow River Psychedelic World,Cool Cat Fren,Robopets UFO Icy,Brain Visor,WTF Factory Raspberry,,
1823,Caked Apes #1823,Get Back To Work,Rainbow River Psychedelic World,Hip Hop Devil Fren,Double Eyes Grape,Kong Snapback,Icy Graveyard,,
1824,Caked Apes #1824,Revolving World Heaven,Dripper Yeti,Smoking Mopey Robe Raspberry,Raspberry Brain,Kong Snapback,Maneki Heart Icy,,
1825,Caked Apes #1825,Casino Mouse Cloudy,Rainbow River Psychedelic World,Slime Guy Drip Purple Suspenders Fren,Zombie Plant,Beta Zero Raspberry Flow,WTF Factory Lime,,
1826,Caked Apes #1826,Most Important Meal,Rainbow River Sherbet,swords,Sky Is Falling,Icecream Cake,Icy,,
1827,Caked Apes #1827,Saturday Morning Cartoon Sunset,Cyborg Blue Raspberry,Alien Boy WTF Suit,Raspberry Brain,Cake Slice,Maneki Heart Raspberry,,
1828,Caked Apes #1828,Saturday Morning Cartoon Sunset,Rainbow River Sherbet,Cool Cat Fren,Too Sad To See Icy,Genius Bellhop,Maneki Grillz Church Wine,,
1829,Caked Apes #1829,WTF Is The Most Important Meal ,Raspberry Lime,Slimey Fren,Raspberry Brain,Pissbird Fren,Raspberry Skull ,,
1830,Caked Apes #1830,plain,Devil Clouds Grape Juice,Slime Guy Drip Purple Suspenders Fren,Slime Tears,Lemur Tophat,Lime Skull ,,
1831,Caked Apes #1831,What Day Is It? Charcoal,Purple Pain,Dagger Vest,Paradise Goggles,Gutter Cat Icy,Doge Pup,,
1832,Caked Apes #1832,Casino Mouse Blueberry,Burning Yeti,Devil Mopey Fren,Sappy Skulls,Genius Tess,Maneki Heart Icy,,
1833,Caked Apes #1833,Get Back To Work,Cyborg Ice Gold,Doge Pup Degen Bag Raspberry,plain rain,Winter Hat,Beta Bandana,,
1834,Caked Apes #1834,Revolving World Heaven,Cyborg Machine Fire,Doge Pup Degen Bag Raspberry,Lemon Drops,Visor,Raspberry,,
1835,Caked Apes #1835,Casino Mouse Charcoal,Ice Cube,PixelTots Fren,Patch Plant Circuit Bored,Lit Cupcake,Cooler Cat,,
1836,Caked Apes #1836,Casino Mouse Charcoal,Purple Pain,Raspberry Lemur Coat,Cyclops Moon,Fox Fam Lime,Pissbird,,
1837,Caked Apes #1837,Saturday Morning Cartoon Sunset,Mint Lime,Slime Suspenders,Too Sad To See Lime,Beta Zero Unicorn Zap!,Icy Graveyard,,
1838,Caked Apes #1838,Revolving World Hell,Devil Clouds Cinnamon,Biker Morie Fren,Too Sad To See Raspberry,Cake Slice,Lit Birthday Icy,,
1839,Caked Apes #1839,Casino Mouse Cloudy,Cyborg Ice Gold,Smoking Mopey Robe Icy,Alien Spaceship,Icecream Cake,Angry Ice,,
1840,Caked Apes #1840,Revolving World Hell,Dripper Yeti,Evil Jacket,Zombie Plant,Slime Mopey,Delectable Cake Strawberry,,
1841,Caked Apes #1841,Revolving World Heaven,Dripper Lemon Ice,Devil Swords Fren,Zombie Plant,Fox Fam Lime,Lit Birthday Icy,,
1842,Caked Apes #1842,Saturday Morning Cartoon Sunrise,Mint Lime,Smoking Mopey Robe Icy,Doge Pound Cherry,Cake Slice,Maneki Heart Raspberry,,
1843,Caked Apes #1843,Get Back To Work,Purple Pain,Fast Food Drip Pissbird Fren,Cyclops Moon,Cyclops Mopey Fren,Icy Graveyard,,
1844,Caked Apes #1844,Casino Mouse Blueberry,Rainbow River Peach Cobbler,swords,Zombie Plant,Visor,Fake Smiles,,
1845,Caked Apes #1845,Casino Mouse Cloudy,Cyborg Ice Gold,Roboto Cat Fren,Patch Plant Circuit Bored,Fox Fam Lime,Fake Smiles,,
1846,Caked Apes #1846,Sunrise,Charcoal,Doge Pup Degen Bag Icy,Circuit Bored,Brain Visor,Caked Donuts,,
1847,Caked Apes #1847,plain,Dripper Raspberry Lime,Morie Fren,Maneki Gaze,Lit Cupcake,Raspberry Skull ,,
1848,Caked Apes #1848,Saturday Morning Cartoon Sunset,Cyborg Blue Raspberry,Hoodie Grape,Slime Tears,Gutter Cat Raspberry,Maneki Heart Icy,,
1849,Caked Apes #1849,Most Important Meal,Purple Pain,Slime Guy Drip Purple Suspenders Fren,Robopets UFO Grape,Lit Cupcake,Delectable Cake Grape,,
1850,Caked Apes #1850,What Day Is It? Church Wine,Devil Clouds Cinnamon,Devil Mopey Fren,Taylor.WTF Floppy Disks,Peaceful Pilot Primary,Pissbird,,
1851,Caked Apes #1851,What Day Is It? Charcoal,Rainbow River Psychedelic World,Peaceful Sergeant Pepper,Slime Tears,Brain Visor,Icy Skull ,,
1852,Caked Apes #1852,Sunset,Slime World,Really Cool Cat Fren,Drip Patch Snot,Slime Mopey,Death Breath,,
1853,Caked Apes #1853,What Day Is It? Church Wine,Cyborg Raspberry Lime,Devil Mopey Fren,Zombie Plant,Beta Zero Raspberry Flow,Raspberry Skull ,,
1854,Caked Apes #1854,Saturday Morning Cartoon Sunrise,Cyborg Cinnamon,Smoking Mopey Robe Icy,plain rain,Winter Hat,Lit Birthday Icy,,
1855,Caked Apes #1855,What Day Is It? Church Wine,Grape Slime,Dagger Vest,Robopets UFO Icy,Spike Mohawk Raspberry,Lime Skull ,,
1856,Caked Apes #1856,Revolving World Heaven,Ice Cube,Biker Grape Limeade,Patch Plant Circuit Bored,Chubby Navigator,Maneki Grillz Gold,,
1857,Caked Apes #1857,What Day Is It? Church Wine,Rainbow River Sherbet Sketchbook,Dagger Vest,Stoned Flowers,Ape Angel Fren,Maneki Grillz Church Wine,,
1858,Caked Apes #1858,What Day Is It? Church Wine,Raspberry Lime,Devil Swords Fren,Doge Pound Orange,Beta Zero Raspberry Flow,Lime,,
1859,Caked Apes #1859,Saturday Morning Cartoon Sunrise,Cyborg Lavender Fire,Devil Swords Fren,Stoned Flowers,Gutter Cat Icy,Evil Grin,,
1860,Caked Apes #1860,Casino Mouse Charcoal,Grape Slime,Doge Pup Degen Bag Icy,Candy Nickles,Lit Cupcake,Icy Graveyard,,
1861,Caked Apes #1861,Revolving World Heaven,Cyborg Ice Gold,Fast Food Drip Limeade,Sappy Skulls,Fox Fam Raspberry,Alien Spaceship,,
1862,Caked Apes #1862,plain,Grape Slime,Fast Food Drip Pink Lemonade,Staring Daggers,Free Your Mind,Icy Skull ,,
1863,Caked Apes #1863,Sunset,Dripper Raspberry Lime,Biker WTF,Maneki Gaze,Free Your Mind,Evil Grin,,
1864,Caked Apes #1864,Casino Mouse Charcoal,Purple Pain,Peaceful General Salt,Robopets UFO Icy,Brain Visor,Icy,,
1865,Caked Apes #1865,Casino Mouse Charcoal,Raspberry Lime,Beta Zero Beta Grape Lemonade,Patch Plant Drips,All Seeing Winter Hat,Beta Bandana,,
1866,Caked Apes #1866,Ghostlove,Dripper Yeti,Devil Mopey Fren,Zombie Plant,Nothing,Angry Ice,,
1867,Caked Apes #1867,Sunset,Cyborg Raspberry Lime,Beta Zero Katana Icy Limeade,Alien Spaceship,Peaceful Pilot Candy,Slime Portal,,
1868,Caked Apes #1868,Flowerfaces,Dripper Lemon Ice,Lemur Cool Coat Fren,Candy Nickles,Slime Mopey,Raspberry,,
1869,Caked Apes #1869,Casino Mouse Cloudy,Ice Cube,Fast Food Drip Pink Lemonade,Lemon Drops,Kong Snapback,Maneki Grillz Church Wine,,
1870,Caked Apes #1870,Saturday Morning Cartoon Sunrise,Raspberry Lime,Peaceful General Salt,Maneki Glasses,Beta Zero Raspberry Flow,Icy,,
1871,Caked Apes #1871,Sunset,Rainbow River Sherbet,Beta Zero Beta Grape Lemonade,Sappy Skulls,Pissbird Hat,Icy Skull ,,
1872,Caked Apes #1872,Sunset,Ice Cube,Smoking Mopey Robe Icy,Raspberry Brain,Devil Mopey Fren,Doge Pup,,
1873,Caked Apes #1873,Casino Mouse Cloudy,Cyborg Raspberry Lime,Devil Swords Fren,Sappy Skulls,Fox Fam Raspberry,Raspberry Graveyard,,
1874,Caked Apes #1874,Casino Mouse Blueberry,Charcoal,Beta Zero Cool Cat Fren,Lemon Drops,Chubby Smart Fish,Icy,,
1875,Caked Apes #1875,Casino Mouse Blueberry,Rainbow River Psychedelic World,Beta Zero Alpha Grape Limeade,Stoned Flowers,Delectable Waffle Halo,Maneki Grillz Gold,,
1876,Caked Apes #1876,Saturday Morning Cartoon Sunrise,Rainbow River Rave Sketchbook,Peaceful Sergeant Pepper,Maneki Glasses,Kong Snapback,Cooler Cat,,
1877,Caked Apes #1877,Sunset,Raspberry Lime,Slime Guy Drip Purple Suspenders Fren,Sad Sight,Slime Hair,Angry Ice,,
1878,Caked Apes #1878,What Day Is It? Church Wine,Dripper Raspberry Lime,Fast Food Drip Limeade,Lime Brain,Pissbird Hat,Icy Skull ,,
1879,Caked Apes #1879,What Day Is It? Charcoal,Slime World,Peaceful General Salt,Purple Rain,Slime Hair Mopey Party,Lit Birthday Grape,,
1880,Caked Apes #1880,Most Important Meal,Cyborg Ice Gold,Beta Zero Beta Grape Lemonade,Doge Pound Cherry,Fox Fam Raspberry,Doge Pup,,
1881,Caked Apes #1881,Saturday Morning Cartoon Sunset,Cyborg Ice Gold,Hip Hop Devil Fren,Doge Pound Cherry,Chubby Navigator,Delectable Cake Strawberry,,
1882,Caked Apes #1882,Sunrise,Cyborg Raspberry Lime,Slime Suspenders,Candy Nickles,Nothing,Raspberry Skull ,,
1883,Caked Apes #1883,Saturday Morning Cartoon Sunrise,Devil Clouds Grape Juice,Cool Cat Fren,Doge Pound Orange,Free Your Mind,Raspberry Graveyard,,
1884,Caked Apes #1884,Sunset,Rainbow River Peach Cobbler,Smoking Mopey Robe Raspberry,Robopets UFO Grape,Gutter Cat Icy,Lime Skull ,,
1885,Caked Apes #1885,Revolving World Heaven,Mint Lime,Winks Fren,Alien Spaceship,Gutter Cat Raspberry,Death Breath,,
1886,Caked Apes #1886,What Day Is It? Charcoal,Mint Lime,Winks Fren,Sad Sight,Visitors Helmet,Beta Bandana,,
1887,Caked Apes #1887,What Day Is It? Church Wine,Cyborg Machine Fire,Peaceful Sergeant Pepper,Robopets UFO Icy,Birthday Hat,Maneki Grillz Gold,,
1888,Caked Apes #1888,plain,Devil Clouds Grape Juice,Beta Zero Cool Cat Fren,Stoned Flowers,Fox Fam Raspberry,Angry Ice,,
1889,Caked Apes #1889,Sunset,Cyborg Raspberry Lime,Biker Grape Limeade,Maneki Glasses,Ape Angel Fren,Raspberry Graveyard,,
1890,Caked Apes #1890,Get Back To Work,Slime World,Slime Suspenders,Too Sad To See Icy,Devil Mopey Hat,Raspberry,,
1891,Caked Apes #1891,Casino Mouse Blueberry,Devil Clouds Cinnamon,Beta Zero Katana Icy Limeade,Robopets UFO Grape,Chubby Fish,Death Breath,,
1892,Caked Apes #1892,Revolving World Heaven,Ice Cube,Lemur Cool Coat Fren,Lemon Drops,Free Your Mind,Beta Kong,,
1893,Caked Apes #1893,Saturday Morning Cartoon Sunrise,Devil Clouds Grape Juice,Beta Zero Beta Pink Lemonade,Too Sad To See Icy,Cyclops Mopey Fren,Raspberry Skull ,,
1894,Caked Apes #1894,Get Back To Work,Rainbow River Peach Cobbler,Hoodie Grape,Taylor.WTF Floppy Disks,Beta Zero Coral Antlers,Doge Pup,,
1895,Caked Apes #1895,Casino Mouse Blueberry,Dripper Lemon Ice,Doge Pup Degen Bag Icy,Double Eyes Ice,Devil Mopey Fren,Raspberry,,
1896,Caked Apes #1896,Saturday Morning Cartoon Sunrise,Slime World,Beta Zero Cool Cat Fren,Doge Pound Pup,Fox Fam Raspberry,Delectable Cake Grape,,
1897,Caked Apes #1897,Saturday Morning Cartoon Sunset,Rainbow River Peach Cobbler,Peaceful Sergeant Pepper,Doge Pound Orange,Birthday Hat,Lime Skull ,,
1898,Caked Apes #1898,Ghostlove,Raspberry Lime,Slime Guy Drip Purple Suspenders Fren,Cyclops Moon,Spike Mohawk Raspberry,Icy Graveyard,,
1899,Caked Apes #1899,Ghostlove,Grape Slime,Biker Morie Fren,Too Sad To See Icy,Slime Hair,Maneki Heart Icy,,
1900,Caked Apes #1900,Ghostlove,Charcoal,Smoking Mopey Robe Raspberry,Doge Pound Pup,Doge Pound Icy,Raspberry Skull ,,
1901,Caked Apes #1901,Revolving World Hell,Cyborg Raspberry Lime,Beta Zero Beta Grape Lemonade,Too Sad To See Raspberry,Fox Fam Lime,Lime Skull ,,
1902,Caked Apes #1902,What Day Is It? Church Wine,Devil Clouds Cinnamon,Beta Zero Morie Fren,Maneki Gaze,All Seeing Birthday Hat,Caked Donuts,,
1903,Caked Apes #1903,Casino Mouse Charcoal,Rainbow River Peach Cobbler,Beta Zero Alpha Raspberry Limeade,Purple Rain,Cyclops Mopey Fren,Beta Kong,,
1904,Caked Apes #1904,Drips Cotton Candy,Demon Prince,Pissbird Shirt,Stoned Flowers,Robotos Brain,Mega Death Breath,,
1905,Caked Apes #1905,Casino Mouse Cloudy,Devil Clouds Cinnamon,Devil Swords Fren,Raspberry Brain,Visor,Lit Birthday Icy,,
1906,Caked Apes #1906,Revolving World Hell,Cyborg Blue Raspberry,Slime Suspenders,Drip Patch Raspberry,Cake Slice,Evil Grin,,
1907,Caked Apes #1907,Revolving World Hell,Devil Clouds Grape Juice,Beta Zero Morie Fren,Double Eyes Ice,Free Your Mind,Lit Birthday Icy,,
1908,Caked Apes #1908,What Day Is It? Charcoal,Ice Cube,PixelTots Fren,plain rain,Visitors Helmet,Raspberry Graveyard,,
1909,Caked Apes #1909,Saturday Morning Cartoon Sunset,Rainbow River Sherbet,Morie Fren,Alien Spaceship,Brain Visor,Maneki Grillz Gold,,
1910,Caked Apes #1910,Saturday Morning Cartoon Sunrise,Rainbow River Psychedelic World,Raspberry Lemur Coat,Cyclops Moon,Fox Fam Lime,Angry Lime,,
1911,Caked Apes #1911,plain,Dripper Lemon Ice,Dagger Vest,Stoned Flowers,Genius Tess,Death Breath,,
1912,Caked Apes #1912,Saturday Morning Cartoon Sunrise,Ice Cube,Doge Pup Degen Bag Raspberry,Patch Plant Drips,All Seeing Winter Hat,Maneki Heart Raspberry,,
1913,Caked Apes #1913,Sunset,Rainbow River Sherbet,Beta Zero Katana Icy Limeade,Delectable Donuts,Slime Hair,Fake Smiles,,
1914,Caked Apes #1914,Casino Mouse Charcoal,Cyborg Ice Gold,Biker Morie Fren,Patch Plant Circuit Bored,Winter Hat,WTF Factory Lime,,
1915,Caked Apes #1915,plain,Cyborg Blue Raspberry,Raspberry Lemur Coat,Slime Tears,Ape Angel Fren,Angry Ice,,
1916,Caked Apes #1916,Flowerfaces,Dripper Lemon Ice,Beta Zero Beta Grape Lemonade,Doge Pound Orange,Free Your Mind,Raspberry,,
1917,Caked Apes #1917,Sunset,Dripper Lemon Ice,Really Cool Cat Fren,Hippy Sunset,Gutter Cat Raspberry,Raspberry,,
1918,Caked Apes #1918,Most Important Meal,Cyborg Raspberry Lime,Beta Zero Alpha Grape Limeade,Too Sad To See Lime,Monster Truck,Maneki Heart Icy,,
1919,Caked Apes #1919,Drips Cotton Candy,Devil Clouds Grape Juice,Really Cool Cat Fren,Lemon Drops,Devil Mopey Fren,Doge Pup,,
1920,Caked Apes #1920,Saturday Morning Cartoon Sunset,Slime World,Smoking Mopey Robe Raspberry,Robopets UFO Grape,Brain Visor,Delectable Cake Grape,,
1921,Caked Apes #1921,Saturday Morning Cartoon Sunset,Slime World,Devil Mopey Fren,Slime Tears,Beta Zero Unicorn Zap!,Delectable Cake Mint,,
1922,Caked Apes #1922,Get Back To Work,Cyborg Blue Raspberry,Slime Guy Drip Purple Suspenders Fren,Raspberry Brain,Winter Hat,Maneki Heart Icy,,
1923,Caked Apes #1923,Saturday Morning Cartoon Sunset,Cyborg Ice Gold,Smoking Mopey Robe Raspberry,Patch Plant Drips,Beta Zero Flow Lime Flow,Doge Pup,,
1924,Caked Apes #1924,Saturday Morning Cartoon Sunrise,Ice Cube,Beta Zero Morie Fren,Double Eyes Ice,Spike Mohawk Raspberry,Raspberry Skull ,,
1925,Caked Apes #1925,Drips Cotton Candy,Rainbow River Psychedelic World,Beta Zero Katana Lime Raspberryade,Maneki Glasses,Birthday Hat,Caked Donuts,,
1926,Caked Apes #1926,Revolving World Heaven,Grape Slime,Beta Zero Beta Grape Lemonade,Sad Sight,Birthday Hat,Lime,,
1927,Caked Apes #1927,Casino Mouse Blueberry,Slime World,Hip Hop Devil Fren,Sky Is Falling,All Seeing Birthday Hat,Death Breath,,
1928,Caked Apes #1928,Casino Mouse Charcoal,Ice Cube,Smoking Mopey Robe Icy,Slime Tears,Cyclops Mopey Fren,Beta Bandana,,
1929,Caked Apes #1929,Casino Mouse Charcoal,Purple Pain,Raspberry Lemur Coat,Candy Nickles,Beta Zero Flow Lime Flow,Angry Ice,,
1930,Caked Apes #1930,Saturday Morning Cartoon Sunrise,Rainbow River Peach Cobbler,Hoodie Grape,Maneki Gaze,Mopey Hat,Delectable Cake Mint,,
1931,Caked Apes #1931,Ghostlove,Rainbow River Sherbet,Beta Zero Cool Cat Fren,Stoned Flowers,Robotos Brain,Icy,,
1932,Caked Apes #1932,What Day Is It? Church Wine,Grape Slime,Beta Zero Morie Fren,Slime Tears,Delectable Waffle Halo,Cooler Cat,,
1933,Caked Apes #1933,Sunset,Ice Cube,Beta Zero Morie Fren,Raspberry Brain,Delectable Waffle Halo,Raspberry Graveyard,,
1934,Caked Apes #1934,Drips Cotton Candy,Burning Yeti,Beta Zero Alpha Raspberry Limeade,Sky Is Falling,Free Your Mind,Icy Skull ,,
1935,Caked Apes #1935,Get Back To Work,Rainbow River Sherbet,Fast Food Drip Limeade,Too Sad To See Raspberry,Peaceful Pilot Candy,Raspberry Skull ,,
1936,Caked Apes #1936,Casino Mouse Charcoal,Dripper Lemon Ice,Roboto Cat Fren,Sappy Skulls,Spike Mohawk Lime,Raspberry,,
1937,Caked Apes #1937,Casino Mouse Cloudy,Dripper Yeti,Beta Zero Alpha Raspberry Limeade,Purple Rain,Devil Mopey Hat,Raspberry,,
1938,Caked Apes #1938,Flowerfaces,Rainbow River Sherbet,Dagger Vest,Doge Pound Orange,Beta Zero Coral Antlers,Slime Portal,,
1939,Caked Apes #1939,Get Back To Work,Dripper Yeti,Biker Morie Fren,Cyclops Moon,Kong Snapback,Maneki Grillz Church Wine,,
1940,Caked Apes #1940,Sunset,Dripper Raspberry Lime,Slime Guy Drip Purple Suspenders Fren,Double Eyes Ice,Lemur Tophat,Icy,Strawberry,
1941,Caked Apes #1941,What Day Is It? Charcoal,Purple Pain,Cool Cat Fren,Staring Daggers,All Seeing Birthday Hat,Delectable Cake Mint,,
1942,Caked Apes #1942,Revolving World Heaven,Cyborg Lavender Fire,Fast Food Drip Pink Lemonade,plain rain,Doge Pound Icy,Maneki Heart Raspberry,,
1943,Caked Apes #1943,Revolving World Heaven,Purple Pain,Fast Food Drip Pissbird Fren,Sappy Skulls,Gutter Cat Icy,Caked Donuts,,
1944,Caked Apes #1944,Sunrise,Grape Slime,Hip Hop Slime,Double Eyes Grape,Ape Angel Fren,Maneki Grillz Gold,,
1945,Caked Apes #1945,Casino Mouse Blueberry,Dripper Raspberry Lime,Doge Pup Degen Bag Icy,Maneki Glasses,Peaceful Pilot Primary,Maneki Heart Icy,,
1946,Caked Apes #1946,Most Important Meal,Rainbow River Sherbet Sketchbook,Beta Zero Morie Fren,Staring Daggers,Devil Mopey Fren,Beta Bandana,,
1947,Caked Apes #1947,Saturday Morning Cartoon Sunrise,Rainbow River Sherbet,Beta Zero Alpha Raspberry Limeade,Candy Nickles,Beta Zero Raspberry Flow,Doge Pup,,
1948,Caked Apes #1948,Casino Mouse Charcoal,Purple Pain,Beta Zero Beta Pink Lemonade,Stoned Flowers,Visor,Beta Bandana,,
1949,Caked Apes #1949,WTF Is The Most Important Meal ,Charcoal,Beta Zero Beta Grape Lemonade,plain rain,Peaceful Pilot Primary,Angry Lime,,
1950,Caked Apes #1950,Casino Mouse Charcoal,Rainbow River Peach Cobbler,Doge Pup Degen Bag Raspberry,Zombie Plant,Devil Mopey Fren,Maneki Heart Icy,,
1951,Caked Apes #1951,Revolving World Hell,Dripper Yeti,Fast Food Drip Pissbird Fren,Patch Plant Drips,Happy Pilot,Lime Skull ,,
1952,Caked Apes #1952,Revolving World Hell,Demon Prince,Beta Zero Beta Grape Lemonade,Zombie Plant,Lemur Tophat,Maneki Grillz Church Wine,,
1953,Caked Apes #1953,Casino Mouse Cloudy,Purple Pain,Really Cool Cat Fren,Alien Spaceship,Visitors Helmet,Lit Birthday Icy,,
1954,Caked Apes #1954,Saturday Morning Cartoon Sunset,Ice Cube,Beta Zero Katana Icy Limeade,Sappy Skulls,Slime Mopey,Angry Lime,420time,
1955,Caked Apes #1955,Get Back To Work,Dripper Yeti,Cake Fur Patch,plain rain,Chubby Fish,Raspberry Graveyard,,
1956,Caked Apes #1956,Sunrise,Rainbow River Psychedelic World,Smoking Mopey Robe Icy,Sky Is Falling,Icecream Cake,Maneki Heart Icy,,
1957,Caked Apes #1957,Casino Mouse Cloudy,Slime World,Devil Swords Fren,Too Sad To See Lime,Slime Hair Mopey Party,Icy Graveyard,,
1958,Caked Apes #1958,Get Back To Work,Grape Slime,Lemur Cool Coat Fren,Taylor.WTF Floppy Disks,Peaceful Pilot Primary,Icy,,
1959,Caked Apes #1959,Casino Mouse Blueberry,Raspberry Lime,Raspberry Lemur Coat,Doge Pound Pup,Devil Mopey Fren,Icy Skull ,,
1960,Caked Apes #1960,What Day Is It? Charcoal,Purple Pain,Doge Pup Degen Bag Raspberry,Doge Pound Cherry,Slime Mopey,Carrot Cake,,
1961,Caked Apes #1961,Most Important Meal,Cyborg Cinnamon,Peaceful General Salt,Maneki Gaze,All Seeing Winter Hat,Angry Ice,,
1962,Caked Apes #1962,Get Back To Work,Demon Prince,Hip Hop Slime,Doge Pound Cherry,Fox Fam Raspberry,Slime Portal,,
1963,Caked Apes #1963,Casino Mouse Cloudy,Rainbow River Sherbet,PixelTots Fren,Doge Pound Orange,Icecream Cake,Tongue Cake,,
1964,Caked Apes #1964,plain,Dripper Raspberry Lime,Roboto Cat Fren,Taylor.WTF Floppy Disks,Ape Angel Fren,Alien Spaceship,,
