TOKEN_ID,TOKEN_NAME,Mouth,Armor,Nose,Helmet,Weapon,Eyes,Background,Character,Galactic Clout,Facial Hair,Round Table
2706,Knights of Degen #2706,Cigar,Knights Armor - Other,Normal,Sweatband - Other,None,Brown,Teal,Human,,,
2707,Knights of Degen #2707,Grin,Chainmail - Other,None,Valkyrie Helmet - Other,None,Normal,Teal,Robot,,Beard - Other,
2708,Knights of Degen #2708,Deadass,Knights Armor - Other,Nose Ring,Beanie - Other,Mightier Than,Glasses,Blue,Human,,Mustache - Other,
2709,Knights of Degen #2709,Pizza,Suit - Business,Normal,Crown - Other,None,VR Headset - Other,Red,Human,,,
2710,Knights of Degen #2710,Grin,Overalls,Normal,Fedora - Other,Hot Dog,Bloodshot,Teal,Human,,,
2711,Knights of Degen #2711,Deadass,Knights Armor - Other,Normal,Cloak - Other,None,Glasses,Purple,Human,,Mustache - Other,
2712,Knights of Degen #2712,Grin,Queens Guard - Silver,Normal,Fedora - Party,None,Tired AF,Yellow,Human,,,
2713,Knights of Degen #2713,Pizza,Kings Armor - Other,Normal,Cloak - Other,None,Bloodshot,Purple,Robot,,,
2714,Knights of Degen #2714,Smile,Chainmail - Silver,Normal,Spartan Helmet - Other,None,Tired AF,Teal,Robot,,Beard - Other,
2715,Knights of Degen #2715,Grin,Knights Armor - Silver,Normal,Headphones Off - Other,Basketball,Normal,Red,Robot,,,
2716,Knights of Degen #2716,Wizard Beard - Other,Chainmail - Silver,Normal,Headphones Off - Other,Sword - Ruby,Normal,Red,Alien,,,
2717,Knights of Degen #2717,Pizza,Hawaiian Shirt,Normal,Valkyrie Helmet - Silver,None,Bloodshot,Teal,Human,,,
2718,Knights of Degen #2718,Cigar,Chainmail - Silver,Nose Ring,Valkyrie Helmet - Other,None,Bloodshot,Green,Human,,,
2719,Knights of Degen #2719,Smile,Emperors Armor - Other,Nose Ring,Knights Helmet - Silver,Sword - Platinum,Bloodshot,Purple,Robot,,,
2720,Knights of Degen #2720,Bubblegum,Queens Armor - Other,Normal,Cowboy Hat - Other,None,Tired AF,Green,Human,,,
2721,Knights of Degen #2721,Grin,Knights Armor - Silver,Normal,Guardian Helmet - Gold,Notebook,Eyeblack,Green,Human,,,
2722,Knights of Degen #2722,Grin,Chainmail - Silver,Normal,Cloak - Other,None,Eyeblack,Blue,Human,,,
2723,Knights of Degen #2723,Grin,Chainmail - Silver,None,Knights Helmet - Other,None,Heart Glasses,Red,Robot,,Mustache - Other,
2724,Knights of Degen #2724,Vape,Knights Armor - Other,Nose Ring,Knights Helmet - Silver,None,Heart Glasses,Red,Human,,,
2725,Knights of Degen #2725,Grin,Knights Armor - Silver,Normal,Baseball Cap - Other,None,Bloodshot,Red,Human,,,
2726,Knights of Degen #2726,Deadass,Chainmail - Silver,Nose Ring,Crown - Silver,None,Blue,Blue,Human,,Beard - Other,
2727,Knights of Degen #2727,Smile,Apothecary,Normal,Fedora - Party,None,Green,Purple,Human,,,
2728,Knights of Degen #2728,Pizza,Suit - Business,Normal,Headphones Off - Other,None,Eyeblack,Pink,Human,,,
2729,Knights of Degen #2729,Cigar,Knights Armor - Other,Normal,Knights Helmet - Gold,None,Brown,Purple,Human,,,
2730,Knights of Degen #2730,Tongue Out,Queens Guard - Silver,Normal,Cowboy Hat - Party,Mightier Than,Blue,Yellow,Human,,,
2731,Knights of Degen #2731,Grin,HODL Tee,Normal,Spartan Helmet - Silver,None,Tired AF,Blue,Human,,,
2732,Knights of Degen #2732,Smile,Chainmail - Other,Nose Ring,Knights Helmet - Other,None,Eyeblack,Green,Human,,,
2733,Knights of Degen #2733,Smile,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,None,Eyeblack,Green,Human,,,
2734,Knights of Degen #2734,Deadass,Knights Armor - Silver,Normal,Baseball Cap - Other,None,Normal,Pink,Robot,,Sweet Stache - Other,
2735,Knights of Degen #2735,Grin,Basketball Jersey,Nose Ring,Headphones Off - Other,Hot Dog,Wink,Purple,Human,,,
2736,Knights of Degen #2736,Grin,Kings Armor - Silver,Normal,Knights Helmet - Silver,Soccer Ball,Normal,Red,Robot,,,
2737,Knights of Degen #2737,Smile,Suit - Business,Normal,Knights Helmet - Other,Ready to Rumble,Bloodshot,Purple,Human,,,
2738,Knights of Degen #2738,Smile,Chainmail - Other,Nose Ring,Headphones On - Other,Potion,Brown,Pink,Human,,,
2739,Knights of Degen #2739,Deadass,Chainmail - Silver,Normal,Crown - Gold,None,Normal,Blue,Robot,,,
2740,Knights of Degen #2740,Cigarette,Knights Armor - Other,Normal,Cloak - Other,Notebook,3D Glasses,Green,Human,,,
2741,Knights of Degen #2741,Smile,Queens Guard - Silver,Normal,Valkyrie Helmet - Other,Sword - Emerald,Brown,Green,Human,,,
2742,Knights of Degen #2742,Bubblegum,Apothecary,Normal,Cloak - Other,None,Blue,Yellow,Human,,,
2743,Knights of Degen #2743,Smile,Knights Armor - Silver,Normal,Space Helmet - Silver,Sword - Emerald,Wink,Purple,Human,,,
2744,Knights of Degen #2744,Tongue Out,Queens Guard - Silver,Normal,Headphones Off - Silver,None,Wink,Green,Human,,,
2745,Knights of Degen #2745,Grin,Kings Armor - Silver,Normal,Space Helmet - Silver,Lightsaber - Green,Normal,Purple,Robot,,,
2746,Knights of Degen #2746,Smile,Chainmail - Silver,Normal,Knights Helmet - Silver,None,Brown,Blue,Human,,,
2747,Knights of Degen #2747,Grin,Chainmail - Other,None,Cloak - Other,Phone,Tired AF,Teal,Robot,,Sweet Stache - Other,
2748,Knights of Degen #2748,Deadass,Knights Armor - Silver,Normal,Cloak - Other,None,Blue,Green,Human,,,
2749,Knights of Degen #2749,Grin,Chainmail - Other,Normal,Spartan Helmet - Other,None,Blue,Pink,Human,,,
2750,Knights of Degen #2750,Smile,Queens Guard - Silver,Normal,Cloak - Other,None,Wink,Blue,Human,,,
2751,Knights of Degen #2751,Deadass,Kings Guard Armor - Silver,Nose Ring,Knights Helmet - Other,None,Eyeblack,Pink,Human,,Mustache - Other,
2752,Knights of Degen #2752,Deadass,Knights Armor - Other,Nose Ring,Knights Helmet - Silver,Soccer Ball,Heart Glasses,Teal,Human,,Mustache - Other,
2753,Knights of Degen #2753,Deadass,Knights Armor - Silver,Normal,Spartan Helmet - Silver,Mightier Than,3D Glasses,Green,Human,,Beard - Other,
2754,Knights of Degen #2754,Smile,Chainmail - Other,Normal,Valkyrie Helmet - Other,None,3D Glasses,Blue,Human,,,
2755,Knights of Degen #2755,Smile,Chainmail - Silver,Normal,Cowboy Hat - Other,Mightier Than,Tired AF,Pink,Human,Legendary,,
2756,Knights of Degen #2756,Grin,Kings Armor - Silver,Normal,Beanie - Other,None,Bloodshot,Blue,Human,,,
2757,Knights of Degen #2757,Bubblegum,Chainmail - Other,Normal,Valkyrie Helmet - Silver,None,Brown,Purple,Human,,,
2758,Knights of Degen #2758,Deadass,Knights Armor - Gold,Normal,Spartan Helmet - Silver,Baseball Bat,Brown,Blue,Human,,Mustache - Other,
2759,Knights of Degen #2759,Deadass,Chainmail - Other,Normal,Valkyrie Helmet - Other,Basketball,Brown,Teal,Human,,,
2760,Knights of Degen #2760,Cigarette,Chainmail - Other,Nose Ring,Valkyrie Helmet - Silver,None,3D Glasses,Yellow,Human,,,
2761,Knights of Degen #2761,Smile,Chainmail - Other,Normal,Valkyrie Helmet - Other,None,Blue,Red,Human,,,
2762,Knights of Degen #2762,Grin,Leather Jacket,Nose Ring,Spartan Helmet - Other,Mightier Than,Heart Glasses,Purple,Human,,,
2763,Knights of Degen #2763,Smile,Chainmail - Other,Nose Ring,Knights Helmet - Other,Phone,Eyeblack,Blue,Human,,,
2764,Knights of Degen #2764,Deadass,Basketball Jersey,Nose Ring,Knights Helmet - Other,None,Normal,Pink,Robot,,,
2765,Knights of Degen #2765,Cigar,Knights Armor - Other,Normal,Spartan Helmet - Silver,Hot Dog,Blue,Red,Human,,,
2766,Knights of Degen #2766,Tongue Out,Chainmail - Gold,Normal,Cloak - Other,Sword - Emerald,Bloodshot,Teal,Human,,,
2767,Knights of Degen #2767,Smile,Knights Armor - Silver,Normal,Space Helmet - Silver,None,Normal,Pink,Robot,,,
2768,Knights of Degen #2768,Wizard Beard - Red,None,Normal,Knights Helmet - Gold,Notebook,Normal,Pink,Alien,,,
2769,Knights of Degen #2769,Smile,Queens Guard - Silver,Normal,Guardian Helmet - Other,None,Green,Purple,Human,Legendary,,
2770,Knights of Degen #2770,Vape,Chainmail - Other,Normal,Space Helmet - Silver,None,Glasses,Green,Human,,,
2771,Knights of Degen #2771,Tongue Out,Queens Guard - Silver,Normal,Valkyrie Helmet - Other,None,Eyeblack,Teal,Human,,,
2772,Knights of Degen #2772,Tongue Out,Queens Guard - Silver,Normal,Beanie - Other,Liquid Courage,Tired AF,Red,Human,,,
2773,Knights of Degen #2773,Smile,Emperors Armor - Other,Normal,Cloak - Other,None,Normal,Pink,Robot,,Mustache - Other,
2774,Knights of Degen #2774,Grin,Knights Armor - Other,Normal,Valkyrie Helmet - Other,Sword - Platinum,Tired AF,Purple,Robot,,,
2775,Knights of Degen #2775,Smile,Chainmail - Other,Nose Ring,Cloak - Other,None,Wink,Purple,Human,,,
2776,Knights of Degen #2776,Cigar,Chainmail - Other,Normal,Valkyrie Helmet - Other,Sword - Silver,Wink,Purple,Human,,,
2777,Knights of Degen #2777,Smile,Knights Armor - Other,Normal,Knights Helmet - Silver,None,Normal,Blue,Robot,,,
2778,Knights of Degen #2778,Smile,Galactic Guard - Other,Normal,Spartan Helmet - Other,None,Normal,Blue,Alien,,Mustache - Other,
2779,Knights of Degen #2779,Grin,Knights Armor - Gold,Normal,Knights Helmet - Other,None,Purple,Red,Human,,,
2780,Knights of Degen #2780,Smile,Referee,None,Cloak - Other,None,Normal,Blue,Robot,,,
2781,Knights of Degen #2781,Smile,Galactic Guard - Other,Normal,Valkyrie Helmet - Gold,None,Bloodshot,Red,Alien,,Mustache - Red,
2782,Knights of Degen #2782,Smile,Chainmail - Silver,Normal,Knights Helmet - Other,Phone,Tired AF,Yellow,Robot,,Sweet Stache - Other,
2783,Knights of Degen #2783,Grin,Torn Tee,Normal,Guardian Helmet - Silver,None,Brown,Pink,Human,,,
2784,Knights of Degen #2784,Grin,Knights Armor - Gold,Nose Ring,Baseball Cap - Other,Phone,Brown,Teal,Human,,,
2785,Knights of Degen #2785,Bubblegum,Kings Guard Armor - Other,Nose Ring,Cowboy Hat - Party,Potion,Brown,Blue,Human,,,
2786,Knights of Degen #2786,Pizza,Emperors Armor - Silver,Normal,Knights Helmet - Other,None,Bloodshot,Pink,Robot,,Sweet Stache - Other,
2787,Knights of Degen #2787,Grin,Chainmail - Silver,Normal,Valkyrie Helmet - Other,None,Normal,Blue,Alien,,,
2788,Knights of Degen #2788,Smile,Chainmail - Silver,Normal,Crown - Other,None,Heart Glasses,Blue,Alien,,,
2789,Knights of Degen #2789,Smile,Emperors Armor - Silver,Normal,Beanie - XMAS,None,Tired AF,Blue,Robot,,Scruff,
2790,Knights of Degen #2790,Pizza,Chainmail - Other,Nose Ring,Cloak - Other,None,Eyeblack,Green,Human,,,
2791,Knights of Degen #2791,Cigar,Chainmail - Silver,Normal,Knights Helmet - Silver,Sword - Silver,Eyeblack,Green,Human,,,
2792,Knights of Degen #2792,Smile,Chainmail - Other,None,Spartan Helmet - Silver,None,Heart Glasses,Purple,Robot,,Sweet Stache - Other,
2793,Knights of Degen #2793,Smile,Space Suit - Other,Normal,Sweatband - Other,Sword - Sapphire,Tired AF,Blue,Alien,,,
2794,Knights of Degen #2794,Grin,Kings Armor - Other,Normal,Space Helmet - Other,Phone,Normal,Green,Robot,,,
2795,Knights of Degen #2795,Deadass,HODL Tee,Normal,Cowboy Hat - Other,Soccer Ball,Blue,Teal,Human,,Mustache - Other,
2796,Knights of Degen #2796,Grin,Chainmail - Silver,Normal,Knights Helmet - Silver,Mightier Than,Bloodshot,Yellow,Human,,,
2797,Knights of Degen #2797,Pizza,Knights Armor - Other,Nose Ring,Cloak - Other,Sword - Silver,Brown,Teal,Human,,,
2798,Knights of Degen #2798,Smile,Lazy Robe,Normal,Valkyrie Helmet - Silver,Mightier Than,VR Headset - Other,Green,Human,,,
2799,Knights of Degen #2799,Smile,Chainmail - Other,None,Cloak - Other,None,Normal,Pink,Robot,,,
2800,Knights of Degen #2800,Smile,Knights Armor - Silver,Nose Ring,Spartan Helmet - Silver,Liquid Courage,Brown,Pink,Human,,,
2801,Knights of Degen #2801,Deadass,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,Football - Other,Normal,Pink,Robot,,,
2802,Knights of Degen #2802,Cigar,Chainmail - Gold,Normal,Guardian Helmet - Silver,None,Heart Glasses,Blue,Human,,,
2803,Knights of Degen #2803,Smile,Emperors Armor - Silver,Normal,Beanie - NY,Sword - Neon,Normal,Teal,Robot,Legendary,,
2804,Knights of Degen #2804,Smile,Chainmail - Other,Normal,Valkyrie Helmet - Other,Football - Other,Normal,Red,Robot,,Sweet Stache - Other,
2805,Knights of Degen #2805,Grin,Galactic Guard - Other,Normal,Spartan Helmet - Silver,Sword - Sapphire,Normal,Red,Alien,Legendary,,
2806,Knights of Degen #2806,Smile,Chainmail - Silver,Normal,Beanie - Other,Phone,Bloodshot,Yellow,Human,,,
2807,Knights of Degen #2807,Smile,Chainmail - Silver,Normal,Spartan Helmet - Silver,None,Normal,Teal,Robot,,,
2808,Knights of Degen #2808,Grin,Chainmail - Gold,Normal,Cloak - Other,None,Heart Glasses,Pink,Alien,,,
2809,Knights of Degen #2809,Grin,Knights Armor - Silver,Normal,Knights Helmet - Silver,Mightier Than,Bloodshot,Red,Human,,,
2810,Knights of Degen #2810,Grin,Queens Armor - Gold,Normal,Valkyrie Helmet - Other,None,Normal,Red,Alien,,,
2811,Knights of Degen #2811,Grin,Chainmail - Other,Normal,Cloak - Other,Liquid Courage,Glasses,Red,Human,,Sweet Stache - Other,
2812,Knights of Degen #2812,Cigar,Knights Armor - Other,Nose Ring,Jester Cap,Baseball Bat,Tired AF,Green,Human,,,
2813,Knights of Degen #2813,Smile,Chainmail - Other,Normal,Knights Helmet - Gold,None,Normal,Yellow,Robot,,,
2814,Knights of Degen #2814,Smile,Hawaiian Shirt,Normal,Guardian Helmet - Silver,Baseball Bat,Eyeblack,Green,Human,,,
2815,Knights of Degen #2815,Joint,Chainmail - Other,Nose Ring,Space Helmet - Silver,Liquid Courage,Tired AF,Purple,Human,,,
2816,Knights of Degen #2816,Smile,Chainmail - Other,Nose Ring,Knights Helmet - Other,None,Bloodshot,Teal,Human,,,
2817,Knights of Degen #2817,Smile,Knights Armor - Silver,Normal,Knights Helmet - Other,Notebook,Normal,Pink,Robot,,Sweet Stache - Other,
2818,Knights of Degen #2818,Smile,Emperors Armor - Other,Normal,Valkyrie Helmet - Other,None,Normal,Pink,Robot,,,
2819,Knights of Degen #2819,Bubblegum,Knights Armor - Other,Normal,Beanie - XMAS,None,Normal,Teal,Robot,Legendary,,
2820,Knights of Degen #2820,Grin,Chainmail - Other,Normal,Crown - Other,None,Tired AF,Red,Alien,,,
2821,Knights of Degen #2821,Grin,Basketball Jersey,Nose Ring,Crown - Other,Mightier Than,Wink,Purple,Human,,,
2822,Knights of Degen #2822,Tongue Out,Basketball Jersey,Normal,Guardian Helmet - Other,None,Brown,Red,Human,,,
2823,Knights of Degen #2823,Deadass,Kings Guard Armor - Silver,Normal,Valkyrie Helmet - Silver,Soccer Ball,Bloodshot,Blue,Human,,Mustache - Other,
2824,Knights of Degen #2824,Smile,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,None,Normal,Green,Robot,Legendary,Mustache - Other,
2825,Knights of Degen #2825,Grin,Chainmail - Silver,Nose Ring,Valkyrie Helmet - Other,Sword - Neon,Tired AF,Purple,Robot,,,
2826,Knights of Degen #2826,Pizza,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,None,Eyeblack,Purple,Human,,,
2827,Knights of Degen #2827,Pizza,Emperors Armor - Silver,Normal,Baseball Cap - Other,Basketball,VR Headset - Silver,Yellow,Robot,,,
2828,Knights of Degen #2828,Cigar,HODL Tee,Normal,Cloak - Other,Beer,Brown,Red,Human,,,
2829,Knights of Degen #2829,Bubblegum,Knights Armor - Other,Normal,Knights Helmet - Silver,None,Normal,Blue,Robot,,,
2830,Knights of Degen #2830,Smile,Chainmail - Other,Normal,Knights Helmet - Other,Sword - Silver,Green,Purple,Human,,,
2831,Knights of Degen #2831,Deadass,Knights Armor - Silver,Normal,Space Helmet - Silver,None,Bloodshot,Red,Human,,Beard - Other,
2832,Knights of Degen #2832,Grin,Queens Armor - Other,Nose Ring,Guardian Helmet - Other,Sword - Silver,3D Glasses,Blue,Human,,,
2833,Knights of Degen #2833,Grin,Knights Armor - Other,Nose Ring,Cloak - Other,Sword - Silver,3D Glasses,Green,Human,,Sweet Stache - Other,
2834,Knights of Degen #2834,Vape,Apothecary,Normal,Knights Helmet - Other,None,Blue,Purple,Human,,,
2835,Knights of Degen #2835,Grin,Galactic Guard - Other,Normal,Valkyrie Helmet - Other,Mightier Than,Normal,Red,Alien,,,
2836,Knights of Degen #2836,Deadass,Knights Armor - Gold,Normal,Guardian Helmet - Other,None,Heart Glasses,Purple,Human,,,
2837,Knights of Degen #2837,Grin,Chainmail - Silver,Normal,Baseball Cap - Other,None,Tired AF,Red,Human,,,
2838,Knights of Degen #2838,Bubblegum,Knights Armor - Silver,Nose Ring,Cloak - Other,None,Eyeblack,Red,Human,,,
2839,Knights of Degen #2839,Vape,Knights Armor - Other,Normal,Spartan Helmet - Silver,Liquid Courage,Green,Teal,Human,,,
2840,Knights of Degen #2840,Pizza,Emperors Armor - Silver,Normal,Knights Helmet - Silver,None,Normal,Blue,Robot,,,
2841,Knights of Degen #2841,Grin,Lazy Robe,Normal,Valkyrie Helmet - Silver,Diamond Hands,Blue,Yellow,Human,,,
2842,Knights of Degen #2842,Deadass,HODL Tee,Nose Ring,Guardian Helmet - Silver,None,Wink,Teal,Human,,,
2843,Knights of Degen #2843,Grin,Chainmail - Other,Normal,Knights Helmet - Silver,None,Blue,Blue,Human,,,
2844,Knights of Degen #2844,Grin,Space Suit - Other,Nose Ring,Sweatband - Other,None,Eyeblack,Teal,Alien,,,
2845,Knights of Degen #2845,Deadass,Suit - Business,Normal,Knights Helmet - Silver,None,Blue,Teal,Human,,Mustache - Other,
2846,Knights of Degen #2846,Grin,Leather Jacket,Nose Ring,Guardian Helmet - Silver,Beer,Wink,Red,Human,,,
2847,Knights of Degen #2847,Grin,Flannel Shirt,Nose Ring,Knights Helmet - Silver,Potion,Brown,Blue,Human,,Sweet Stache - Other,
2848,Knights of Degen #2848,Bubblegum,Chainmail - Other,Normal,Fedora - Party,None,Brown,Purple,Human,Legendary,,
2849,Knights of Degen #2849,Grin,Chainmail - Other,Normal,Valkyrie Helmet - Other,Basketball,Tired AF,Green,Robot,,,
2850,Knights of Degen #2850,Smile,Suit - Business,Normal,Knights Helmet - Silver,Notebook,Bloodshot,Teal,Human,,,
2851,Knights of Degen #2851,Tongue Out,Queens Armor - Gold,Normal,Crown - Gold,None,Eyeblack,Yellow,Human,,,
2852,Knights of Degen #2852,Grin,Apothecary,Nose Ring,Knights Helmet - Other,None,Tired AF,Yellow,Human,,Sweet Stache - Other,
2853,Knights of Degen #2853,Pizza,Queens Armor - Gold,Normal,Space Helmet - Silver,Baseball Bat,Brown,Red,Human,Legendary,,
2854,Knights of Degen #2854,Tongue Out,Basketball Jersey,Normal,Fedora - Other,None,Tired AF,Red,Human,,,
2855,Knights of Degen #2855,Pizza,Chainmail - Other,Normal,Knights Helmet - Silver,None,Green,Green,Human,,,
2856,Knights of Degen #2856,Cigar,Knights Armor - Other,Normal,Cloak - Other,None,Brown,Purple,Human,,,
2857,Knights of Degen #2857,Grin,Suit - Business,Normal,Space Helmet - Silver,Soccer Ball,Blue,Green,Human,,Sweet Stache - Other,
2858,Knights of Degen #2858,Deadass,Chainmail - Gold,Normal,Knights Helmet - Other,None,Tired AF,Teal,Human,,Mustache - Other,
2859,Knights of Degen #2859,Pizza,Knights Armor - Silver,Normal,Valkyrie Helmet - Other,Soccer Ball,Brown,Purple,Human,,,
2860,Knights of Degen #2860,Grin,Chainmail - Gold,Normal,Guardian Helmet - Other,Phone,Purple,Teal,Human,,,
2861,Knights of Degen #2861,Smile,Basketball Jersey,Normal,Space Helmet - Gold,None,Green,Teal,Human,,,
2862,Knights of Degen #2862,Smile,Emperors Armor - Other,Nose Ring,Crown - Gold,None,Normal,Pink,Robot,,,
2863,Knights of Degen #2863,Cigar,Chainmail - Other,Normal,Baseball Cap - Other,Phone,Brown,Red,Human,,,
2864,Knights of Degen #2864,Pizza,Queens Guard - Silver,Normal,Baseball Cap - Other,Phone,Wink,Purple,Human,,,
2865,Knights of Degen #2865,Smile,Basketball Jersey,Normal,Sweatband - Gold,Basketball,Eyeblack,Yellow,Robot,,,
2866,Knights of Degen #2866,Smile,Chainmail - Other,Normal,Guardian Helmet - Other,None,Blue,Pink,Human,,,
2867,Knights of Degen #2867,Grin,Knights Armor - Silver,Normal,Space Helmet - Silver,None,Eyeblack,Pink,Robot,,,
2868,Knights of Degen #2868,Vape,Chainmail - Other,Nose Ring,Crown - Silver,Soccer Ball,Blue,Green,Human,,,
2869,Knights of Degen #2869,Smile,Chainmail - Silver,Normal,Cloak - Other,None,Glasses,Teal,Human,,,
2870,Knights of Degen #2870,Grin,Chainmail - Gold,Normal,Cloak - Other,None,Bloodshot,Red,Human,,,
2871,Knights of Degen #2871,Cigarette,Chainmail - Other,Normal,Headphones Off - Other,None,Tired AF,Pink,Human,,,
2872,Knights of Degen #2872,Grin,Suit - Other,Nose Ring,Sweatband - Other,None,Blue,Blue,Human,,,
2873,Knights of Degen #2873,Deadass,Knights Armor - Silver,Normal,Knights Helmet - Other,None,Normal,Blue,Robot,,,
2874,Knights of Degen #2874,Smile,Knights Armor - Other,Normal,Spartan Helmet - Other,None,Normal,Blue,Robot,,,
2875,Knights of Degen #2875,Grin,Chainmail - Silver,Normal,Sweatband - Other,Phone,Normal,Red,Alien,,,
2876,Knights of Degen #2876,Wizard Beard - Other,Chainmail - Silver,Normal,Knights Helmet - Other,Basketball,Normal,Yellow,Alien,,,
2877,Knights of Degen #2877,Smile,Knights Armor - Silver,Nose Ring,Headphones Off - Other,None,Normal,Pink,Robot,,,
2878,Knights of Degen #2878,Smile,Kings Guard Armor - Other,Normal,Spartan Helmet - Other,None,Green,Green,Human,,,
2879,Knights of Degen #2879,Bubblegum,Knights Armor - Silver,Nose Ring,Valkyrie Helmet - Silver,None,Purple,Green,Human,,,
2880,Knights of Degen #2880,Vape,Kings Guard Armor - Other,Nose Ring,Valkyrie Helmet - Silver,Mightier Than,Bloodshot,Red,Human,,,
2881,Knights of Degen #2881,Grin,Knights Armor - Other,Nose Ring,Knights Helmet - Other,None,Wink,Yellow,Human,,,
2882,Knights of Degen #2882,Smile,Queens Guard - Gold,Normal,Fedora - Party,Diamond Hands,3D Glasses,Teal,Human,,,
2883,Knights of Degen #2883,Wizard Beard - Red,Galactic Guard - Other,Normal,Beanie - Other,None,Bloodshot,Teal,Alien,,,
2884,Knights of Degen #2884,Smile,Queens Guard - Silver,Normal,Sweatband - Other,None,Wink,Teal,Human,,,
2885,Knights of Degen #2885,Grin,Chainmail - Silver,Normal,Beanie - Other,Sword - Platinum,Normal,Yellow,Robot,,,
2886,Knights of Degen #2886,Grin,Kings Armor - Silver,Normal,Beanie - Other,None,Tired AF,Blue,Robot,,,
2887,Knights of Degen #2887,Bubblegum,Emperors Armor - Silver,Normal,Valkyrie Helmet - Other,None,Tired AF,Pink,Robot,,,
2888,Knights of Degen #2888,Grin,Knights Armor - Silver,Normal,Fedora - Other,None,Glasses,Blue,Human,,,
2889,Knights of Degen #2889,Tongue Out,Chainmail - Silver,Normal,Crown - Other,Beer,Blue,Green,Human,,,
2890,Knights of Degen #2890,Joint,Kings Guard Armor - Silver,Normal,Sweatband - Hair,None,Blue,Green,Human,,,
2891,Knights of Degen #2891,Tongue Out,Knights Armor - Silver,Nose Ring,Cloak - Other,Ready to Rumble,3D Glasses,Purple,Human,,,
2892,Knights of Degen #2892,Cigar,Chainmail - Other,Nose Ring,Headphones Off - Other,Soccer Ball,Green,Purple,Human,,,
2893,Knights of Degen #2893,Grin,Queens Armor - Silver,Normal,Knights Helmet - Other,Baseball Bat,Eyeblack,Blue,Human,,,
2894,Knights of Degen #2894,Smile,Emperors Armor - Gold,Normal,Knights Helmet - Silver,Space Dog,Normal,Pink,Robot,,,
2895,Knights of Degen #2895,Pizza,Chainmail - Other,Normal,Headphones Off - Other,Basketball,Eyeblack,Pink,Human,,,
2896,Knights of Degen #2896,Tongue Out,Knights Armor - Silver,Normal,Valkyrie Helmet - Silver,Mightier Than,Heart Glasses,Green,Human,,,
2897,Knights of Degen #2897,Deadass,Leather Jacket,Normal,Beanie - Other,Beer,Blue,Teal,Human,,Beard - Other,
2898,Knights of Degen #2898,Smile,Referee,Normal,Valkyrie Helmet - Other,Sword - Gold,Bloodshot,Red,Alien,,,
2899,Knights of Degen #2899,Grin,Chainmail - Other,Normal,Baseball Cap - Other,None,Normal,Purple,Robot,,,
2900,Knights of Degen #2900,Cigar,Torn Tee,Normal,Knights Helmet - Silver,Space Dog,Tired AF,Green,Robot,,Sweet Stache - Other,
2901,Knights of Degen #2901,Bubblegum,None,Normal,Cloak - Other,None,Green,Green,Human,,,
2902,Knights of Degen #2902,Cigar,Kings Guard Armor - Other,Normal,Knights Helmet - Silver,Beer,Tired AF,Blue,Human,,,
2903,Knights of Degen #2903,Grin,Chainmail - Gold,Nose Ring,Crown - Gold,None,Tired AF,Pink,Alien,,,
2904,Knights of Degen #2904,Deadass,Chainmail - Silver,Nose Ring,Spartan Helmet - Gold,None,Brown,Teal,Human,,Mustache - Red,
2905,Knights of Degen #2905,Cigar,Chainmail - Other,Nose Ring,Valkyrie Helmet - Silver,None,Brown,Yellow,Human,,,
2906,Knights of Degen #2906,Grin,Knights Armor - Other,Normal,Cloak - Other,Liquid Courage,Blue,Purple,Human,,,
2907,Knights of Degen #2907,Smile,Kings Armor - Silver,Normal,Knights Helmet - Silver,None,Blue,Blue,Human,,,
2908,Knights of Degen #2908,Grin,Basketball Jersey,Nose Ring,Baseball Cap - Other,None,Wink,Blue,Human,,,
2909,Knights of Degen #2909,Grin,Chainmail - Other,Nose Ring,Valkyrie Helmet - Silver,None,Blue,Pink,Human,,Sweet Stache - Other,
2910,Knights of Degen #2910,Cigar,Chainmail - Silver,Normal,Crown - Other,None,Tired AF,Purple,Robot,,,
2911,Knights of Degen #2911,Cigar,Leather Jacket,Normal,Guardian Helmet - Other,Phone,Eyeblack,Pink,Human,,,
2912,Knights of Degen #2912,Smile,Kings Armor - Other,Normal,Sweatband - Other,Soccer Ball,Normal,Teal,Robot,,,
2913,Knights of Degen #2913,Smile,Hawaiian Shirt,Normal,Baseball Cap - Other,Beer,Tired AF,Pink,Human,,,
2914,Knights of Degen #2914,Grin,Knights Armor - Silver,Normal,Headphones On - Other,None,Green,Purple,Human,,,
2915,Knights of Degen #2915,Grin,Emperors Armor - Other,Normal,Valkyrie Helmet - Other,None,Normal,Purple,Robot,,,
2916,Knights of Degen #2916,Bubblegum,Chainmail - Other,Nose Ring,Valkyrie Helmet - Other,None,Eyeblack,Blue,Human,,,
2917,Knights of Degen #2917,Pizza,Chainmail - Silver,Normal,Headphones On - Silver,Hot Dog,3D Glasses,Blue,Human,,,
2918,Knights of Degen #2918,Vape,Chainmail - Other,Nose Ring,Cloak - Other,Baseball Bat,Eyeblack,Green,Human,,,
2919,Knights of Degen #2919,Grin,Chainmail - Other,Normal,Knights Helmet - Other,None,Tired AF,Teal,Human,,,
